date,day_of_week,asian_bar_count,london_kz_bar_count,data_gap,asian_open,asian_close,asian_high,asian_high_time,asian_low,asian_low_time,asian_high_before_low,asian_range_pips,london_kz_open,london_kz_close,london_kz_high,london_kz_low,london_kz_range_pips,both_sides_swept_in_kz,first_sweep_side,first_sweep_time,sweep_depth_pips,sweep_close_beyond_level,reversal_reached_opposite,direction_if_faded,mfe_pips,mae_pips,progress_pct_of_asian_range,reversal_time,minutes_to_reversal,atr14_pips_prior,low_liquidity_flag
2021-01-04,Monday,240,180,False,1.22408,1.22488,1.22584,21:32,1.22397,20:02,False,18.7,1.22562,1.22933,1.23005,1.22538,46.7,False,high,02:04,51.2,True,False,short,5.9,51.3,32.1,,,,False
2021-01-05,Tuesday,240,180,False,1.22555,1.22689,1.22767,22:30,1.22548,20:01,False,21.9,1.22694,1.22722,1.22839,1.22552,28.7,False,high,03:19,19.9,True,True,short,22.8,14.0,104.6,10:01,402.0,,False
2021-01-06,Wednesday,240,180,False,1.23089,1.22917,1.23152,20:01,1.22755,22:01,True,39.7,1.23163,1.23382,1.23452,1.23123,32.9,False,high,02:00,34.2,True,True,short,37.4,36.8,125.2,10:54,534.0,,False
2021-01-07,Thursday,240,180,False,1.23324,1.23246,1.2337,20:45,1.23187,21:24,True,18.3,1.23203,1.22689,1.23255,1.22638,61.7,False,low,02:07,73.7,True,False,long,4.1,73.5,21.3,,,68.78000000000029,False
2021-01-08,Friday,240,180,False,1.22576,1.22632,1.22647,22:32,1.22349,20:16,False,29.8,1.22633,1.22399,1.22691,1.22132,55.9,True,high,02:02,19.8,True,True,short,31.7,4.8,172.8,02:56,54.0,72.58333333333367,False
2021-01-11,Monday,240,180,False,1.21887,1.21738,1.21907,20:05,1.21666,23:29,True,24.1,1.21897,1.21605,1.21998,1.21599,39.9,True,high,02:07,9.1,True,True,short,25.4,8.8,243.2,04:53,166.0,70.62500000000027,False
2021-01-12,Tuesday,240,180,False,1.21592,1.21427,1.21619,20:11,1.21386,23:44,True,23.3,1.21608,1.21617,1.21789,1.21502,28.7,False,high,02:16,17.0,True,True,short,23.8,17.0,106.4,09:06,410.0,72.0000000000002,False
2021-01-13,Wednesday,240,180,False,1.22079,1.22085,1.22201,22:29,1.22048,20:20,False,15.3,1.22139,1.21892,1.22227,1.21822,40.5,True,high,02:30,2.6,True,True,short,15.9,2.3,446.4,02:57,27.0,73.52000000000024,False
2021-01-14,Thursday,240,180,False,1.21642,1.21496,1.21718,20:16,1.21355,21:30,True,36.3,1.21499,1.21661,1.21674,1.21361,31.3,,none,,,,,,,,,,,72.96363636363657,False
2021-01-15,Friday,240,180,False,1.21542,1.21468,1.21573,20:01,1.21432,21:18,True,14.1,1.21372,1.2139,1.21466,1.21177,28.9,False,low,02:00,61.6,True,False,long,9.3,55.7,24.1,,,72.90000000000019,False
2021-01-18,Monday,240,180,False,1.20756,1.207,1.20844,21:51,1.20654,23:32,True,19.0,1.20808,1.2062,1.20867,1.2059,27.7,True,high,02:17,2.3,True,True,short,23.0,1.1,162.6,04:31,134.0,67.25000000000013,False
2021-01-19,Tuesday,238,180,False,1.20859,1.20953,1.20986,22:51,1.20859,20:00,False,12.7,1.20979,1.21181,1.21226,1.20852,37.4,True,low,02:24,0.7,True,True,long,14.3,0.4,463.8,02:41,17.0,69.76428571428582,False
2021-01-20,Wednesday,240,180,False,1.21422,1.21403,1.21492,21:31,1.21351,20:15,False,14.1,1.21483,1.21273,1.21581,1.21179,40.2,True,high,02:00,8.9,True,True,short,16.9,8.2,514.2,03:32,92.0,70.70000000000005,False
2021-01-21,Thursday,240,180,False,1.21173,1.21294,1.21337,21:54,1.21153,20:01,False,18.4,1.21309,1.21424,1.21457,1.21148,30.9,True,high,02:37,39.3,True,True,short,17.4,3.0,102.7,03:24,47.0,70.02857142857151,False
2021-01-22,Friday,240,180,False,1.21692,1.21735,1.21766,23:06,1.21613,20:25,False,15.3,1.21652,1.21737,1.21894,1.21515,37.9,True,low,02:01,9.8,True,True,long,21.1,7.3,183.7,03:37,96.0,66.74285714285728,False
2021-01-25,Monday,240,180,False,1.21677,1.2176,1.21802,23:34,1.21601,20:44,False,20.1,1.2177,1.21475,1.21827,1.2144,38.7,True,high,02:42,2.5,True,True,short,23.7,0.4,320.4,04:15,93.0,59.9785714285715,False
2021-01-26,Tuesday,240,180,False,1.21342,1.21301,1.21461,21:04,1.21274,23:55,True,18.7,1.21271,1.21288,1.21414,1.21076,33.8,False,low,02:00,19.8,True,True,long,22.4,17.9,258.8,07:44,344.0,60.43571428571449,False
2021-01-27,Wednesday,239,180,False,1.21622,1.21572,1.2167,20:29,1.2153,23:20,True,14.0,1.2163,1.21225,1.2163,1.21194,43.6,False,low,02:32,94.5,True,False,long,7.4,93.7,47.1,,,63.27142857142864,False
2021-01-28,Thursday,240,180,False,1.20876,1.20936,1.21059,20:53,1.20859,20:00,False,20.0,1.21032,1.21088,1.21136,1.20807,32.9,True,low,02:23,5.2,True,True,long,23.3,4.3,282.5,03:09,46.0,61.7500000000001,False
2021-01-29,Friday,240,180,False,1.21072,1.20995,1.2116,20:32,1.2095,23:13,True,21.0,1.21052,1.21165,1.21211,1.20972,23.9,False,high,03:56,40.0,True,False,short,10.9,39.4,49.0,,,59.921428571428585,False
2021-02-01,Monday,239,180,False,1.21296,1.21275,1.21363,20:29,1.21246,21:41,True,11.7,1.21293,1.20936,1.21308,1.20835,47.3,False,low,02:07,56.4,True,False,long,5.6,56.9,52.1,,,56.57857142857142,False
2021-02-02,Tuesday,240,180,False,1.20678,1.20756,1.20877,21:01,1.20671,20:00,False,20.6,1.20707,1.20668,1.20871,1.20639,23.2,False,low,02:02,48.5,True,False,long,19.9,48.6,97.1,,,60.43571428571433,False
2021-02-03,Wednesday,239,180,False,1.20441,1.20432,1.205,20:19,1.20392,23:39,True,10.8,1.20374,1.20227,1.20423,1.20095,32.8,False,low,02:00,35.2,True,False,long,6.6,31.7,28.7,,,60.18571428571444,False
2021-02-04,Thursday,240,180,False,1.20359,1.20197,1.20388,20:16,1.20157,23:53,True,23.1,1.20113,1.19857,1.20136,1.1983,30.6,False,low,02:00,49.2,True,False,long,6.4,40.7,-9.1,,,60.428571428571594,False
2021-02-05,Friday,240,180,False,1.19686,1.1956,1.19692,20:43,1.19522,22:00,True,17.0,1.19653,1.19767,1.19878,1.19595,28.3,False,high,03:04,70.9,True,False,short,1.4,70.1,3.5,,,61.37142857142873,False
2021-02-08,Monday,237,180,False,1.20325,1.20345,1.20398,23:10,1.20296,20:13,False,10.2,1.20389,1.2028,1.20486,1.20239,24.7,True,high,02:38,26.2,True,True,short,11.8,7.9,198.0,03:29,51.0,60.44285714285724,False
2021-02-09,Tuesday,240,180,False,1.20578,1.20756,1.2082,21:55,1.20561,20:14,False,25.9,1.2077,1.21095,1.21164,1.20672,49.2,False,high,02:17,34.4,True,False,short,17.5,31.7,57.1,,,63.47142857142869,False
2021-02-10,Wednesday,239,180,False,1.21147,1.21288,1.21297,23:25,1.21088,20:14,False,20.9,1.2127,1.21193,1.2144,1.21141,29.9,False,high,02:24,14.3,True,False,short,16.0,14.9,79.4,,,60.864285714285714,False
2021-02-11,Thursday,238,180,False,1.21141,1.21215,1.2125,23:13,1.21138,20:16,False,11.2,1.21294,1.21301,1.21359,1.21179,18.0,False,high,02:00,24.4,True,False,short,10.5,21.0,63.4,,,58.2428571428571,False
2021-02-12,Friday,236,180,False,1.21287,1.21224,1.21301,20:02,1.21185,21:53,True,11.6,1.21254,1.21081,1.21269,1.21002,26.7,False,low,02:51,37.0,True,False,long,12.4,34.3,83.6,,,54.149999999999956,False
2021-02-15,Monday,240,180,False,1.2121,1.21321,1.21376,22:48,1.21174,20:12,False,20.2,1.21348,1.21345,1.21451,1.21307,14.4,False,high,02:23,7.5,True,False,short,16.7,7.7,83.7,,,48.93571428571418,False
2021-02-16,Tuesday,239,180,False,1.2137,1.21395,1.21501,22:31,1.21343,20:01,False,15.8,1.21397,1.21524,1.21572,1.21283,28.9,True,low,02:22,39.4,True,True,long,17.3,5.9,221.5,03:34,72.0,53.92857142857135,False
2021-02-17,Wednesday,240,180,False,1.20889,1.20917,1.20982,21:21,1.20832,20:09,False,15.0,1.2086,1.20679,1.20866,1.20596,27.0,False,low,02:02,60.0,True,False,long,3.0,57.6,4.0,,,53.59285714285709,False
2021-02-18,Thursday,240,180,False,1.20486,1.20371,1.205,20:03,1.20355,22:34,True,14.5,1.20458,1.20735,1.20752,1.20363,38.9,False,high,02:47,39.8,True,False,short,6.0,39.0,35.9,,,52.63571428571431,False
2021-02-19,Friday,237,180,False,1.20973,1.20929,1.20981,20:01,1.20823,21:20,True,15.8,1.20952,1.21338,1.21413,1.20904,50.9,False,high,02:14,46.3,True,False,short,1.0,45.6,1.9,,,53.52142857142853,False
2021-02-22,Monday,237,180,False,1.21233,1.21205,1.21355,20:24,1.21124,21:47,True,23.1,1.21193,1.21081,1.21236,1.20911,32.5,False,low,02:09,21.3,True,True,long,29.9,21.1,190.0,06:25,256.0,49.74285714285708,False
2021-02-23,Tuesday,239,180,False,1.21707,1.21718,1.21771,21:01,1.21638,20:11,False,13.3,1.21706,1.2149,1.21801,1.21452,34.9,True,high,02:47,3.0,True,True,short,15.1,3.1,314.3,03:06,19.0,51.12857142857141,False
2021-02-24,Wednesday,240,180,False,1.21548,1.21486,1.21662,20:53,1.21473,20:24,False,18.9,1.21568,1.21627,1.21745,1.21522,22.3,False,high,03:31,8.3,True,True,short,24.9,4.9,301.6,08:08,277.0,51.535714285714235,False
2021-02-25,Thursday,240,180,False,1.21624,1.21764,1.21773,23:55,1.21559,21:08,False,21.4,1.2181,1.22197,1.22227,1.21676,55.1,False,high,02:00,66.0,True,False,short,10.7,65.0,45.3,,,54.6499999999999,False
2021-02-26,Friday,240,180,False,1.21573,1.21548,1.21826,21:28,1.2145,23:45,True,37.6,1.21543,1.21251,1.21594,1.21227,36.7,False,low,02:01,54.8,True,False,long,13.3,55.9,38.3,,,59.400000000000084,False
2021-03-01,Monday,239,180,False,1.20917,1.20774,1.20956,20:27,1.20747,23:48,True,20.9,1.20904,1.20386,1.20925,1.20283,64.2,False,low,02:59,47.1,True,False,long,2.8,48.5,20.1,,,61.35000000000001,False
2021-03-02,Tuesday,240,180,False,1.20386,1.20207,1.20407,20:03,1.20151,21:52,True,25.6,1.20225,1.20061,1.20232,1.19916,31.6,False,low,02:16,23.5,True,True,long,31.7,18.5,255.5,09:15,419.0,67.1928571428572,False
2021-03-03,Wednesday,240,180,False,1.20862,1.20885,1.20934,20:24,1.20825,22:50,True,10.9,1.20821,1.21014,1.21132,1.20741,39.1,True,low,02:00,39.8,True,True,long,14.3,1.0,281.7,02:26,26.0,70.12857142857153,False
2021-03-04,Thursday,240,180,False,1.20597,1.20552,1.2063,21:08,1.20435,23:20,True,19.5,1.20612,1.20322,1.20624,1.20266,35.8,False,low,03:25,21.3,True,False,long,8.9,22.5,51.8,,,71.90000000000013,False
2021-03-05,Friday,240,180,False,1.19665,1.19561,1.19665,20:00,1.19515,21:13,True,15.0,1.19531,1.19276,1.19608,1.19141,46.7,False,low,02:00,58.3,True,False,long,8.4,59.2,62.0,,,71.6642857142859,False
2021-03-08,Monday,240,180,False,1.19257,1.19057,1.19287,20:11,1.18987,22:34,True,30.0,1.18922,1.1872,1.18978,1.18652,32.6,False,low,02:00,53.0,True,False,long,5.1,47.0,-3.0,,,71.39285714285712,False
2021-03-09,Tuesday,240,180,False,1.18437,1.18574,1.1867,22:56,1.18355,20:35,False,31.5,1.18576,1.19054,1.19088,1.18511,57.7,False,high,02:22,48.6,True,False,short,3.0,46.6,3.2,,,74.35000000000001,False
2021-03-10,Wednesday,240,180,False,1.18935,1.18795,1.18976,20:06,1.1877,21:07,True,20.6,1.18778,1.18998,1.19016,1.18718,29.8,True,low,02:00,5.2,True,True,long,25.6,4.2,231.6,04:02,122.0,72.89999999999986,False
2021-03-11,Thursday,240,180,False,1.1919,1.19273,1.19345,21:33,1.19172,20:44,False,17.3,1.19301,1.19636,1.19687,1.19244,44.3,False,high,02:22,44.3,True,False,short,6.6,44.3,38.2,,,74.77142857142849,False
2021-03-12,Friday,240,180,False,1.19832,1.1966,1.19884,20:18,1.19596,21:55,True,28.8,1.19489,1.19177,1.19508,1.19109,39.9,False,low,02:00,49.7,True,False,long,6.2,39.0,-15.6,,,73.98571428571428,False
2021-03-15,Monday,240,180,False,1.1951,1.19431,1.19674,20:30,1.19425,23:58,True,24.9,1.19349,1.19257,1.19401,1.19178,22.3,False,low,02:00,31.5,True,False,long,5.9,23.2,-9.6,,,63.549999999999834,False
2021-03-16,Tuesday,240,180,False,1.19226,1.19377,1.19385,23:38,1.1922,21:19,False,16.5,1.19295,1.19287,1.19353,1.19136,21.7,False,low,02:09,40.1,True,True,long,18.5,7.5,180.6,05:28,199.0,66.31428571428542,False
2021-03-17,Wednesday,240,180,False,1.19011,1.19035,1.19041,22:12,1.18926,20:36,False,11.5,1.19076,1.19106,1.19165,1.18861,30.4,True,high,02:00,12.4,True,True,short,15.3,1.5,156.5,02:56,56.0,68.02142857142836,False
2021-03-18,Thursday,240,180,False,1.19854,1.19613,1.19865,20:00,1.19552,23:18,True,31.3,1.19793,1.19421,1.19888,1.19349,53.9,True,high,02:10,2.3,True,True,short,33.3,0.5,249.5,02:36,26.0,66.88571428571409,False
2021-03-19,Friday,240,180,False,1.19072,1.19186,1.19196,23:53,1.1902,21:23,False,17.6,1.19255,1.18933,1.19371,1.18925,44.6,True,high,02:00,17.5,True,True,short,22.4,14.0,260.2,04:44,164.0,66.37142857142832,False
2021-03-22,Monday,240,180,False,1.18851,1.18934,1.18989,23:23,1.18751,20:19,False,23.8,1.18827,1.19,1.1906,1.18744,31.6,True,low,02:06,0.7,False,True,long,25.8,1.3,270.2,03:32,86.0,60.72857142857102,False
2021-03-23,Tuesday,239,180,False,1.19335,1.19231,1.19369,20:40,1.19229,21:48,True,14.0,1.19275,1.18911,1.19318,1.18858,46.0,False,low,02:36,64.7,True,False,long,3.6,63.2,15.0,,,65.18571428571373,False
2021-03-24,Wednesday,239,180,False,1.18426,1.18464,1.18508,20:53,1.18396,20:03,False,11.2,1.18468,1.18348,1.18472,1.18123,34.9,False,low,02:05,27.3,True,False,long,4.5,27.8,44.6,,,62.6285714285711,False
2021-03-25,Thursday,239,180,False,1.18175,1.18206,1.18277,22:30,1.18041,20:37,False,23.6,1.1816,1.18105,1.18183,1.18012,17.1,False,low,03:01,41.6,True,False,long,14.7,40.8,58.9,,,62.621428571428346,False
2021-03-26,Friday,238,180,False,1.17818,1.17763,1.17845,20:58,1.17746,23:57,True,9.9,1.17832,1.17923,1.17973,1.17752,22.1,False,high,02:22,20.4,True,True,short,11.0,13.3,129.3,06:29,247.0,60.2999999999998,False
2021-03-29,Monday,239,180,False,1.17874,1.17862,1.17911,22:59,1.1775,21:24,False,16.1,1.17755,1.17663,1.17939,1.17629,31.0,True,low,02:00,14.4,True,True,long,19.1,1.1,117.4,03:50,110.0,54.84999999999946,False
2021-03-30,Tuesday,239,180,False,1.17684,1.17666,1.17737,21:57,1.17638,22:59,True,9.9,1.17611,1.17463,1.17653,1.1733,32.3,False,low,02:00,52.6,True,False,long,4.4,49.7,15.2,,,57.592857142856815,False
2021-03-31,Wednesday,239,180,False,1.1723,1.17071,1.17258,20:35,1.17044,23:06,True,21.4,1.17082,1.17462,1.17478,1.17046,43.2,False,high,02:56,34.0,True,False,short,4.3,34.6,22.9,,,59.25714285714248,False
2021-04-01,Thursday,238,180,False,1.17271,1.17243,1.17328,22:01,1.17212,20:07,False,11.6,1.17175,1.17275,1.17445,1.17125,32.0,True,low,02:00,8.7,True,True,long,18.3,2.7,458.6,02:59,59.0,59.37142857142832,False
2021-04-02,Friday,238,180,False,1.17772,1.17794,1.1784,20:07,1.17691,21:44,True,14.9,1.17777,1.1782,1.17866,1.17695,17.1,False,high,04:33,2.6,True,True,short,16.0,2.4,234.9,08:16,223.0,54.79999999999977,False
2021-04-05,Monday,232,180,False,1.17674,1.17699,1.17718,21:51,1.17614,20:12,False,10.4,1.17494,1.17472,1.17571,1.17406,16.5,False,low,02:00,23.5,True,True,long,24.5,11.7,513.5,08:37,397.0,51.378571428571306,False
2021-04-06,Tuesday,240,180,False,1.18168,1.18025,1.18215,20:08,1.17996,23:46,True,21.9,1.18106,1.18135,1.18209,1.17951,25.8,False,low,03:05,4.5,True,True,long,23.6,3.1,245.7,05:13,128.0,55.271428571428416,False
2021-04-07,Wednesday,240,180,False,1.18737,1.18667,1.18777,21:16,1.18655,23:55,True,12.2,1.1874,1.18862,1.18873,1.18639,23.4,True,low,02:10,1.6,True,True,long,13.1,2.4,403.3,02:32,22.0,53.94999999999991,False
2021-04-08,Thursday,240,180,False,1.18724,1.18708,1.18739,20:13,1.18609,21:19,True,13.0,1.18729,1.18813,1.1893,1.18671,25.9,False,high,02:52,36.3,True,False,short,13.8,34.8,94.6,,,51.807142857142686,False
2021-04-09,Friday,240,180,False,1.19151,1.19067,1.19201,20:55,1.19029,23:22,True,17.2,1.18928,1.18857,1.1899,1.18838,15.2,False,low,02:00,36.0,True,False,long,4.1,29.2,-15.7,,,51.82142857142833,False
2021-04-12,Monday,240,180,False,1.18957,1.18924,1.19029,20:44,1.18853,22:01,True,17.6,1.18897,1.18836,1.18942,1.1871,23.2,False,low,02:59,14.3,True,True,long,18.3,14.4,186.4,05:29,150.0,49.59999999999964,False
2021-04-13,Tuesday,240,179,False,1.19117,1.18903,1.1912,20:00,1.18899,23:45,True,22.1,1.1893,1.19005,1.19087,1.18828,25.9,False,low,02:01,12.3,True,True,long,27.0,13.0,239.4,08:38,397.0,54.37857142857113,False
2021-04-14,Wednesday,240,180,False,1.19541,1.19581,1.1963,22:51,1.19526,21:37,False,10.4,1.19643,1.19666,1.1974,1.19548,19.2,False,high,02:00,13.1,True,True,short,14.1,8.2,116.3,05:36,216.0,54.77142857142847,False
2021-04-15,Thursday,240,180,False,1.1983,1.19746,1.19897,21:04,1.19722,21:47,True,17.5,1.19733,1.19807,1.199,1.19725,17.5,False,high,03:27,3.5,True,True,short,16.8,4.4,192.6,06:12,165.0,53.31428571428542,False
2021-04-16,Friday,239,180,False,1.19692,1.19571,1.19746,20:09,1.19503,22:58,True,24.3,1.19704,1.19779,1.19887,1.19583,30.4,False,high,03:48,20.0,True,False,short,6.2,19.2,22.2,,,52.042857142856924,False
2021-04-19,Monday,240,180,False,1.19688,1.1956,1.19749,20:52,1.19424,21:49,True,32.5,1.19667,1.2025,1.20325,1.1963,69.5,False,high,02:45,73.1,True,False,short,2.4,71.1,1.2,,,55.049999999999976,False
2021-04-20,Tuesday,239,180,False,1.20424,1.20666,1.20717,23:16,1.20373,21:10,False,34.4,1.20607,1.20686,1.20797,1.20482,31.5,False,high,02:58,8.0,True,True,short,35.6,8.8,132.6,08:33,335.0,57.814285714285724,False
