date,direction,outcome,r_multiple,exit_time
2021-01-04,short,LOSS,-1.0,2021-01-04 02:08:00
2021-01-05,short,LOSS,-1.0,2021-01-05 04:07:00
2021-01-06,short,LOSS,-1.0,2021-01-06 02:01:00
2021-01-07,long,LOSS,-1.0,2021-01-07 02:09:00
2021-01-08,short,LOSS,-1.0,2021-01-08 02:15:00
2021-01-11,short,LOSS,-1.0,2021-01-11 02:17:00
2021-01-12,short,LOSS,-1.0,2021-01-12 02:20:00
2021-01-13,short,WIN,6.5,2021-01-13 02:57:00
2021-01-15,long,LOSS,-1.0,2021-01-15 02:59:00
2021-01-18,short,WIN,9.619,2021-01-18 04:31:00
2021-01-19,long,WIN,9.286,2021-01-19 02:41:00
2021-01-20,short,LOSS,-1.0,2021-01-20 02:01:00
2021-01-21,short,LOSS,-1.0,2021-01-21 02:49:00
2021-01-22,long,LOSS,-1.0,2021-01-22 02:16:00
2021-01-25,short,WIN,22.2,2021-01-25 04:15:00
2021-01-26,long,LOSS,-1.0,2021-01-26 02:12:00
2021-01-27,long,LOSS,-1.0,2021-01-27 03:00:00
2021-01-28,long,LOSS,-1.0,2021-01-28 02:28:00
2021-01-29,short,LOSS,-1.0,2021-01-29 03:57:00
2021-02-01,long,LOSS,-1.0,2021-02-01 02:09:00
2021-02-02,long,LOSS,-1.0,2021-02-02 02:16:00
2021-02-03,long,LOSS,-1.0,2021-02-03 02:01:00
2021-02-04,long,LOSS,-1.0,2021-02-04 02:01:00
2021-02-05,short,LOSS,-1.0,2021-02-05 03:05:00
2021-02-08,short,LOSS,-1.0,2021-02-08 02:39:00
2021-02-09,short,LOSS,-1.0,2021-02-09 02:20:00
2021-02-10,short,LOSS,-1.0,2021-02-10 02:31:00
2021-02-11,short,LOSS,-1.0,2021-02-11 02:05:00
2021-02-12,long,LOSS,-1.0,2021-02-12 02:55:00
2021-02-15,short,LOSS,-1.0,2021-02-15 03:06:00
2021-02-16,long,LOSS,-1.0,2021-02-16 02:24:00
2021-02-17,long,LOSS,-1.0,2021-02-17 02:03:00
2021-02-18,short,LOSS,-1.0,2021-02-18 03:24:00
2021-02-19,short,LOSS,-1.0,2021-02-19 02:16:00
2021-02-22,long,LOSS,-1.0,2021-02-22 02:18:00
2021-02-23,short,LOSS,-1.0,2021-02-23 02:48:00
2021-02-24,short,LOSS,-1.0,2021-02-24 03:32:00
2021-02-25,short,LOSS,-1.0,2021-02-25 02:56:00
2021-02-26,long,LOSS,-1.0,2021-02-26 02:11:00
2021-03-01,long,LOSS,-1.0,2021-03-01 03:00:00
2021-03-02,long,LOSS,-1.0,2021-03-02 02:17:00
2021-03-03,long,WIN,8.429,2021-03-03 02:26:00
2021-03-04,long,LOSS,-1.0,2021-03-04 03:42:00
2021-03-05,long,LOSS,-1.0,2021-03-05 03:03:00
2021-03-08,long,LOSS,-1.0,2021-03-08 02:10:00
2021-03-09,short,LOSS,-1.0,2021-03-09 02:29:00
2021-03-10,long,LOSS,-1.0,2021-03-10 02:01:00
2021-03-11,short,LOSS,-1.0,2021-03-11 02:23:00
2021-03-12,long,LOSS,-1.0,2021-03-12 02:04:00
2021-03-15,long,LOSS,-1.0,2021-03-15 02:01:00
2021-03-16,long,LOSS,-1.0,2021-03-16 02:10:00
2021-03-17,short,WIN,5.56,2021-03-17 02:56:00
2021-03-18,short,WIN,22.067,2021-03-18 02:36:00
2021-03-19,short,LOSS,-1.0,2021-03-19 02:17:00
2021-03-22,long,WIN,10.087,2021-03-22 03:32:00
2021-03-23,long,LOSS,-1.0,2021-03-23 02:37:00
2021-03-24,long,LOSS,-1.0,2021-03-24 02:11:00
2021-03-25,long,LOSS,-1.0,2021-03-25 03:02:00
2021-03-26,short,LOSS,-1.0,2021-03-26 02:45:00
2021-03-29,long,WIN,11.467,2021-03-29 03:50:00
2021-03-30,long,LOSS,-1.0,2021-03-30 02:28:00
2021-03-31,short,LOSS,-1.0,2021-03-31 02:57:00
2021-04-01,long,LOSS,-1.0,2021-04-01 02:05:00
2021-04-02,short,LOSS,-1.0,2021-04-02 04:47:00
2021-04-05,long,LOSS,-1.0,2021-04-05 02:08:00
2021-04-06,long,LOSS,-1.0,2021-04-06 04:39:00
2021-04-07,long,WIN,3.353,2021-04-07 02:32:00
2021-04-08,short,LOSS,-1.0,2021-04-08 02:54:00
2021-04-09,long,LOSS,-1.0,2021-04-09 02:12:00
2021-04-12,long,LOSS,-1.0,2021-04-12 03:00:00
2021-04-13,long,LOSS,-1.0,2021-04-13 02:56:00
2021-04-14,short,LOSS,-1.0,2021-04-14 02:19:00
2021-04-15,short,LOSS,-1.0,2021-04-15 05:20:00
2021-04-16,short,LOSS,-1.0,2021-04-16 03:51:00
2021-04-19,short,LOSS,-1.0,2021-04-19 02:46:00
2021-04-20,short,LOSS,-1.0,2021-04-20 02:59:00
2021-04-21,long,LOSS,-1.0,2021-04-21 02:28:00
2021-04-22,long,LOSS,-1.0,2021-04-22 02:20:00
2021-04-23,short,LOSS,-1.0,2021-04-23 02:49:00
2021-04-27,long,LOSS,-1.0,2021-04-27 04:11:00
2021-04-28,long,LOSS,-1.0,2021-04-28 02:22:00
2021-04-29,long,LOSS,-1.0,2021-04-29 02:40:00
2021-04-30,long,LOSS,-1.0,2021-04-30 02:13:00
2021-05-03,long,LOSS,-1.0,2021-05-03 02:04:00
2021-05-04,long,LOSS,-1.0,2021-05-04 02:32:00
2021-05-05,long,LOSS,-1.0,2021-05-05 02:06:00
2021-05-06,short,LOSS,-1.0,2021-05-06 02:37:00
2021-05-07,long,LOSS,-1.0,2021-05-07 02:16:00
2021-05-10,long,LOSS,-1.0,2021-05-10 03:33:00
2021-05-11,long,LOSS,-1.0,2021-05-11 03:15:00
