config,cost_pips,n_trades,win_rate,expectancy_r,total_r,profit_factor,max_dd_r,avg_risk_pips,avg_rr
"immediate 8p stop, full target",0.0,717,29.0,0.132,94.4,1.19,26.3,6.8,4.93
"immediate 8p stop, full target",0.2,720,28.9,0.089,64.0,1.12,26.4,6.9,4.54
"immediate 8p stop, full target",0.4,725,28.6,0.047,33.9,1.07,26.5,7.1,4.69
"immediate 8p stop, full target",0.6,727,28.5,0.012,8.8,1.02,31.1,7.3,4.36
"immediate 8p stop, full target",0.8,730,28.4,-0.021,-15.7,0.97,39.9,7.4,4.29
"immediate 8p stop, full target",1.0,731,28.3,-0.05,-36.7,0.93,46.4,7.6,3.92
"immediate 8p stop, full target",1.5,735,28.0,-0.116,-85.3,0.84,89.3,8.1,3.78
"immediate 8p stop, full target",2.0,737,28.0,-0.171,-125.9,0.76,128.6,8.6,3.19
"reclaim 12p stop, full target",0.0,668,45.5,0.09,60.2,1.17,15.9,13.0,1.51
"reclaim 12p stop, full target",0.2,668,45.4,0.074,49.1,1.14,16.1,13.2,1.47
"reclaim 12p stop, full target",0.4,668,45.4,0.057,38.3,1.11,17.4,13.4,1.43
"reclaim 12p stop, full target",0.6,668,45.2,0.042,27.9,1.08,20.0,13.6,1.4
"reclaim 12p stop, full target",0.8,668,45.2,0.027,17.7,1.05,22.9,13.8,1.36
"reclaim 12p stop, full target",1.0,668,45.2,0.012,7.9,1.02,25.7,14.0,1.33
"reclaim 12p stop, full target",1.5,668,45.2,-0.023,-15.6,0.96,35.0,14.5,1.25
"reclaim 12p stop, full target",2.0,668,45.2,-0.056,-37.4,0.9,44.1,15.0,1.17
"immediate 25p stop, full target",0.0,763,53.6,0.039,29.5,1.09,13.6,23.2,1.06
"immediate 25p stop, full target",0.2,763,53.6,0.03,22.6,1.07,13.8,23.4,1.03
"immediate 25p stop, full target",0.4,763,53.5,0.021,15.7,1.05,13.9,23.6,1.01
"immediate 25p stop, full target",0.6,763,53.3,0.012,9.0,1.03,14.1,23.8,0.99
"immediate 25p stop, full target",0.8,763,53.3,0.003,2.4,1.01,14.3,24.0,0.98
"immediate 25p stop, full target",1.0,763,53.3,-0.005,-4.1,0.99,14.9,24.2,0.96
"immediate 25p stop, full target",1.5,763,53.2,-0.026,-19.8,0.94,24.8,24.7,0.91
"immediate 25p stop, full target",2.0,763,53.1,-0.046,-34.9,0.89,39.4,25.2,0.87
