date,side,reached_target,asian_range_pips,yesterday_extreme_taken_when,yesterday_close_vs_daybefore
2021-01-05,high,True,21.9,never,bullish
2021-01-06,high,True,39.7,never,bullish
2021-01-07,low,False,18.3,never,bullish
2021-01-08,high,True,29.8,never,bearish
2021-01-11,high,True,24.1,never,bearish
2021-01-12,high,True,23.3,never,bearish
2021-01-13,high,True,15.3,london,bullish
2021-01-15,low,False,14.1,never,bearish
2021-01-18,high,True,19.0,london,bearish
2021-01-19,low,True,12.7,never,bullish
2021-01-20,high,True,14.1,london,bullish
2021-01-21,high,True,18.4,never,bearish
2021-01-22,low,True,15.3,never,bullish
2021-01-25,high,True,20.1,london,bullish
2021-01-26,low,True,18.7,never,bearish
2021-01-27,low,False,14.0,never,bullish
2021-01-28,low,True,20.0,never,bearish
2021-01-29,high,False,21.0,never,bullish
2021-02-01,low,False,11.7,never,bearish
2021-02-02,low,False,20.6,never,bearish
2021-02-03,low,False,10.8,never,bearish
2021-02-04,low,False,23.1,never,bearish
2021-02-05,high,False,17.0,never,bearish
2021-02-08,high,True,10.2,never,bearish
2021-02-09,high,False,25.9,london,bullish
2021-02-10,high,False,20.9,london,bullish
2021-02-11,high,False,11.2,never,bearish
2021-02-12,low,False,11.6,london,bullish
2021-02-15,high,False,20.2,london,bullish
2021-02-16,low,True,15.8,never,bullish
2021-02-17,low,False,15.0,london,bearish
2021-02-18,high,False,14.5,never,bearish
2021-02-19,high,False,15.8,london,bullish
2021-02-22,low,True,23.1,london,bullish
2021-02-23,high,True,13.3,london,bullish
2021-02-24,high,True,18.9,never,bearish
2021-02-25,high,False,21.4,london,bullish
2021-02-26,low,False,37.6,never,bearish
2021-03-01,low,False,20.9,never,bullish
2021-03-02,low,True,25.6,london,bearish
2021-03-03,low,True,10.9,never,bullish
2021-03-04,low,False,19.5,london,bearish
2021-03-05,low,False,15.0,london,bearish
2021-03-08,low,False,30.0,london,bearish
2021-03-09,high,False,31.5,never,bearish
2021-03-10,low,True,20.6,never,bullish
2021-03-11,high,False,17.3,london,bullish
2021-03-12,low,False,28.8,never,bullish
2021-03-15,low,False,24.9,london,bearish
2021-03-16,low,True,16.5,never,bearish
2021-03-17,high,True,11.5,never,bearish
2021-03-18,high,True,31.3,london,bullish
2021-03-19,high,True,17.6,never,bearish
2021-03-22,low,True,23.8,never,bearish
2021-03-23,low,False,14.0,never,bullish
2021-03-24,low,False,11.2,london,bearish
2021-03-25,low,False,23.6,london,bearish
2021-03-26,high,True,9.9,never,bearish
2021-03-29,low,True,16.1,london,bearish
2021-03-30,low,False,9.9,london,bearish
2021-03-31,high,False,21.4,never,bearish
2021-04-01,low,True,11.6,never,bullish
2021-04-02,high,True,14.9,london,bullish
2021-04-05,low,True,10.4,london,bullish
2021-04-06,low,True,21.9,never,bullish
2021-04-07,low,True,12.2,never,bullish
2021-04-08,high,False,13.0,never,bullish
2021-04-09,low,False,17.2,never,bullish
2021-04-12,low,True,17.6,london,bearish
2021-04-13,low,True,22.1,never,bearish
2021-04-14,high,True,10.4,london,bullish
2021-04-15,high,True,17.5,london,bullish
2021-04-16,high,False,24.3,never,bearish
2021-04-19,high,False,32.5,never,bearish
2021-04-20,high,True,34.4,london,bullish
2021-04-21,low,False,15.3,never,bearish
2021-04-22,low,True,14.4,never,bullish
2021-04-23,high,False,13.6,never,bearish
2021-04-27,low,True,18.9,never,bearish
2021-04-28,low,True,13.9,never,bullish
2021-04-29,low,False,25.8,never,bullish
2021-04-30,low,False,11.3,never,bearish
2021-05-03,low,True,17.1,london,bullish
2021-05-04,low,False,20.9,never,bullish
2021-05-05,low,False,12.5,never,bearish
2021-05-06,high,False,18.7,never,bearish
2021-05-07,low,True,10.3,never,bullish
2021-05-10,low,True,19.6,london,bearish
2021-05-11,low,True,23.4,london,bearish
2021-05-13,high,True,18.2,never,bearish
2021-05-14,high,False,14.9,never,bullish
2021-05-17,low,True,20.8,london,bearish
2021-05-18,high,False,15.7,london,bullish
2021-05-19,high,True,15.5,london,bullish
2021-05-20,high,False,16.2,never,bearish
2021-05-21,high,True,15.3,london,bullish
2021-05-24,high,True,12.1,london,bullish
2021-05-25,high,False,18.8,london,bullish
2021-05-26,low,False,18.6,never,bullish
2021-05-27,high,False,19.4,never,bearish
2021-05-28,low,True,11.3,london,bearish
2021-06-01,low,True,12.7,london,bullish
2021-06-02,low,False,11.5,never,bearish
2021-06-03,low,False,11.8,never,bearish
2021-06-04,low,True,15.9,london,bearish
2021-06-07,low,True,12.7,london,bullish
2021-06-08,low,False,16.2,never,bullish
2021-06-09,high,False,13.8,never,bullish
2021-06-10,low,True,14.3,london,bearish
2021-06-11,high,True,19.7,never,bullish
2021-06-14,low,True,15.7,london,bearish
2021-06-15,high,True,12.1,never,bullish
2021-06-16,high,True,10.4,never,bearish
2021-06-17,low,False,20.6,london,bearish
2021-06-18,low,False,20.4,never,bearish
2021-06-21,high,False,28.8,london,bearish
2021-06-22,low,False,14.5,never,bullish
2021-06-23,low,True,19.5,never,bullish
2021-06-24,low,True,14.0,never,bearish
2021-06-25,high,False,18.3,never,bullish
2021-06-28,high,True,21.5,london,bearish
2021-06-29,low,False,21.9,never,bearish
2021-06-30,low,False,12.6,never,bearish
2021-07-01,low,True,10.0,london,bearish
2021-07-02,low,True,7.1,never,bearish
2021-07-05,high,False,10.8,never,bearish
2021-07-06,high,True,17.0,london,bullish
2021-07-07,high,True,9.5,never,bearish
2021-07-08,high,False,11.6,never,bearish
2021-07-09,low,True,15.8,never,bullish
2021-07-12,low,False,12.7,never,bearish
2021-07-13,low,False,13.1,never,bullish
2021-07-14,high,False,13.6,never,bearish
2021-07-15,high,True,15.1,london,bullish
2021-07-16,low,True,15.0,never,bearish
2021-07-19,low,True,15.8,london,bearish
2021-07-20,low,True,12.2,never,bearish
2021-07-21,low,True,12.9,never,bearish
2021-07-22,high,True,11.7,never,bullish
2021-07-23,low,True,11.0,never,bearish
2021-07-26,high,False,15.4,london,bullish
2021-07-27,low,True,11.2,never,bullish
2021-07-28,low,True,15.1,never,bullish
2021-07-29,high,False,17.2,london,bullish
2021-07-30,low,True,14.0,never,bullish
2021-08-02,high,False,14.0,london,bullish
2021-08-03,high,True,10.6,never,bullish
2021-08-04,high,True,14.8,never,bearish
2021-08-05,low,True,7.7,london,bearish
2021-08-06,low,False,14.8,london,bearish
2021-08-09,high,True,18.4,london,bearish
2021-08-10,high,True,8.0,never,bearish
2021-08-11,low,True,13.8,never,bearish
2021-08-12,low,True,10.4,never,bullish
2021-08-13,low,True,9.7,never,bearish
2021-08-16,low,False,10.8,london,bearish
2021-08-17,low,True,11.0,london,bearish
2021-08-18,high,True,15.4,never,bearish
2021-08-20,low,True,11.6,never,bullish
2021-08-23,high,False,28.6,london,bullish
2021-08-24,low,True,13.2,never,bullish
2021-08-25,low,True,24.3,never,bullish
2021-08-26,low,True,12.6,never,bullish
2021-08-27,high,True,17.6,never,bearish
2021-08-30,low,False,14.6,never,bullish
2021-08-31,high,False,24.6,london,bullish
2021-09-01,low,True,11.0,london,bearish
2021-09-02,high,True,9.3,never,bullish
2021-09-03,low,True,10.9,never,bullish
2021-09-06,low,False,20.9,london,bearish
2021-09-07,low,False,12.4,never,bullish
2021-09-08,low,False,10.8,london,bearish
2021-09-09,low,True,13.0,never,bearish
2021-09-10,high,True,14.3,never,bullish
2021-09-13,low,True,10.6,london,bearish
2021-09-14,high,True,13.4,london,bullish
2021-09-15,low,True,11.2,never,bearish
2021-09-16,low,False,8.5,never,bullish
2021-09-17,high,True,11.4,never,bearish
2021-09-20,low,True,19.9,london,bearish
2021-09-21,low,True,16.7,never,bullish
2021-09-22,high,False,14.0,never,bearish
2021-09-23,high,False,25.8,never,bearish
2021-09-24,low,False,9.9,never,bullish
2021-09-27,low,False,8.5,never,bullish
2021-09-28,high,True,11.7,never,bearish
2021-09-29,low,False,12.1,never,bearish
2021-09-30,low,True,10.8,never,bearish
2021-10-01,high,False,16.3,never,bearish
2021-10-04,high,False,26.0,london,bearish
2021-10-05,low,False,21.7,never,bullish
2021-10-06,low,False,9.9,never,bearish
2021-10-07,low,True,9.9,never,bearish
2021-10-08,low,True,10.0,london,bearish
2021-10-11,high,True,14.3,london,bullish
2021-10-12,high,True,13.6,never,bearish
2021-10-13,high,False,25.7,never,bearish
2021-10-14,high,True,12.3,london,bullish
2021-10-15,high,False,23.5,never,bullish
2021-10-18,low,True,16.5,london,bearish
2021-10-19,high,False,33.6,london,bullish
2021-10-20,low,True,19.9,london,bearish
2021-10-21,low,False,16.4,never,bullish
2021-10-22,high,False,10.8,never,bearish
2021-10-26,low,True,13.3,never,bearish
2021-10-27,low,True,8.5,never,bullish
2021-10-28,high,True,20.4,never,bullish
2021-10-29,low,False,16.9,never,bullish
2021-11-01,high,False,14.3,london,bearish
2021-11-02,high,True,13.4,london,bullish
2021-11-03,high,True,10.2,never,bearish
2021-11-04,low,False,21.8,never,bullish
2021-11-05,high,True,16.7,never,bearish
2021-11-08,high,True,10.0,never,bearish
2021-11-09,high,True,22.2,london,bullish
2021-11-10,low,False,13.6,never,bearish
2021-11-11,low,False,19.8,london,bearish
2021-11-12,high,True,7.0,never,bearish
2021-11-15,low,False,21.3,never,bullish
2021-11-16,low,False,14.6,never,bearish
2021-11-18,low,True,19.6,never,bullish
2021-11-19,low,False,13.5,never,bullish
2021-11-22,low,True,24.8,london,bearish
2021-11-23,high,False,17.7,never,bearish
2021-11-24,high,True,13.1,never,bullish
2021-11-25,high,False,12.3,never,bearish
2021-11-26,high,False,15.0,london,bullish
2021-11-29,low,True,17.3,london,bearish
2021-11-30,high,True,17.5,london,bullish
2021-12-01,high,True,16.7,never,bullish
2021-12-02,low,True,23.5,never,bearish
2021-12-03,low,True,11.4,london,bearish
2021-12-06,low,True,8.7,london,bearish
2021-12-07,high,True,17.1,never,bullish
2021-12-08,high,True,20.6,never,bullish
2021-12-09,low,False,10.3,never,bullish
2021-12-10,low,True,14.7,never,bearish
2021-12-13,low,False,21.0,london,bearish
2021-12-14,low,True,12.4,never,bearish
2021-12-15,high,True,12.2,never,bearish
2021-12-16,high,False,8.9,never,bullish
2021-12-17,low,True,15.7,never,bullish
2021-12-20,high,False,14.7,london,bullish
2021-12-21,high,True,13.1,never,bullish
2021-12-22,low,True,23.4,never,bearish
2021-12-23,low,False,8.2,never,bullish
2021-12-24,high,True,11.4,never,bearish
2021-12-27,high,True,8.6,never,bullish
2021-12-28,low,True,13.1,never,bullish
2021-12-29,low,True,14.2,never,bearish
2021-12-30,low,False,19.5,never,bullish
2021-12-31,low,True,14.2,never,bearish
2022-01-03,low,True,26.6,london,bearish
2022-01-04,low,True,14.1,never,bearish
2022-01-05,high,False,19.4,never,bearish
2022-01-06,low,True,15.7,never,bullish
2022-01-07,high,True,8.1,never,bearish
2022-01-10,low,False,23.1,london,bearish
2022-01-11,high,True,11.5,never,bullish
2022-01-12,low,True,11.5,never,bullish
2022-01-13,high,False,11.4,never,bullish
2022-01-17,high,True,21.2,london,bullish
2022-01-19,high,False,12.6,never,bearish
2022-01-20,high,True,16.8,london,bullish
2022-01-21,high,False,34.1,never,bearish
2022-01-24,low,False,12.0,london,bearish
2022-01-25,low,False,14.5,never,bearish
2022-01-26,low,False,10.1,never,bearish
2022-01-27,low,False,15.9,london,bearish
2022-01-28,low,True,12.8,never,bearish
2022-01-31,high,False,19.1,london,bullish
2022-02-01,high,False,23.3,never,bullish
2022-02-02,low,True,7.3,never,bullish
2022-02-03,low,True,15.3,never,bullish
2022-02-04,low,True,27.3,never,bullish
2022-02-07,low,True,29.0,london,bearish
2022-02-08,low,False,27.2,london,bearish
2022-02-09,low,True,20.3,never,bullish
2022-02-10,high,True,14.5,never,bearish
2022-02-11,low,True,31.9,london,bearish
2022-02-14,low,False,24.5,never,bearish
2022-02-15,high,False,14.0,never,bearish
2022-02-16,high,False,12.0,never,bullish
2022-02-17,high,False,61.8,never,bearish
2022-02-18,high,True,13.5,never,bullish
2022-02-21,high,True,40.0,london,bullish
2022-02-22,high,False,28.0,never,bearish
2022-02-23,low,True,18.8,never,bullish
2022-02-25,low,True,39.0,never,bearish
2022-02-28,high,False,43.8,never,bearish
2022-03-01,high,True,19.7,never,bullish
2022-03-02,low,True,24.5,never,bearish
2022-03-03,low,False,16.6,never,bearish
2022-03-04,low,False,40.5,never,bearish
