ts,open,high,low,close,bar_count,range_pips,atr14_pips
2021-01-03,1.22396,1.22584,1.22296,1.22488,415,28.799999999999937,
2021-01-04,1.22489,1.23096,1.22413,1.22689,1438,68.30000000000113,
2021-01-05,1.22689,1.23261,1.22538,1.22917,1433,72.3000000000007,
2021-01-06,1.22915,1.23494,1.22655,1.23246,1433,83.89999999999897,
2021-01-07,1.23246,1.23255,1.22349,1.22632,1434,90.60000000000068,68.78000000000029
2021-01-08,1.2263,1.22845,1.21929,1.22174,1020,91.60000000000056,72.58333333333367
2021-01-10,1.22175,1.22284,1.21666,1.21738,418,61.79999999999852,71.04285714285722
2021-01-11,1.21739,1.21998,1.21321,1.21427,1434,67.70000000000165,70.62500000000027
2021-01-12,1.21427,1.22201,1.21371,1.22085,1434,82.99999999999973,72.0000000000002
2021-01-13,1.22085,1.22227,1.21355,1.21496,1438,87.2000000000006,73.52000000000024
2021-01-14,1.21495,1.21784,1.2111,1.21468,1431,67.39999999999968,72.96363636363657
2021-01-15,1.21468,1.21469,1.20747,1.20748,1019,72.20000000000005,72.90000000000019
2021-01-17,1.20838,1.20865,1.20649,1.207,412,21.599999999999397,68.95384615384627
2021-01-18,1.20701,1.20986,1.20535,1.20953,1416,45.100000000000136,67.25000000000013
2021-01-19,1.20953,1.21492,1.20852,1.21403,1437,63.99999999999961,69.76428571428582
2021-01-20,1.21403,1.21581,1.20767,1.21294,1425,81.40000000000036,70.70000000000005
2021-01-21,1.21295,1.21777,1.21148,1.21735,1434,62.900000000001285,70.02857142857151
2021-01-22,1.21736,1.21894,1.21515,1.21667,1019,37.8999999999996,66.74285714285728
2021-01-24,1.21688,1.21802,1.21601,1.2176,416,20.100000000000673,61.70714285714298
2021-01-25,1.2176,1.21832,1.21158,1.21301,1431,67.39999999999968,59.9785714285715
2021-01-26,1.21301,1.21758,1.21076,1.21572,1427,68.20000000000049,60.43571428571449
2021-01-27,1.21572,1.21659,1.20585,1.20936,1435,107.39999999999971,63.27142857142864
2021-01-28,1.20934,1.21424,1.20807,1.20995,1437,61.70000000000009,61.7500000000001
2021-01-29,1.20995,1.2156,1.20944,1.21298,1020,61.59999999999943,59.921428571428585
2021-01-31,1.21297,1.21363,1.21201,1.21275,418,16.199999999999548,56.26428571428572
2021-02-01,1.21276,1.21326,1.2056,1.20756,1435,76.6,56.57857142857142
2021-02-02,1.20755,1.20871,1.20115,1.20432,1438,75.60000000000011,60.43571428571433
2021-02-03,1.20434,1.20456,1.2004,1.20197,1434,41.600000000001636,60.18571428571444
2021-02-04,1.20196,1.20196,1.19522,1.1956,1425,67.39999999999968,60.428571428571594
2021-02-05,1.19561,1.20498,1.19552,1.20481,1019,94.60000000000024,61.37142857142873
2021-02-07,1.20375,1.2055,1.20296,1.20345,416,25.399999999999867,58.69285714285719
2021-02-08,1.20346,1.2082,1.20196,1.20756,1415,62.40000000000023,60.44285714285724
