date,day_of_week,asian_high,asian_low,asian_range_pips,yday_high,yday_low,yday_open,yday_close,dby_high,dby_low,setup1_sell,setup1_buy,setup2_sell,setup2_buy,predicted_side_setup1,predicted_side_setup2,predicted_side,actual_side,actual_sweep_time,actual_sweep_hour,session_bucket,reached_yesterday_extreme,mixed_day,agree_day
2021-01-05,Tuesday,1.22767,1.22548,21.9,1.23096,1.22413,1.22489,1.22689,1.22584,1.22296,False,False,False,False,none,none,none,high,03:19,3,in_session,False,False,False
2021-01-06,Wednesday,1.23152,1.22755,39.7,1.23261,1.22538,1.22689,1.22917,1.23096,1.22413,True,False,False,False,high,none,high,high,01:48,1,in_session,False,False,True
2021-01-07,Thursday,1.2337,1.23187,18.3,1.23494,1.22655,1.22915,1.23246,1.23261,1.22538,False,True,False,False,low,none,low,low,00:12,0,before_session,False,False,True
2021-01-08,Friday,1.22647,1.22349,29.8,1.23255,1.22349,1.23246,1.22632,1.23494,1.22655,False,True,False,False,low,none,low,high,00:22,0,before_session,True,True,False
2021-01-11,Monday,1.21907,1.21666,24.1,1.22284,1.21666,1.22175,1.21738,1.22845,1.21929,False,True,False,False,low,none,low,high,02:07,2,in_session,True,True,False
2021-01-12,Tuesday,1.21619,1.21386,23.3,1.21998,1.21321,1.21739,1.21427,1.22284,1.21666,False,False,False,False,none,none,none,high,02:16,2,in_session,False,False,False
2021-01-13,Wednesday,1.22201,1.22048,15.3,1.22201,1.21371,1.21427,1.22085,1.21998,1.21321,True,False,False,False,high,none,high,high,02:30,2,in_session,False,False,True
2021-01-14,Thursday,1.21718,1.21355,36.3,1.22227,1.21355,1.22085,1.21496,1.22201,1.21371,False,False,False,False,none,none,none,low,07:59,7,after_session,False,False,False
2021-01-15,Friday,1.21573,1.21432,14.1,1.21784,1.2111,1.21495,1.21468,1.22227,1.21355,False,False,False,False,none,none,none,low,00:21,0,before_session,False,False,False
2021-01-18,Monday,1.20844,1.20654,19.0,1.20865,1.20649,1.20838,1.207,1.21469,1.20747,True,True,False,False,conflict,none,conflict,high,02:17,2,in_session,True,False,False
2021-01-19,Tuesday,1.20986,1.20859,12.7,1.20986,1.20535,1.20701,1.20953,1.20865,1.20649,True,False,False,False,high,none,high,low,02:24,2,in_session,True,True,False
2021-01-20,Wednesday,1.21492,1.21351,14.1,1.21492,1.20852,1.20953,1.21403,1.20986,1.20535,True,False,False,False,high,none,high,high,01:35,1,in_session,True,False,True
