confirm,pivot_n,break_on,entry_style,retrace,stop_buffer,min_range,n_trades,fill_rate,win_rate,expectancy_r,profit_factor,max_dd_r,avg_risk_pips,avg_rr
reclaim,0,close,market,0.0,3.0,25,170,100.0,26.5,0.109,1.15,14.1,10.5,3.92
reclaim,0,close,market,0.0,1.0,25,170,100.0,21.8,0.105,1.13,16.8,8.5,5.72
pivot,2,wick,market,0.0,1.0,25,188,100.0,26.1,0.078,1.11,19.0,10.4,3.87
reclaim,0,close,pullback,0.382,3.0,25,152,89.4,21.7,0.076,1.1,18.2,8.8,4.23
pivot,3,close,market,0.0,1.0,25,187,100.0,30.5,0.037,1.05,17.1,12.3,3.11
pivot,5,close,market,0.0,1.0,25,183,100.0,33.9,0.033,1.05,15.0,14.4,2.76
reclaim,0,close,pullback,0.382,1.0,25,152,89.4,16.4,0.024,1.03,20.4,6.8,6.02
pivot,5,close,market,0.0,3.0,25,183,100.0,36.1,0.012,1.02,17.4,16.4,2.35
pivot,2,wick,market,0.0,3.0,25,188,100.0,28.2,0.011,1.02,21.2,12.4,3.07
pivot,3,close,market,0.0,3.0,15,513,100.0,37.4,0.009,1.01,26.6,12.7,2.13
pivot,2,wick,market,0.0,3.0,15,514,100.0,32.3,-0.002,1.0,27.3,10.8,2.56
pivot,5,close,market,0.0,3.0,15,502,100.0,40.4,-0.002,1.0,19.4,14.7,1.92
pivot,2,close,market,0.0,1.0,25,188,100.0,26.1,-0.005,0.99,25.6,11.2,3.45
reclaim,0,close,pullback,0.618,3.0,25,132,77.6,16.7,-0.005,0.99,21.0,6.7,5.34
reclaim,0,close,market,0.0,3.0,15,467,100.0,31.0,-0.006,0.99,29.3,10.1,2.89
pivot,3,close,market,0.0,3.0,25,187,100.0,32.1,-0.015,0.98,22.3,14.3,2.58
reclaim,0,close,pullback,0.5,3.0,25,141,82.9,18.4,-0.017,0.98,18.6,7.6,4.72
pivot,2,close,market,0.0,3.0,25,188,100.0,28.7,-0.019,0.97,23.1,13.2,2.81
