date,side,outcome,r_multiple,risk_pips,reward_pips,confirm_min,skipped
2022-07-01,low,LOSS,-1.0,13.5,27.1,6,False
2022-07-04,low,WIN,1.793,8.7,15.6,1,False
2022-07-05,high,WIN,1.344,9.6,12.9,4,False
2022-07-06,low,WIN,0.726,20.8,15.1,13,False
2022-07-07,high,WIN,2.373,13.4,31.8,1,False
2022-07-08,low,LOSS,-1.0,8.9,33.0,1,False
2022-07-11,low,LOSS,-1.0,4.3,31.6,0,False
2022-07-12,low,LOSS,-1.0,6.9,46.4,0,False
2022-07-13,high,WIN,2.07,10.0,20.7,0,False
2022-07-14,low,LOSS,-1.0,9.2,27.9,1,False
2022-07-15,low,LOSS,-1.0,4.3,28.9,0,False
2022-07-18,low,WIN,2.646,9.9,26.2,21,False
2022-07-20,low,WIN,2.468,6.2,15.3,0,False
2022-07-21,high,WIN,1.567,21.5,33.7,30,False
2022-07-22,low,LOSS,-1.0,7.7,34.3,1,False
2022-07-25,high,LOSS,-1.0,10.3,30.0,0,False
2022-07-26,low,LOSS,-1.0,11.2,26.9,1,False
2022-07-27,high,WIN,1.173,15.6,18.3,7,False
2022-07-28,high,WIN,1.298,24.8,32.2,46,False
2022-07-29,high,LOSS,-1.0,5.7,33.7,1,False
2022-08-01,high,LOSS,-1.0,10.7,31.2,4,False
2022-08-02,low,LOSS,-1.0,9.2,36.5,10,False
2022-08-04,high,LOSS,-1.0,15.1,19.9,48,False
2022-08-05,low,LOSS,-1.0,12.4,16.4,52,False
2022-08-08,high,LOSS,-1.0,7.1,25.2,0,False
2022-08-10,low,WIN,1.899,6.9,13.1,0,False
2022-08-11,low,WIN,3.75,5.6,21.0,0,False
2022-08-12,low,LOSS,-1.0,10.8,19.0,4,False
2022-08-15,low,LOSS,-1.0,18.5,22.8,55,False
2022-08-16,low,LOSS,-1.0,20.0,18.9,42,False
2022-08-18,low,LOSS,-1.0,25.8,24.3,121,False
2022-08-19,high,LOSS,-1.0,5.2,19.6,0,False
2022-08-22,low,LOSS,-1.0,7.3,19.8,1,False
2022-08-23,low,WIN,0.467,36.0,16.8,99,False
2022-08-24,low,LOSS,-1.0,12.0,28.1,18,False
2022-08-29,high,LOSS,-1.0,7.5,24.8,1,False
2022-08-31,high,WIN,1.286,12.6,16.2,3,False
2022-09-01,low,WIN,3.691,6.8,25.1,1,False
2022-09-05,low,WIN,0.909,28.7,26.1,24,False
2022-09-06,high,LOSS,-1.0,13.4,26.1,4,False
2022-09-07,high,LOSS,-1.0,5.5,25.2,1,False
2022-09-08,high,LOSS,-1.0,5.9,19.3,1,False
2022-09-09,high,WIN,1.073,34.3,73.5,144,False
2022-09-12,high,LOSS,-1.0,5.4,30.0,0,False
2022-09-13,high,LOSS,-1.0,6.0,20.6,0,False
2022-09-14,low,LOSS,-1.0,4.4,20.4,0,False
2022-09-16,low,LOSS,-1.0,13.9,24.8,18,False
2022-09-20,low,LOSS,-1.0,11.2,29.4,11,False
2022-09-22,high,LOSS,-1.0,5.3,28.4,0,False
2022-09-23,low,LOSS,-1.0,4.8,29.5,0,False
2022-09-26,high,WIN,4.716,14.8,139.2,6,False
2022-09-27,high,WIN,0.837,30.1,25.2,47,False
2022-09-28,low,WIN,2.948,17.2,50.7,1,False
2022-09-29,low,LOSS,-1.0,23.4,37.7,61,False
2022-09-30,high,WIN,5.206,6.8,35.4,0,False
2022-10-05,high,WIN,4.47,6.6,29.5,0,False
2022-10-06,low,LOSS,-1.0,6.8,20.4,0,False
2022-10-07,low,LOSS,-1.0,5.3,23.7,1,False
2022-10-10,low,LOSS,-1.0,12.2,27.3,6,False
2022-10-11,low,WIN,3.942,10.4,41.0,3,False
2022-10-12,high,WIN,0.54,34.6,18.7,88,False
2022-10-13,low,WIN,2.092,12.0,25.1,19,False
2022-10-14,low,LOSS,-1.0,13.4,45.8,5,False
2022-10-17,high,WIN,2.439,5.7,13.9,0,False
2022-10-18,high,LOSS,-1.0,8.2,27.5,4,False
2022-10-21,low,WIN,1.787,8.9,15.9,4,False
2022-10-24,low,LOSS,-1.0,9.9,36.8,1,False
2022-10-25,low,LOSS,-1.0,12.8,19.6,10,False
2022-10-26,high,LOSS,-1.0,4.3,22.7,0,False
2022-10-27,low,LOSS,-1.0,4.6,30.3,0,False
2022-10-28,low,LOSS,-0.732,37.3,37.2,120,False
2022-10-31,low,LOSS,-1.0,8.5,20.7,2,False
2022-11-02,low,WIN,1.42,13.1,18.6,39,False
2022-11-04,high,LOSS,-1.0,5.9,38.5,0,False
2022-11-07,high,LOSS,-1.0,9.8,22.9,1,False
2022-11-08,low,LOSS,-1.0,9.0,22.9,1,False
2022-11-09,low,LOSS,-1.0,8.8,23.7,0,False
2022-11-10,high,WIN,1.742,8.9,15.5,0,False
2022-11-14,high,WIN,5.616,7.3,41.0,0,False
2022-11-16,high,LOSS,-1.0,13.8,54.9,4,False
2022-11-17,high,LOSS,-1.0,7.0,28.4,1,False
2022-11-18,low,LOSS,-1.0,4.8,28.3,0,False
2022-11-22,low,WIN,1.346,10.7,14.4,5,False
