entry,stop_pips,target_frac,min_range,n_trades,win_rate,expectancy_r,total_r,profit_factor,max_dd_r,avg_risk_pips,avg_rr
immediate,8,3.0,25,175,14.9,0.252,44.1,1.3,27.6,7.8,18.18
reclaim,8,3.0,25,167,18.0,0.179,29.9,1.22,21.3,10.2,9.31
immediate,8,2.0,25,175,15.4,0.159,27.7,1.19,26.0,7.8,12.12
immediate,8,2.0,15,489,19.2,0.156,76.2,1.19,39.6,7.8,8.95
reclaim,8,3.0,15,456,21.7,0.156,71.3,1.2,34.1,10.1,6.74
reclaim,8,2.0,15,456,24.3,0.112,51.1,1.15,28.0,10.1,4.49
immediate,8,3.0,20,303,15.2,0.105,31.7,1.12,34.7,7.9,16.06
reclaim,12,3.0,15,456,28.1,0.103,47.0,1.15,27.7,14.1,4.8
immediate,8,3.0,15,489,16.6,0.102,50.1,1.12,44.6,7.8,13.42
reclaim,8,1.0,25,167,26.3,0.094,15.6,1.13,17.5,10.2,3.1
immediate,8,1.0,25,175,22.3,0.093,16.3,1.12,21.6,7.8,6.06
reclaim,12,1.0,25,167,33.5,0.092,15.4,1.14,13.4,14.2,2.21
reclaim,8,3.0,20,290,18.3,0.09,26.1,1.11,35.2,10.1,7.96
reclaim,12,2.0,15,456,31.4,0.081,37.1,1.12,19.0,14.1,3.2
reclaim,8,2.0,25,167,18.6,0.08,13.4,1.1,20.7,10.2,6.2
reclaim,12,1.0,15,456,42.8,0.079,35.8,1.14,13.6,14.1,1.6
reclaim,8,1.0,15,456,34.4,0.067,30.5,1.1,23.5,10.1,2.25
immediate,8,1.5,15,489,21.3,0.065,31.8,1.08,41.3,7.8,6.71
reclaim,15,3.0,15,456,31.4,0.056,25.3,1.08,25.2,17.1,3.95
reclaim,15,1.0,15,456,46.7,0.053,24.2,1.1,16.0,17.1,1.32
immediate,12,2.0,15,504,25.8,0.05,25.0,1.07,30.4,11.6,5.65
reclaim,15,2.0,15,456,34.9,0.045,20.5,1.07,25.3,17.1,2.63
immediate,12,1.0,25,184,27.2,0.044,8.1,1.06,19.6,11.4,4.28
reclaim,12,2.0,0,668,34.3,0.044,29.2,1.07,29.2,14.0,2.66
immediate,8,2.0,0,731,19.8,0.043,31.3,1.05,53.4,7.6,7.85
reclaim,12,3.0,0,668,29.5,0.039,26.0,1.06,33.1,14.0,3.98
immediate,8,1.5,25,175,16.6,0.039,6.8,1.05,30.6,7.8,9.09
immediate,8,2.0,20,303,15.8,0.035,10.7,1.04,37.4,7.9,10.7
immediate,12,1.0,15,504,35.5,0.035,17.6,1.05,16.7,11.6,2.82
immediate,8,1.0,15,489,27.2,0.034,16.8,1.05,23.6,7.8,4.47
reclaim,8,3.0,0,668,21.9,0.029,19.6,1.04,44.3,10.0,5.6
immediate,12,2.0,0,750,28.3,0.028,21.1,1.04,40.4,11.4,4.74
reclaim,12,1.0,20,290,35.2,0.026,7.6,1.04,20.3,14.1,1.89
reclaim,8,1.5,15,456,26.3,0.021,9.5,1.03,26.8,10.1,3.37
reclaim,12,1.5,15,456,34.0,0.019,8.7,1.03,22.4,14.1,2.4
immediate,15,2.0,15,510,29.2,0.019,9.6,1.03,46.7,14.4,4.41
reclaim,8,2.0,0,668,25.6,0.017,11.3,1.02,42.3,10.0,3.73
reclaim,15,2.0,0,668,37.9,0.017,11.4,1.03,30.2,17.0,2.18
reclaim,12,3.0,20,290,23.4,0.016,4.5,1.02,27.1,14.1,5.67
immediate,12,3.0,15,504,22.8,0.015,7.8,1.02,38.8,11.6,8.47
reclaim,12,1.0,0,668,45.2,0.012,7.9,1.02,25.7,14.0,1.33
reclaim,20,3.0,15,456,35.5,0.01,4.8,1.02,27.2,22.1,3.05
reclaim,12,3.0,25,167,22.2,0.007,1.1,1.01,20.6,14.2,6.64
reclaim,20,1.0,15,456,50.7,0.007,3.1,1.01,13.9,22.1,1.02
reclaim,20,2.0,15,456,39.3,0.007,3.0,1.01,28.6,22.1,2.03
immediate,15,1.0,15,510,39.4,0.006,3.2,1.01,28.2,14.4,2.2
reclaim,8,1.0,20,290,27.6,0.006,1.7,1.01,27.7,10.1,2.65
reclaim,15,3.0,0,668,32.8,0.006,4.0,1.01,37.2,17.0,3.28
reclaim,15,1.0,20,290,39.3,0.005,1.4,1.01,20.1,17.1,1.56
reclaim,15,1.0,0,668,49.6,0.003,2.0,1.01,17.0,17.0,1.09
immediate,12,1.5,15,504,28.4,0.002,1.2,1.0,32.8,11.6,4.24
