date,side,outcome,r_multiple,risk_pips,reward_pips
2021-01-06,high,LOSS,-1.0,15.6,36.1
2021-01-08,high,WIN,2.119,13.4,28.4
2021-02-09,high,LOSS,-1.0,13.4,24.5
2021-02-26,low,LOSS,-1.0,14.1,35.5
2021-03-02,low,LOSS,-1.0,13.6,24.0
2021-03-09,high,LOSS,-1.0,13.4,30.1
2021-03-18,high,WIN,2.207,13.5,29.8
2021-04-19,high,LOSS,-1.0,13.1,31.4
2021-04-20,high,WIN,2.362,13.8,32.6
2021-06-21,high,LOSS,-1.0,13.2,27.6
2021-08-23,high,LOSS,-1.0,13.3,27.3
2021-09-23,high,LOSS,-1.0,14.2,23.6
2021-10-04,high,LOSS,-1.0,13.2,24.8
2021-10-13,high,LOSS,-1.0,13.6,24.1
2021-10-19,high,LOSS,-1.0,13.6,32.0
2022-01-03,low,WIN,1.881,13.4,25.2
2022-01-21,high,LOSS,-1.0,13.7,32.4
2022-02-04,low,WIN,1.441,16.1,23.2
2022-02-07,low,WIN,2.13,13.1,27.9
2022-02-11,low,WIN,2.028,14.5,29.4
2022-02-17,high,WIN,1.418,14.1,59.7
2022-02-21,high,WIN,2.91,13.3,38.7
2022-02-22,high,LOSS,-1.0,14.3,25.7
2022-02-25,low,LOSS,-1.0,13.5,37.5
2022-02-28,high,LOSS,-1.0,13.1,42.7
2022-03-04,low,LOSS,-1.0,14.7,37.8
2022-03-07,high,WIN,4.789,13.3,63.7
2022-03-08,low,WIN,1.813,15.5,28.1
2022-03-11,low,LOSS,-1.0,17.0,24.8
2022-03-14,high,LOSS,-1.0,14.5,34.5
2022-03-18,low,LOSS,-1.0,14.7,24.5
2022-03-25,low,LOSS,-1.0,14.3,27.6
2022-03-28,low,WIN,2.382,13.6,32.4
2022-03-29,high,LOSS,-1.0,13.4,26.6
2022-03-30,high,LOSS,-1.0,13.2,31.4
2022-03-31,low,LOSS,-1.0,14.2,26.6
2022-04-13,high,WIN,1.73,15.2,26.3
2022-04-14,high,WIN,1.597,14.9,23.8
2022-04-15,high,WIN,0.917,13.3,23.9
2022-04-19,high,LOSS,-1.0,13.6,24.8
2022-04-21,high,LOSS,-1.0,13.1,26.0
2022-04-25,low,LOSS,-1.0,13.4,33.3
2022-04-26,low,LOSS,-1.0,16.1,23.1
2022-04-28,low,WIN,3.333,13.2,44.0
2022-05-02,low,WIN,2.383,14.1,33.6
2022-05-05,low,LOSS,-1.0,14.0,35.8
2022-05-06,low,LOSS,-1.0,14.0,33.0
2022-05-09,low,WIN,2.328,13.4,31.2
2022-05-10,low,LOSS,-1.0,14.1,24.4
2022-05-16,high,LOSS,-1.0,13.1,27.0
2022-05-18,low,LOSS,-1.0,14.0,37.3
2022-05-19,low,WIN,2.563,14.2,36.4
2022-05-20,high,WIN,2.13,13.1,27.9
2022-05-23,high,LOSS,-1.0,13.3,25.4
2022-05-24,high,LOSS,-1.0,16.4,20.7
2022-05-25,low,LOSS,-1.0,13.2,32.3
2022-05-27,low,LOSS,-1.0,13.6,32.9
2022-05-30,high,LOSS,-1.0,14.6,26.5
2022-05-31,low,LOSS,-1.0,14.2,38.0
2022-06-01,low,WIN,1.752,14.1,24.7
2022-06-14,high,LOSS,-1.0,13.1,34.2
2022-06-15,high,LOSS,-1.0,14.8,22.6
2022-06-16,low,LOSS,-1.0,15.4,35.0
2022-06-17,low,LOSS,-1.0,15.7,30.9
2022-06-20,high,LOSS,-1.0,15.9,40.0
2022-06-21,low,WIN,1.879,13.2,24.8
2022-06-22,low,LOSS,-1.0,15.5,25.8
2022-06-24,high,LOSS,-1.0,13.3,23.8
2022-07-01,low,LOSS,-1.0,13.3,27.1
2022-07-07,high,WIN,2.288,13.9,31.8
2022-07-08,low,LOSS,-1.0,16.8,33.0
2022-07-11,low,LOSS,-1.0,13.1,31.6
2022-07-12,low,WIN,3.114,14.9,46.4
2022-07-14,low,WIN,2.007,13.9,27.9
2022-07-15,low,WIN,2.189,13.2,28.9
2022-07-18,low,WIN,1.941,13.5,26.2
2022-07-21,high,WIN,2.496,13.5,33.7
2022-07-22,low,LOSS,-1.0,14.7,34.3
2022-07-25,high,WIN,2.143,14.0,30.0
2022-07-26,low,LOSS,-1.0,13.3,26.9
2022-07-28,high,WIN,2.132,15.1,32.2
2022-07-29,high,LOSS,-1.0,13.8,33.7
2022-08-01,high,LOSS,-1.0,14.4,31.2
2022-08-02,low,LOSS,-1.0,13.4,36.5
2022-08-08,high,LOSS,-1.0,13.4,25.2
2022-08-15,low,LOSS,-1.0,17.7,22.8
2022-08-24,low,LOSS,-1.0,13.1,28.1
2022-08-29,high,LOSS,-1.0,14.4,24.8
2022-09-01,low,WIN,1.731,14.5,25.1
2022-09-05,low,WIN,1.851,14.1,26.1
2022-09-06,high,LOSS,-1.0,13.9,26.1
2022-09-07,high,LOSS,-1.0,13.8,25.2
2022-09-12,high,LOSS,-1.0,14.2,30.0
2022-09-16,low,LOSS,-1.0,13.2,24.8
2022-09-20,low,LOSS,-1.0,13.1,29.4
2022-09-22,high,LOSS,-1.0,13.4,28.4
2022-09-23,low,LOSS,-1.0,13.6,29.5
2022-09-26,high,WIN,4.95,14.1,139.2
2022-09-27,high,LOSS,-1.0,13.3,25.2
2022-09-28,low,WIN,2.627,19.3,50.7
2022-09-29,low,LOSS,-1.0,13.7,37.7
2022-09-30,high,WIN,2.284,15.5,35.4
2022-10-05,high,WIN,2.153,13.7,29.5
2022-10-07,low,LOSS,-1.0,13.9,23.7
2022-10-10,low,LOSS,-1.0,13.2,27.3
2022-10-11,low,WIN,3.13,13.1,41.0
2022-10-12,high,LOSS,-1.0,22.7,18.7
2022-10-13,low,WIN,1.793,14.0,25.1
2022-10-14,low,LOSS,-1.0,13.2,45.8
2022-10-18,high,LOSS,-1.0,14.0,27.5
2022-10-24,low,LOSS,-1.0,17.3,36.8
2022-10-27,low,LOSS,-1.0,13.4,30.3
2022-10-28,low,LOSS,-1.0,15.0,37.2
2022-11-04,high,LOSS,-1.0,13.7,38.5
2022-11-07,high,LOSS,-1.0,16.4,22.9
2022-11-09,low,LOSS,-1.0,17.3,23.7
2022-11-14,high,WIN,2.562,16.0,41.0
2022-11-16,high,LOSS,-1.0,13.2,54.9
2022-11-17,high,LOSS,-1.0,14.9,28.4
2022-11-18,low,LOSS,-1.0,13.5,28.3
2022-11-24,low,LOSS,-1.0,14.3,35.0
2022-11-25,low,LOSS,-1.0,13.6,24.1
2022-11-28,high,LOSS,-1.0,13.7,37.6
2022-12-01,high,LOSS,-1.0,13.4,27.6
2022-12-05,low,LOSS,-1.0,13.4,40.4
2022-12-06,low,WIN,2.201,13.4,29.5
2022-12-09,high,WIN,1.836,13.4,24.6
2022-12-20,low,WIN,3.847,13.7,52.7
2022-12-22,high,LOSS,-1.0,14.5,30.0
2022-12-23,high,LOSS,-1.0,13.1,24.4
2022-12-27,high,WIN,1.741,13.5,23.5
2023-01-03,low,LOSS,-1.0,13.4,28.4
2023-01-05,low,LOSS,-1.0,15.7,24.4
2023-01-16,low,LOSS,-1.0,13.8,31.8
2023-01-17,high,LOSS,-1.0,13.2,25.4
2023-01-18,high,LOSS,-1.0,13.4,31.7
2023-01-27,low,LOSS,-1.0,13.3,32.1
2023-02-15,low,LOSS,-1.0,13.2,28.9
2023-02-16,high,WIN,1.878,13.9,26.1
2023-02-17,low,LOSS,-1.0,14.0,30.8
2023-03-06,high,WIN,1.7,14.0,23.8
2023-03-13,high,WIN,4.358,15.9,69.3
2023-03-15,low,LOSS,-1.0,13.5,27.0
2023-03-20,low,LOSS,-1.0,14.5,22.7
2023-03-23,high,WIN,1.91,13.3,25.4
2023-04-03,high,LOSS,-1.0,13.5,27.0
2023-04-14,high,WIN,1.471,15.5,22.8
2023-04-28,low,LOSS,-1.0,17.3,21.6
2023-05-02,high,LOSS,-1.0,13.2,24.6
2023-05-05,high,WIN,1.705,13.9,23.7
2023-05-31,low,LOSS,-1.0,13.8,39.6
2023-06-15,low,WIN,2.659,13.2,35.1
2023-06-27,high,LOSS,-1.0,13.4,31.5
2023-06-29,low,WIN,1.745,13.7,23.9
2023-07-14,low,WIN,1.842,14.6,26.9
2023-07-20,low,LOSS,-1.0,14.7,22.7
2023-07-27,high,LOSS,-1.0,13.5,38.9
2023-08-02,low,LOSS,-1.0,14.0,25.8
2023-08-08,high,WIN,2.053,13.3,27.3
2023-09-08,high,WIN,1.843,13.4,24.7
2023-09-12,low,LOSS,-1.0,13.7,30.0
2023-09-21,high,LOSS,-1.0,15.1,30.5
2023-10-05,low,WIN,1.699,14.3,24.3
2023-10-26,low,LOSS,-1.0,14.7,25.0
2023-11-16,high,LOSS,-1.0,13.2,24.6
2023-11-20,high,LOSS,-0.783,16.1,30.3
2023-12-14,low,WIN,2.174,13.2,28.7
