date,side,direction,leg_extreme,stop_level,leg_range_pips,outcome,max_retrace_pct,leg_extreme_bar,window_end,target,bucket
2021-01-04,high,short,1.2287,1.22997,12.7,LOSS,101.6,864,1135,1.22397,>100% (stop)
2021-01-05,high,short,1.22658,1.22842,18.4,WIN,68.5,2347,2573,1.22548,50-75%
2021-01-06,high,short,1.23206,1.23452,24.6,LOSS,102.0,3540,4006,1.22755,>100% (stop)
2021-01-07,low,long,1.22784,1.2245,33.4,OPEN,96.7,5243,5439,1.2337,75-100%
2021-01-08,high,short,1.22132,1.22681,54.9,WIN,23.7,6392,6873,1.22349,0-25%
2021-01-11,high,short,1.21767,1.21887,12.0,LOSS,163.3,7785,8311,1.21666,>100% (stop)
2021-01-12,high,short,1.21502,1.21752,25.0,LOSS,114.4,9294,9745,1.21386,>100% (stop)
2021-01-13,high,short,1.21822,1.22185,36.3,WIN,26.4,10757,11178,1.22048,25-50%
2021-01-15,low,long,1.21466,1.21353,11.3,LOSS,101.8,13492,14048,1.21573,>100% (stop)
2021-01-18,high,short,1.20669,1.20817,14.8,WIN,85.8,14968,15479,1.20654,75-100%
2021-01-19,low,long,1.21186,1.20925,26.1,WIN,46.0,16414,16895,1.20986,25-50%
2021-01-20,high,short,1.21179,1.21466,28.7,WIN,32.1,17911,18332,1.21351,25-50%
2021-01-21,high,short,1.21148,1.21325,17.7,LOSS,108.5,19276,19757,1.21153,>100% (stop)
2021-01-22,low,long,1.21894,1.21532,36.2,WIN,82.0,20740,21191,1.21766,75-100%
2021-01-25,high,short,1.214,1.21811,41.1,WIN,24.3,22235,22626,1.21601,0-25%
2021-01-26,low,long,1.21414,1.21232,18.2,LOSS,103.8,23591,24057,1.21461,>100% (stop)
2021-01-27,low,long,1.21327,1.21187,14.0,LOSS,100.0,25153,25484,1.2167,75-100%
2021-01-28,low,long,1.21136,1.20931,20.5,LOSS,102.9,26423,26919,1.21059,>100% (stop)
2021-01-29,high,short,1.21266,1.21373,10.7,LOSS,129.0,28070,28356,1.2095,>100% (stop)
2021-02-01,low,long,1.21307,1.21216,9.1,LOSS,213.2,29283,29794,1.21363,>100% (stop)
2021-02-02,low,long,1.2076,1.20659,10.1,LOSS,105.0,30688,31229,1.20877,>100% (stop)
2021-02-03,low,long,1.20423,1.20347,7.6,LOSS,111.8,32156,32667,1.205,>100% (stop)
2021-02-04,low,long,1.19969,1.1983,13.9,LOSS,101.4,33740,34101,1.20388,>100% (stop)
2021-02-05,high,short,1.19686,1.19878,19.2,LOSS,108.3,35195,35526,1.19522,>100% (stop)
2021-02-08,high,short,1.20252,1.20394,14.2,WIN,40.1,36495,36961,1.20296,25-50%
2021-02-09,high,short,1.20672,1.20868,19.6,LOSS,146.9,37878,38374,1.20561,>100% (stop)
2021-02-10,high,short,1.21229,1.21337,10.8,LOSS,145.4,39314,39810,1.21088,>100% (stop)
2021-02-11,high,short,1.21179,1.21276,9.7,LOSS,101.0,40740,41236,1.21138,>100% (stop)
2021-02-12,low,long,1.21118,1.21002,11.6,LOSS,117.2,42281,42657,1.21301,>100% (stop)
2021-02-15,high,short,1.21329,1.21451,12.2,OPEN,96.7,43638,44089,1.21174,75-100%
2021-02-16,low,long,1.21572,1.21337,23.5,WIN,31.9,45070,45506,1.21501,25-50%
2021-02-17,low,long,1.20822,1.20716,10.6,LOSS,108.5,46445,46941,1.20982,>100% (stop)
2021-02-18,high,short,1.20624,1.20752,12.8,LOSS,104.7,48120,48376,1.20355,>100% (stop)
2021-02-19,high,short,1.2126,1.21417,15.7,OPEN,89.2,49623,49804,1.20823,75-100%
2021-02-22,low,long,1.21349,1.20911,43.8,WIN,16.4,50890,51236,1.21355,0-25%
2021-02-23,high,short,1.21492,1.21727,23.5,WIN,15.7,52230,52666,1.21638,0-25%
2021-02-24,high,short,1.21588,1.21745,15.7,WIN,86.0,53689,54095,1.21473,75-100%
2021-02-25,high,short,1.21676,1.21828,15.2,LOSS,116.4,54976,55532,1.21559,>100% (stop)
2021-02-26,low,long,1.21317,1.20925,39.2,LOSS,104.1,56818,56969,1.21826,>100% (stop)
2021-03-01,low,long,1.20534,1.20376,15.8,LOSS,111.4,58196,58407,1.20956,>100% (stop)
2021-03-02,low,long,1.20163,1.19997,16.6,LOSS,101.8,59356,59837,1.20407,>100% (stop)
2021-03-03,low,long,1.21077,1.2079,28.7,LOSS,104.2,60748,61274,1.20934,>100% (stop)
2021-03-04,low,long,1.20413,1.20275,13.8,LOSS,102.2,62551,62702,1.2063,>100% (stop)
2021-03-05,low,long,1.19608,1.19543,6.5,LOSS,189.2,63596,64137,1.19665,>100% (stop)
2021-03-08,low,long,1.18806,1.18652,15.4,LOSS,101.9,65223,65569,1.19287,>100% (stop)
2021-03-09,high,short,1.18867,1.19097,23.0,OPEN,97.0,66773,66999,1.18355,75-100%
2021-03-10,low,long,1.19016,1.18745,27.1,WIN,32.8,67998,68434,1.18976,25-50%
2021-03-11,high,short,1.19614,1.19664,5.0,LOSS,248.0,69568,69869,1.19172,>100% (stop)
2021-03-12,low,long,1.19231,1.19099,13.2,OPEN,87.9,70996,71297,1.19884,75-100%
2021-03-15,low,long,1.19401,1.19235,16.6,LOSS,100.6,72326,72792,1.19674,>100% (stop)
2021-03-16,low,long,1.19276,1.19173,10.3,WIN,50.5,73732,74228,1.19385,50-75%
2021-03-17,high,short,1.18861,1.19042,18.1,WIN,35.9,75148,75659,1.18926,25-50%
2021-03-18,high,short,1.19427,1.19639,21.2,WIN,41.0,76562,77088,1.19552,25-50%
2021-03-19,high,short,1.18905,1.19275,37.0,WIN,20.5,78129,78520,1.1902,0-25%
2021-03-22,low,long,1.1906,1.18744,31.6,WIN,32.9,79507,79958,1.18989,25-50%
2021-03-23,low,long,1.18998,1.18916,8.2,LOSS,113.4,81001,81392,1.19369,>100% (stop)
2021-03-24,low,long,1.18446,1.18123,32.3,OPEN,93.5,82402,82823,1.18508,75-100%
2021-03-25,low,long,1.1818,1.18012,16.8,LOSS,101.8,83878,84254,1.18277,>100% (stop)
2021-03-26,high,short,1.17752,1.17868,11.6,LOSS,109.5,85187,85683,1.17746,>100% (stop)
2021-03-29,low,long,1.17939,1.17769,17.0,LOSS,102.4,86520,86983,1.17911,>100% (stop)
2021-03-30,low,long,1.17497,1.1733,16.7,LOSS,106.6,88021,88412,1.17737,>100% (stop)
2021-03-31,high,short,1.17215,1.17376,16.1,LOSS,104.3,89510,89841,1.17044,>100% (stop)
2021-04-01,low,long,1.17428,1.17137,29.1,WIN,11.0,90792,91272,1.17328,0-25%
2021-04-02,high,short,1.17786,1.17866,8.0,WIN,18.8,92345,92689,1.17691,0-25%
2021-04-05,low,long,1.17571,1.17466,10.5,LOSS,105.7,93683,94103,1.17718,>100% (stop)
2021-04-06,low,long,1.18209,1.18052,15.7,LOSS,101.3,95070,95521,1.18215,>100% (stop)
2021-04-07,low,long,1.18818,1.187,11.8,LOSS,105.9,96408,96949,1.18777,>100% (stop)
2021-04-08,high,short,1.18625,1.1893,30.5,LOSS,103.0,98043,98374,1.18609,>100% (stop)
2021-04-09,low,long,1.18989,1.18844,14.5,LOSS,101.4,99345,99796,1.19201,>100% (stop)
2021-04-12,low,long,1.19089,1.1871,37.9,WIN,12.7,100879,101225,1.19029,0-25%
2021-04-13,low,long,1.19004,1.18857,14.7,LOSS,116.3,102092,102647,1.1912,>100% (stop)
2021-04-14,high,short,1.19616,1.19688,7.2,LOSS,108.3,103566,104077,1.19526,>100% (stop)
2021-04-15,high,short,1.19616,1.199,28.4,WIN,19.0,105227,105483,1.19722,0-25%
2021-04-16,high,short,1.19692,1.19887,19.5,LOSS,108.2,106534,106895,1.19503,>100% (stop)
2021-04-19,high,short,1.20307,1.2048,17.3,OPEN,57.2,108126,108322,1.19424,50-75%
2021-04-20,high,short,1.20522,1.20797,27.5,WIN,25.5,109407,109753,1.20373,25-50%
