entry_bar,outcome,r_multiple,risk_pips
849,LOSS,-1.0,6.7
924,LOSS,-1.0,12.7
1014,OPEN,0.0,17.8
2302,WIN,1.146,13.7
3525,LOSS,-1.0,21.7
3705,LOSS,-1.0,6.2
3765,WIN,6.36,10.0
6317,WIN,0.395,23.8
7755,LOSS,-1.0,5.3
7830,WIN,2.446,9.2
9279,LOSS,-1.0,20.9
9369,WIN,0.919,14.8
10637,WIN,0.0,16.4
14923,WIN,0.852,8.8
17821,WIN,1.17,5.3
19216,WIN,0.229,14.0
22115,WIN,2.889,5.4
28055,LOSS,-1.0,11.6
28130,LOSS,-1.0,3.9
28280,OPEN,0.0,27.3
35135,LOSS,-1.0,13.6
35465,LOSS,-1.0,11.1
36450,WIN,0.0,9.8
37848,LOSS,-1.0,7.6
38028,OPEN,0.0,18.1
39284,LOSS,-1.0,7.0
39374,LOSS,-1.0,17.1
39689,OPEN,0.0,16.3
40680,LOSS,-1.0,2.1
40890,LOSS,-1.0,15.3
41175,OPEN,0.0,16.4
43623,OPEN,0.0,7.0
48105,LOSS,-1.0,7.7
48210,OPEN,0.0,10.3
49593,OPEN,0.0,14.0
52140,WIN,0.047,8.5
53659,WIN,1.015,13.5
54946,LOSS,-1.0,11.6
55336,LOSS,-1.0,14.4
66728,OPEN,0.0,12.3
69553,LOSS,-1.0,5.0
69733,LOSS,-1.0,41.0
75088,WIN,0.506,7.7
76532,WIN,0.0,18.3
78054,WIN,1.452,10.4
85157,LOSS,-1.0,9.3
85352,WIN,0.0,17.0
89480,LOSS,-1.0,9.7
92330,WIN,0.989,8.8
98013,LOSS,-1.0,29.5
103551,LOSS,-1.0,4.2
103581,LOSS,-1.0,12.9
103926,LOSS,-1.0,3.6
105137,WIN,0.134,15.7
106519,LOSS,-1.0,16.8
106699,OPEN,0.0,13.8
108111,OPEN,0.0,11.9
109302,WIN,1.904,14.6
113578,LOSS,-1.0,5.4
113863,OPEN,0.0,15.3
126432,LOSS,-1.0,12.3
126687,OPEN,0.0,16.7
133429,WIN,0.179,6.7
134926,LOSS,-1.0,4.9
135211,OPEN,0.0,13.7
137786,LOSS,-1.0,9.0
138026,OPEN,0.0,28.2
139043,WIN,1.206,12.6
140555,LOSS,-1.0,10.3
141829,WIN,1.0,6.6
143396,LOSS,-1.0,5.5
143546,LOSS,-1.0,6.5
144800,LOSS,-1.0,11.2
145115,OPEN,0.0,18.6
147559,LOSS,-1.0,10.5
147694,OPEN,0.0,14.4
159317,LOSS,-1.0,8.3
159437,LOSS,-1.0,4.2
159512,LOSS,-1.0,5.7
159617,OPEN,0.0,15.8
161999,LOSS,-1.0,6.2
164789,LOSS,-1.0,0.9
164939,WIN,1.168,15.5
166267,LOSS,-1.0,9.6
166627,WIN,0.0,5.1
170597,LOSS,-1.0,5.3
170837,LOSS,-1.0,6.0
171047,OPEN,0.0,10.1
176484,LOSS,-1.0,8.0
176589,LOSS,-1.0,6.8
176754,OPEN,0.0,5.3
177792,WIN,0.877,13.0
185124,OPEN,0.0,12.6
186286,WIN,2.472,10.6
187717,WIN,0.197,12.7
189242,LOSS,-1.0,9.2
189617,OPEN,0.0,12.4
194857,LOSS,-1.0,5.4
194902,LOSS,-1.0,13.2
194977,LOSS,-1.0,14.6
195247,LOSS,-1.0,9.3
195382,OPEN,0.0,3.6
196457,WIN,2.471,8.5
203458,WIN,0.738,8.4
206222,LOSS,-1.0,9.5
206312,LOSS,-1.0,12.6
206717,OPEN,0.0,10.5
210516,LOSS,-1.0,8.0
210786,LOSS,-1.0,7.2
213366,LOSS,-1.0,9.3
213501,LOSS,-1.0,3.6
213666,OPEN,0.0,12.2
214775,LOSS,-1.0,7.5
215120,WIN,1.561,9.8
216250,LOSS,-1.0,5.9
216445,WIN,0.0,4.9
220487,LOSS,-1.0,12.0
220832,LOSS,-1.0,5.6
221912,WIN,0.0,14.6
230446,WIN,1.086,10.5
234811,LOSS,-1.0,15.2
240264,WIN,1.469,11.3
243154,LOSS,-1.0,5.0
243439,LOSS,-1.0,13.0
243544,OPEN,0.0,29.0
246024,LOSS,-1.0,5.8
246144,WIN,1.609,6.9
254586,WIN,2.411,9.5
257368,WIN,1.5,9.8
261738,LOSS,-1.0,6.0
261858,WIN,1.241,11.2
266068,LOSS,-1.0,10.4
267154,LOSS,-1.0,1.8
267244,LOSS,-1.0,4.3
267394,LOSS,-1.0,13.3
267709,OPEN,0.0,12.6
271423,WIN,0.676,10.8
275837,LOSS,-1.0,5.7
275942,LOSS,-1.0,3.5
276167,OPEN,0.0,9.1
277673,OPEN,0.0,16.3
284413,WIN,0.019,10.3
285758,LOSS,-1.0,7.0
285908,WIN,1.682,6.6
287319,LOSS,-1.0,12.0
287484,LOSS,-1.0,7.6
288798,LOSS,-1.0,5.7
290100,OPEN,0.0,9.5
292843,LOSS,-1.0,5.3
293173,OPEN,0.0,14.5
297244,LOSS,-1.0,10.4
297619,OPEN,0.0,16.7
302890,WIN,0.097,15.4
305828,LOSS,-1.0,10.5
306053,LOSS,-1.0,7.3
307151,WIN,0.013,15.2
308555,LOSS,-1.0,5.8
308690,LOSS,-1.0,6.5
311449,LOSS,-1.0,2.8
311704,WIN,0.0,14.5
312777,WIN,0.138,12.3
314189,WIN,1.438,12.1
318608,WIN,0.575,12.7
328747,OPEN,0.0,21.9
330030,WIN,0.873,7.9
331576,LOSS,-1.0,5.5
331726,LOSS,-1.0,9.7
333099,LOSS,-1.0,13.0
335886,LOSS,-1.0,9.0
335946,LOSS,-1.0,11.6
336201,WIN,0.696,49.6
337131,LOSS,-1.0,9.4
337221,WIN,0.0,32.8
342918,WIN,1.3,9.0
344351,LOSS,-1.0,7.8
344486,WIN,0.27,11.1
351454,LOSS,-1.0,3.4
351634,WIN,1.279,8.6
353058,LOSS,-1.0,8.7
353328,OPEN,0.0,16.5
355749,LOSS,-1.0,7.2
356094,LOSS,-1.0,9.2
356259,LOSS,-1.0,8.8
357342,WIN,2.349,8.6
361658,WIN,4.871,3.1
362987,WIN,0.0,13.8
372864,LOSS,-1.0,3.4
373164,LOSS,-1.0,8.8
373404,OPEN,0.0,18.5
375907,WIN,2.862,5.8
378735,WIN,0.008,12.3
381625,LOSS,-1.0,12.9
381925,OPEN,0.0,26.8
384450,WIN,2.0,9.3
387142,LOSS,-1.0,6.4
387187,LOSS,-1.0,6.7
387397,LOSS,-1.0,6.7
387652,LOSS,-1.0,14.2
388671,WIN,0.867,9.8
390065,LOSS,-1.0,3.1
390215,LOSS,-1.0,13.0
390470,LOSS,-1.0,4.8
398636,LOSS,-1.0,6.0
398861,LOSS,-1.0,21.6
399176,OPEN,0.0,14.1
400153,LOSS,-1.0,13.2
400438,LOSS,-1.0,5.1
410315,WIN,2.031,9.7
414431,LOSS,-1.0,6.9
414656,LOSS,-1.0,8.6
414821,LOSS,-1.0,12.8
415979,OPEN,0.0,18.9
417326,LOSS,-1.0,9.0
417715,LOSS,-1.0,11.8
417835,OPEN,0.0,13.8
418746,LOSS,-1.0,5.1
418806,WIN,2.408,4.9
420214,WIN,2.585,14.2
421907,OPEN,0.0,9.3
427410,LOSS,-1.0,22.3
427680,LOSS,-1.0,51.0
427800,LOSS,-1.0,15.7
428812,LOSS,-1.0,12.0
434516,LOSS,-1.0,18.8
434951,OPEN,0.0,30.8
437601,LOSS,-1.0,12.7
438859,WIN,0.0,27.0
441990,LOSS,-1.0,38.2
443250,OPEN,0.0,27.2
444629,WIN,1.418,9.1
446234,LOSS,-1.0,29.9
452177,WIN,0.0,19.7
457535,LOSS,-1.0,10.9
457925,OPEN,0.0,33.7
458895,LOSS,-1.0,3.6
458970,LOSS,-1.0,10.7
459225,LOSS,-1.0,47.0
467503,WIN,1.593,9.1
473192,LOSS,-1.0,7.9
473552,WIN,0.678,14.3
474705,WIN,3.875,7.2
476276,OPEN,0.0,11.2
479160,OPEN,0.0,20.9
480657,OPEN,0.0,23.4
482006,OPEN,0.0,25.0
483265,WIN,1.125,8.0
490640,LOSS,-1.0,13.7
490730,OPEN,0.0,24.4
502107,WIN,1.48,20.2
504738,LOSS,-1.0,7.0
504798,LOSS,-1.0,1.3
504918,WIN,0.857,25.1
506502,LOSS,-1.0,7.1
506622,OPEN,0.0,18.3
507691,LOSS,-1.0,10.1
507826,LOSS,-1.0,9.7
508036,OPEN,0.0,23.7
511932,WIN,1.366,16.4
513414,LOSS,-1.0,21.8
513594,LOSS,-1.0,21.1
515039,LOSS,-1.0,10.8
515129,LOSS,-1.0,24.8
520548,LOSS,-1.0,7.1
520848,LOSS,-1.0,18.5
524961,LOSS,-1.0,7.5
525126,LOSS,-1.0,4.1
527851,WIN,2.273,12.8
533490,WIN,0.897,14.6
536431,OPEN,0.0,19.3
537792,LOSS,-1.0,28.9
537942,WIN,1.643,30.8
542034,LOSS,-1.0,19.2
542289,OPEN,0.0,26.2
