entry_bar,outcome,r_multiple,risk_pips
4898,LOSS,-1.0,4.1
4943,LOSS,-1.0,17.0
5088,LOSS,-1.0,6.2
5168,LOSS,-1.0,8.0
5323,LOSS,-1.0,9.8
5358,OPEN,0.0,11.7
13452,LOSS,-1.0,4.6
13547,LOSS,-1.0,4.7
13607,LOSS,-1.0,3.3
13627,LOSS,-1.0,7.9
13707,LOSS,-1.0,8.9
13797,LOSS,-1.0,8.6
13827,LOSS,-1.0,10.9
13917,LOSS,-1.0,5.0
13997,OPEN,0.0,10.6
16339,WIN,0.0,6.3
20660,LOSS,-1.0,6.6
20685,WIN,0.401,16.7
23461,LOSS,-1.0,7.8
23521,WIN,3.929,7.0
25093,LOSS,-1.0,7.8
25218,LOSS,-1.0,8.5
25333,LOSS,-1.0,5.9
25398,OPEN,0.0,19.3
26363,WIN,4.795,3.9
29243,LOSS,-1.0,7.3
29268,LOSS,-1.0,6.5
29348,LOSS,-1.0,19.1
29433,LOSS,-1.0,11.4
30663,LOSS,-1.0,6.2
30748,LOSS,-1.0,12.1
30943,LOSS,-1.0,8.4
31168,LOSS,-1.0,7.6
32081,LOSS,-1.0,3.4
32131,LOSS,-1.0,3.2
32251,LOSS,-1.0,3.3
32291,LOSS,-1.0,4.5
32401,LOSS,-1.0,5.5
32481,LOSS,-1.0,10.9
32601,LOSS,-1.0,4.1
33565,LOSS,-1.0,2.1
33645,LOSS,-1.0,2.4
33720,LOSS,-1.0,10.2
33765,LOSS,-1.0,8.2
33840,LOSS,-1.0,4.6
33950,LOSS,-1.0,4.6
34035,OPEN,0.0,8.8
42201,LOSS,-1.0,8.4
42346,LOSS,-1.0,5.5
42481,LOSS,-1.0,4.9
42516,OPEN,0.0,9.0
44970,WIN,2.825,5.7
46385,LOSS,-1.0,5.3
46415,LOSS,-1.0,5.0
46475,LOSS,-1.0,17.8
46570,LOSS,-1.0,6.7
46680,LOSS,-1.0,8.2
46785,LOSS,-1.0,13.4
46885,LOSS,-1.0,1.3
50680,LOSS,-1.0,5.7
50765,WIN,2.828,11.6
56433,LOSS,-1.0,9.9
56658,LOSS,-1.0,11.9
57986,LOSS,-1.0,11.3
58341,OPEN,0.0,17.6
59311,LOSS,-1.0,8.2
59331,LOSS,-1.0,12.1
59431,WIN,3.943,7.0
60783,LOSS,-1.0,5.3
60808,WIN,0.93,10.0
62261,LOSS,-1.0,10.2
62281,LOSS,-1.0,5.1
62466,LOSS,-1.0,1.6
62531,LOSS,-1.0,6.0
62621,OPEN,0.0,9.0
63556,LOSS,-1.0,3.9
63661,LOSS,-1.0,11.8
63726,LOSS,-1.0,11.1
63961,OPEN,0.0,39.8
65033,LOSS,-1.0,7.6
65158,LOSS,-1.0,10.5
65343,LOSS,-1.0,7.8
67843,LOSS,-1.0,4.5
67928,WIN,1.265,10.2
70741,LOSS,-1.0,10.4
70901,OPEN,0.0,5.9
72231,LOSS,-1.0,0.8
72261,LOSS,-1.0,9.6
72426,LOSS,-1.0,8.6
72511,LOSS,-1.0,4.9
72591,LOSS,-1.0,7.0
72671,LOSS,-1.0,10.0
72726,OPEN,0.0,11.8
73667,LOSS,-1.0,5.3
73702,WIN,1.625,8.0
79392,LOSS,-1.0,2.1
79437,WIN,0.636,12.9
80981,LOSS,-1.0,7.7
81081,LOSS,-1.0,2.8
81116,LOSS,-1.0,10.1
81266,LOSS,-1.0,5.1
81386,OPEN,0.0,6.9
82302,LOSS,-1.0,0.7
82317,OPEN,0.0,15.1
83743,LOSS,-1.0,8.5
83898,LOSS,-1.0,8.1
84018,LOSS,-1.0,7.8
86395,LOSS,-1.0,4.8
86405,WIN,0.806,9.8
87886,LOSS,-1.0,9.4
87936,LOSS,-1.0,6.4
88136,LOSS,-1.0,5.4
88246,LOSS,-1.0,7.4
88291,OPEN,0.0,6.2
90697,WIN,0.89,9.1
93523,LOSS,-1.0,5.3
93638,LOSS,-1.0,5.4
93767,WIN,6.9,4.0
95010,LOSS,-1.0,12.8
95110,WIN,0.163,22.7
96373,WIN,0.84,7.5
99250,LOSS,-1.0,6.7
99315,LOSS,-1.0,12.7
99385,LOSS,-1.0,5.0
99520,LOSS,-1.0,4.2
99615,OPEN,0.0,9.1
100769,WIN,2.625,8.8
102137,LOSS,-1.0,4.4
102251,LOSS,-1.0,5.8
