date,entry_bar,outcome,r_multiple,risk_pips
2021-01-07,4854,LOSS,-1.0,6.9
2021-01-07,4889,LOSS,-1.0,4.5
2021-01-07,4901,LOSS,-1.0,6.0
2021-01-07,4912,LOSS,-1.0,6.9
2021-01-07,4967,LOSS,-1.0,10.1
2021-01-07,4983,LOSS,-1.0,8.0
2021-01-07,5015,LOSS,-1.0,7.9
2021-01-07,5050,LOSS,-1.0,4.7
2021-01-07,5080,OPEN,0.0,10.0
2021-01-15,13456,LOSS,-1.0,3.9
2021-01-15,13496,LOSS,-1.0,1.8
2021-01-15,13509,LOSS,-1.0,3.8
2021-01-15,13519,LOSS,-1.0,5.4
2021-01-15,13785,LOSS,-1.0,5.7
2021-01-15,13816,LOSS,-1.0,5.8
2021-01-15,13890,LOSS,-1.0,6.5
2021-01-15,13912,LOSS,-1.0,3.4
2021-01-15,13942,LOSS,-1.0,13.3
2021-01-15,13963,OPEN,0.0,7.7
2021-01-19,16330,WIN,0.861,7.2
2021-01-22,20595,LOSS,-1.0,5.0
2021-01-22,20611,LOSS,-1.0,3.5
2021-01-22,20628,LOSS,-1.0,3.1
2021-01-22,20656,LOSS,-1.0,7.1
2021-01-22,20676,WIN,7.75,2.8
2021-01-26,23460,LOSS,-1.0,2.9
2021-01-26,23476,LOSS,-1.0,2.1
2021-01-26,23502,LOSS,-1.0,2.3
2021-01-26,23519,WIN,4.5,6.2
2021-01-27,24922,LOSS,-1.0,2.3
2021-01-27,24953,LOSS,-1.0,4.2
2021-01-27,24982,LOSS,-1.0,6.8
2021-01-27,25035,LOSS,-1.0,4.3
2021-01-27,25070,LOSS,-1.0,2.5
2021-01-27,25155,LOSS,-1.0,3.3
2021-01-27,25173,LOSS,-1.0,2.7
2021-01-27,25185,LOSS,-1.0,3.2
2021-01-27,25205,LOSS,-1.0,3.3
2021-01-27,25250,LOSS,-1.0,6.0
2021-01-27,25298,LOSS,-1.0,6.6
2021-01-27,25318,LOSS,-1.0,4.2
2021-01-27,25332,LOSS,-1.0,5.3
2021-01-27,25350,LOSS,-1.0,3.8
2021-01-27,25357,OPEN,0.0,11.7
2021-01-28,26350,LOSS,-1.0,5.5
2021-01-28,26358,WIN,2.36,7.5
2021-02-01,29210,LOSS,-1.0,3.6
2021-02-01,29262,LOSS,-1.0,8.9
2021-02-01,29325,LOSS,-1.0,12.5
2021-02-01,29395,LOSS,-1.0,5.0
2021-02-01,29420,LOSS,-1.0,6.1
2021-02-02,30638,LOSS,-1.0,4.7
2021-02-02,30654,LOSS,-1.0,1.2
2021-02-02,30660,LOSS,-1.0,3.7
2021-02-02,30691,LOSS,-1.0,9.9
2021-02-02,30811,LOSS,-1.0,4.9
2021-02-02,30833,LOSS,-1.0,11.8
2021-02-02,30847,LOSS,-1.0,6.7
2021-02-02,30899,LOSS,-1.0,2.9
2021-02-02,30912,LOSS,-1.0,5.4
2021-02-02,30930,LOSS,-1.0,3.9
2021-02-02,31098,LOSS,-1.0,4.0
2021-02-02,31105,LOSS,-1.0,5.9
2021-02-02,31110,LOSS,-1.0,6.7
2021-02-02,31158,LOSS,-1.0,4.6
2021-02-02,31224,LOSS,-1.0,5.4
2021-02-03,32077,LOSS,-1.0,2.7
2021-02-03,32088,LOSS,-1.0,2.1
2021-02-03,32121,LOSS,-1.0,5.2
2021-02-03,32205,LOSS,-1.0,4.6
2021-02-03,32273,LOSS,-1.0,3.1
2021-02-03,32284,LOSS,-1.0,3.7
2021-02-03,32381,LOSS,-1.0,1.3
2021-02-03,32389,LOSS,-1.0,2.5
2021-02-03,32438,LOSS,-1.0,6.9
2021-02-03,32597,OPEN,0.0,6.6
2021-02-04,33519,LOSS,-1.0,4.8
2021-02-04,33533,LOSS,-1.0,4.8
2021-02-04,33561,LOSS,-1.0,7.6
2021-02-04,33594,LOSS,-1.0,8.8
2021-02-04,33617,LOSS,-1.0,4.4
2021-02-04,33634,LOSS,-1.0,5.2
2021-02-04,33642,LOSS,-1.0,4.3
2021-02-04,33826,LOSS,-1.0,3.9
2021-02-04,33921,LOSS,-1.0,2.0
2021-02-04,33926,LOSS,-1.0,3.5
2021-02-04,33945,LOSS,-1.0,6.1
2021-02-04,33979,LOSS,-1.0,4.9
2021-02-04,34017,LOSS,-1.0,3.9
2021-02-04,34033,OPEN,0.0,7.0
2021-02-12,42120,LOSS,-1.0,3.3
2021-02-12,42126,LOSS,-1.0,7.2
2021-02-12,42148,LOSS,-1.0,4.2
2021-02-12,42172,LOSS,-1.0,1.7
2021-02-12,42186,LOSS,-1.0,8.0
2021-02-12,42197,LOSS,-1.0,7.4
2021-02-12,42329,LOSS,-1.0,3.9
2021-02-12,42471,LOSS,-1.0,6.4
2021-02-12,42503,OPEN,0.0,7.9
2021-02-16,44943,LOSS,-1.0,4.0
2021-02-16,44960,LOSS,-1.0,2.1
2021-02-16,44975,WIN,2.392,5.1
2021-02-17,46363,LOSS,-1.0,4.6
2021-02-17,46385,LOSS,-1.0,3.9
2021-02-17,46400,LOSS,-1.0,4.4
2021-02-17,46411,LOSS,-1.0,9.2
2021-02-17,46458,LOSS,-1.0,4.8
2021-02-17,46472,LOSS,-1.0,4.0
2021-02-17,46486,LOSS,-1.0,4.4
2021-02-17,46513,LOSS,-1.0,3.0
2021-02-17,46531,LOSS,-1.0,2.7
2021-02-17,46639,LOSS,-1.0,3.9
2021-02-17,46664,LOSS,-1.0,4.4
2021-02-17,46724,LOSS,-1.0,5.0
2021-02-17,46754,LOSS,-1.0,3.4
2021-02-17,46775,LOSS,-1.0,8.2
2021-02-17,46872,LOSS,-1.0,3.0
2021-02-17,46877,LOSS,-1.0,5.5
2021-02-17,46900,OPEN,0.0,3.6
2021-02-22,50661,LOSS,-1.0,3.5
2021-02-22,50690,LOSS,-1.0,5.6
2021-02-22,50743,LOSS,-1.0,2.7
2021-02-22,50761,LOSS,-1.0,5.8
2021-02-22,50770,WIN,3.605,8.1
2021-02-26,56385,LOSS,-1.0,5.7
2021-02-26,56415,LOSS,-1.0,5.9
2021-02-26,56568,LOSS,-1.0,6.0
2021-02-26,56610,LOSS,-1.0,6.0
2021-02-26,56627,LOSS,-1.0,4.2
2021-02-26,56638,LOSS,-1.0,7.0
2021-02-26,56645,LOSS,-1.0,3.8
2021-02-26,56943,LOSS,-1.0,4.9
2021-03-01,57894,LOSS,-1.0,4.1
2021-03-01,57920,LOSS,-1.0,3.3
2021-03-01,57969,LOSS,-1.0,3.6
2021-03-01,58302,OPEN,0.0,8.5
2021-03-02,59259,LOSS,-1.0,2.7
2021-03-02,59293,LOSS,-1.0,2.1
2021-03-02,59308,LOSS,-1.0,5.0
2021-03-02,59331,LOSS,-1.0,12.1
2021-03-02,59370,WIN,5.966,5.9
2021-03-03,60680,WIN,2.966,2.9
2021-03-04,62220,LOSS,-1.0,6.9
2021-03-04,62233,LOSS,-1.0,2.5
2021-03-04,62237,LOSS,-1.0,3.4
2021-03-04,62255,LOSS,-1.0,4.5
2021-03-04,62279,LOSS,-1.0,5.7
2021-03-04,62459,LOSS,-1.0,5.2
2021-03-04,62516,LOSS,-1.0,6.4
2021-03-04,62610,OPEN,0.0,8.1
2021-03-05,63551,LOSS,-1.0,7.4
2021-03-05,63627,LOSS,-1.0,6.6
2021-03-05,63653,LOSS,-1.0,6.8
2021-03-05,63936,OPEN,0.0,21.6
2021-03-08,64983,LOSS,-1.0,1.6
2021-03-08,65004,LOSS,-1.0,2.7
2021-03-08,65016,LOSS,-1.0,4.4
2021-03-08,65024,LOSS,-1.0,6.5
2021-03-08,65090,LOSS,-1.0,2.6
2021-03-08,65097,LOSS,-1.0,3.1
2021-03-08,65126,LOSS,-1.0,4.1
2021-03-08,65282,LOSS,-1.0,6.7
2021-03-08,65335,LOSS,-1.0,2.1
2021-03-08,65512,LOSS,-1.0,2.1
2021-03-08,65533,LOSS,-1.0,3.6
2021-03-08,65545,LOSS,-1.0,2.9
2021-03-10,67837,LOSS,-1.0,0.6
2021-03-10,67873,LOSS,-1.0,2.3
2021-03-10,67879,LOSS,-1.0,2.9
2021-03-10,67903,LOSS,-1.0,3.8
2021-03-10,67925,WIN,2.739,6.9
2021-03-12,70728,LOSS,-1.0,3.7
2021-03-12,70739,LOSS,-1.0,7.5
2021-03-12,70771,LOSS,-1.0,7.9
2021-03-12,70803,LOSS,-1.0,4.8
2021-03-12,70849,LOSS,-1.0,5.5
2021-03-12,70875,LOSS,-1.0,5.1
2021-03-12,70884,LOSS,-1.0,2.2
2021-03-12,70899,OPEN,0.0,2.6
2021-03-15,72194,LOSS,-1.0,3.2
2021-03-15,72211,LOSS,-1.0,3.3
2021-03-15,72226,LOSS,-1.0,7.3
2021-03-15,72253,LOSS,-1.0,8.6
2021-03-15,72569,LOSS,-1.0,3.1
2021-03-15,72581,LOSS,-1.0,3.7
2021-03-15,72615,LOSS,-1.0,3.1
2021-03-15,72649,LOSS,-1.0,3.7
2021-03-15,72723,LOSS,-1.0,3.6
2021-03-15,72735,OPEN,0.0,6.7
2021-03-16,73650,LOSS,-1.0,3.0
2021-03-16,73662,LOSS,-1.0,4.1
2021-03-16,73693,WIN,2.234,7.7
2021-03-22,79366,WIN,6.281,3.2
2021-03-23,80836,LOSS,-1.0,3.9
2021-03-23,80849,LOSS,-1.0,4.3
2021-03-23,80856,LOSS,-1.0,4.0
2021-03-23,80870,LOSS,-1.0,6.9
2021-03-23,80895,LOSS,-1.0,6.4
2021-03-23,81001,LOSS,-1.0,7.7
2021-03-23,81023,LOSS,-1.0,4.1
2021-03-23,81039,LOSS,-1.0,3.8
2021-03-23,81057,LOSS,-1.0,3.5
2021-03-23,81074,LOSS,-1.0,3.4
2021-03-23,81182,LOSS,-1.0,2.5
2021-03-23,81229,LOSS,-1.0,4.2
2021-03-23,81260,LOSS,-1.0,3.3
2021-03-23,81276,LOSS,-1.0,4.9
2021-03-23,81322,LOSS,-1.0,4.1
2021-03-23,81348,LOSS,-1.0,4.5
2021-03-23,81375,LOSS,-1.0,3.3
2021-03-23,81383,OPEN,0.0,4.7
2021-03-24,82253,LOSS,-1.0,2.7
2021-03-24,82260,LOSS,-1.0,5.5
2021-03-24,82276,LOSS,-1.0,3.3
2021-03-24,82291,LOSS,-1.0,4.0
2021-03-24,82298,LOSS,-1.0,5.2
2021-03-24,82307,OPEN,0.0,4.0
2021-03-25,83731,LOSS,-1.0,3.3
2021-03-25,83743,LOSS,-1.0,10.0
2021-03-25,83985,LOSS,-1.0,3.3
2021-03-25,84009,LOSS,-1.0,7.5
2021-03-25,84126,LOSS,-1.0,4.2
2021-03-25,84145,LOSS,-1.0,3.5
2021-03-25,84149,LOSS,-1.0,2.7
2021-03-25,84164,LOSS,-1.0,6.0
2021-03-25,84188,LOSS,-1.0,4.2
2021-03-25,84197,LOSS,-1.0,4.9
2021-03-25,84213,LOSS,-1.0,5.3
2021-03-25,84250,LOSS,-1.0,3.4
2021-03-29,86388,LOSS,-1.0,1.3
2021-03-29,86403,WIN,1.917,6.0
2021-03-30,87813,LOSS,-1.0,2.0
2021-03-30,87862,LOSS,-1.0,10.5
2021-03-30,87882,LOSS,-1.0,7.5
2021-03-30,87922,LOSS,-1.0,3.8
2021-03-30,87948,LOSS,-1.0,5.4
2021-03-30,88120,LOSS,-1.0,3.8
2021-03-30,88231,LOSS,-1.0,3.2
2021-03-30,88277,LOSS,-1.0,5.4
2021-03-30,88283,OPEN,0.0,3.4
2021-04-01,90678,LOSS,-1.0,3.1
2021-04-01,90713,WIN,1.39,5.9
2021-04-05,93509,LOSS,-1.0,4.0
2021-04-05,93519,LOSS,-1.0,3.7
2021-04-05,93570,LOSS,-1.0,3.6
2021-04-05,93626,LOSS,-1.0,3.5
2021-04-05,93733,LOSS,-1.0,1.4
2021-04-05,93755,WIN,17.471,1.7
2021-04-06,94991,LOSS,-1.0,3.6
2021-04-06,95016,LOSS,-1.0,3.6
2021-04-06,95073,LOSS,-1.0,2.9
2021-04-06,95085,WIN,4.354,4.8
2021-04-07,96363,WIN,1.029,6.8
2021-04-09,99197,LOSS,-1.0,3.5
2021-04-09,99218,LOSS,-1.0,4.0
2021-04-09,99231,LOSS,-1.0,2.0
2021-04-09,99238,LOSS,-1.0,3.4
2021-04-09,99371,LOSS,-1.0,3.6
2021-04-09,99497,LOSS,-1.0,3.7
2021-04-09,99608,OPEN,0.0,3.9
2021-04-12,100693,LOSS,-1.0,4.9
2021-04-12,100701,LOSS,-1.0,4.2
2021-04-12,100720,LOSS,-1.0,7.1
2021-04-12,100754,WIN,5.674,4.6
2021-04-13,102053,LOSS,-1.0,2.6
2021-04-13,102100,LOSS,-1.0,2.4
2021-04-13,102116,LOSS,-1.0,9.4
2021-04-13,102439,WIN,1.17,8.8
2021-04-21,110563,LOSS,-1.0,3.4
2021-04-21,110592,LOSS,-1.0,3.5
2021-04-21,110626,LOSS,-1.0,8.6
2021-04-21,110649,LOSS,-1.0,2.6
2021-04-21,110658,LOSS,-1.0,3.8
2021-04-21,110666,LOSS,-1.0,5.6
2021-04-21,110779,LOSS,-1.0,3.6
2021-04-21,110826,LOSS,-1.0,3.4
2021-04-21,110995,LOSS,-1.0,8.3
2021-04-21,111017,OPEN,0.0,6.2
2021-04-22,111971,LOSS,-1.0,3.8
2021-04-22,111981,LOSS,-1.0,1.8
2021-04-22,111986,WIN,9.25,1.6
2021-04-27,116293,LOSS,-1.0,3.7
2021-04-27,116304,LOSS,-1.0,3.0
2021-04-27,116310,LOSS,-1.0,4.1
2021-04-27,116326,LOSS,-1.0,2.4
2021-04-27,116370,LOSS,-1.0,8.7
2021-04-27,116428,WIN,6.583,3.6
2021-04-28,117658,LOSS,-1.0,0.6
2021-04-28,117666,LOSS,-1.0,4.3
2021-04-28,117704,LOSS,-1.0,4.4
2021-04-28,117723,WIN,5.226,5.3
2021-04-29,119148,LOSS,-1.0,5.8
2021-04-29,119163,LOSS,-1.0,5.4
2021-04-29,119186,LOSS,-1.0,5.1
2021-04-29,119205,LOSS,-1.0,5.7
2021-04-29,119239,LOSS,-1.0,5.8
2021-04-29,119564,OPEN,0.0,6.8
2021-04-30,120505,LOSS,-1.0,2.9
2021-04-30,120522,LOSS,-1.0,4.2
2021-04-30,120541,LOSS,-1.0,2.8
2021-04-30,120553,LOSS,-1.0,2.1
2021-04-30,120570,LOSS,-1.0,3.6
2021-04-30,120593,LOSS,-1.0,6.7
2021-04-30,120611,LOSS,-1.0,5.6
2021-04-30,120631,LOSS,-1.0,7.0
2021-04-30,120663,LOSS,-1.0,4.1
2021-04-30,120709,LOSS,-1.0,3.4
2021-04-30,120717,LOSS,-1.0,2.1
2021-04-30,120752,LOSS,-1.0,4.8
2021-04-30,120770,LOSS,-1.0,2.3
2021-04-30,120803,LOSS,-1.0,3.0
2021-04-30,120819,LOSS,-1.0,4.5
2021-04-30,120857,LOSS,-1.0,4.2
2021-04-30,120897,LOSS,-1.0,6.2
2021-04-30,120981,LOSS,-1.0,8.0
2021-04-30,120994,LOSS,-1.0,2.8
2021-04-30,121001,LOSS,-1.0,5.8
2021-04-30,121043,LOSS,-1.0,5.0
2021-04-30,121049,LOSS,-1.0,6.2
2021-04-30,121068,LOSS,-1.0,6.9
2021-04-30,121084,LOSS,-1.0,3.8
2021-05-03,121938,WIN,3.148,5.4
2021-05-04,123316,LOSS,-1.0,2.1
2021-05-04,123347,LOSS,-1.0,2.7
2021-05-04,123363,LOSS,-1.0,3.3
2021-05-04,123390,LOSS,-1.0,3.7
2021-05-04,123424,LOSS,-1.0,3.3
2021-05-04,123497,OPEN,0.0,2.5
2021-05-05,124765,LOSS,-1.0,2.6
2021-05-05,124789,LOSS,-1.0,10.8
2021-05-05,124804,LOSS,-1.0,4.9
2021-05-05,124818,LOSS,-1.0,1.8
2021-05-05,124831,OPEN,0.0,4.6
2021-05-07,127564,LOSS,-1.0,2.3
2021-05-07,127589,WIN,4.0,3.4
2021-05-10,129099,WIN,11.407,2.7
2021-05-11,130495,WIN,2.247,8.1
2021-05-17,136118,WIN,7.407,2.7
2021-05-26,146182,LOSS,-1.0,5.5
2021-05-26,146272,LOSS,-1.0,6.7
2021-05-26,146421,LOSS,-1.0,4.8
2021-05-26,146447,LOSS,-1.0,2.4
2021-05-26,146471,LOSS,-1.0,4.0
2021-05-26,146519,LOSS,-1.0,7.1
2021-05-26,146652,LOSS,-1.0,0.4
2021-05-26,146660,LOSS,-1.0,2.7
2021-05-28,148960,LOSS,-1.0,1.8
2021-05-28,148981,WIN,6.607,2.8
2021-06-01,150640,WIN,3.848,3.3
2021-06-02,152046,LOSS,-1.0,5.5
2021-06-02,152092,LOSS,-1.0,3.1
2021-06-02,152103,LOSS,-1.0,5.6
2021-06-02,152116,LOSS,-1.0,5.0
2021-06-02,152159,LOSS,-1.0,1.4
2021-06-02,152172,LOSS,-1.0,5.1
2021-06-02,152213,LOSS,-1.0,2.3
2021-06-02,152221,LOSS,-1.0,3.8
2021-06-02,152258,LOSS,-1.0,6.8
2021-06-02,152369,OPEN,0.0,2.5
2021-06-03,153467,LOSS,-1.0,2.6
2021-06-03,153486,LOSS,-1.0,2.2
2021-06-03,153496,LOSS,-1.0,3.8
2021-06-03,153522,LOSS,-1.0,2.6
2021-06-03,153553,LOSS,-1.0,3.0
2021-06-03,153565,LOSS,-1.0,2.7
2021-06-03,153575,LOSS,-1.0,2.8
2021-06-03,153840,LOSS,-1.0,9.1
2021-06-03,153872,LOSS,-1.0,5.8
2021-06-03,153881,LOSS,-1.0,2.5
2021-06-03,153894,LOSS,-1.0,4.3
2021-06-03,153924,LOSS,-1.0,8.3
2021-06-03,153933,LOSS,-1.0,5.8
2021-06-03,153954,LOSS,-1.0,10.6
2021-06-03,153985,LOSS,-1.0,2.9
2021-06-03,154009,LOSS,-1.0,4.2
2021-06-03,154014,LOSS,-1.0,3.3
2021-06-03,154033,LOSS,-1.0,2.6
2021-06-03,154038,LOSS,-1.0,2.0
2021-06-03,154046,LOSS,-1.0,0.9
2021-06-04,154877,LOSS,-1.0,3.2
2021-06-04,154894,LOSS,-1.0,3.5
2021-06-04,154902,LOSS,-1.0,3.8
2021-06-04,154910,LOSS,-1.0,3.9
2021-06-04,155176,WIN,6.719,3.2
2021-06-07,156299,LOSS,-1.0,3.0
2021-06-07,156305,LOSS,-1.0,3.5
2021-06-07,156322,LOSS,-1.0,3.0
2021-06-07,156342,LOSS,-1.0,3.6
2021-06-07,156351,LOSS,-1.0,2.1
2021-06-07,156364,LOSS,-1.0,1.1
2021-06-07,156374,WIN,9.2,2.5
2021-06-08,157713,LOSS,-1.0,3.2
2021-06-08,157813,LOSS,-1.0,4.7
2021-06-08,157844,LOSS,-1.0,6.4
2021-06-08,157859,OPEN,0.0,3.4
2021-06-10,160546,LOSS,-1.0,2.4
2021-06-10,160647,WIN,7.069,2.9
2021-06-14,163448,WIN,0.231,13.0
2021-06-17,167655,LOSS,-1.0,17.2
2021-06-17,167721,LOSS,-1.0,1.6
2021-06-17,167739,LOSS,-1.0,7.6
2021-06-17,167810,LOSS,-1.0,4.4
2021-06-17,167873,LOSS,-1.0,8.9
2021-06-17,167900,LOSS,-1.0,3.4
2021-06-17,167908,LOSS,-1.0,5.1
2021-06-17,167927,LOSS,-1.0,3.2
2021-06-17,167949,LOSS,-1.0,4.7
2021-06-17,168063,LOSS,-1.0,7.2
2021-06-17,168131,LOSS,-1.0,5.6
2021-06-17,168231,OPEN,0.0,4.5
2021-06-18,169074,LOSS,-1.0,5.0
2021-06-18,169131,LOSS,-1.0,2.2
2021-06-18,169153,LOSS,-1.0,6.5
2021-06-18,169468,LOSS,-1.0,24.3
2021-06-18,169538,LOSS,-1.0,5.0
2021-06-18,169559,LOSS,-1.0,8.9
2021-06-18,169584,LOSS,-1.0,16.7
2021-06-18,169626,OPEN,0.0,8.5
2021-06-22,171952,LOSS,-1.0,3.7
2021-06-22,171961,LOSS,-1.0,4.6
2021-06-22,172173,LOSS,-1.0,4.3
2021-06-22,172184,LOSS,-1.0,3.4
2021-06-22,172351,OPEN,0.0,5.4
2021-06-23,173459,WIN,1.021,14.1
2021-06-24,174807,WIN,1.438,6.4
2021-06-29,179178,LOSS,-1.0,5.7
2021-06-29,179239,LOSS,-1.0,2.8
2021-06-29,179260,LOSS,-1.0,5.3
2021-06-29,179381,LOSS,-1.0,3.9
2021-06-29,179412,LOSS,-1.0,1.8
2021-06-29,179451,LOSS,-1.0,3.7
2021-06-29,179490,LOSS,-1.0,3.1
2021-06-29,179507,LOSS,-1.0,4.1
2021-06-29,179521,OPEN,0.0,4.7
2021-06-30,180518,LOSS,-1.0,5.0
2021-06-30,180606,LOSS,-1.0,2.2
2021-06-30,180613,LOSS,-1.0,5.7
2021-06-30,180640,LOSS,-1.0,5.5
2021-06-30,180661,LOSS,-1.0,8.0
2021-06-30,180692,LOSS,-1.0,3.1
2021-06-30,180772,LOSS,-1.0,4.4
2021-06-30,180835,LOSS,-1.0,3.8
2021-06-30,180887,LOSS,-1.0,10.0
2021-06-30,180911,LOSS,-1.0,7.2
2021-06-30,180955,LOSS,-1.0,2.7
2021-06-30,180959,LOSS,-1.0,2.7
2021-06-30,180979,LOSS,-1.0,7.1
2021-06-30,180990,LOSS,-1.0,7.0
2021-06-30,181017,LOSS,-1.0,4.7
2021-06-30,181054,LOSS,-1.0,18.0
2021-06-30,181099,OPEN,0.0,4.9
2021-07-01,181950,LOSS,-1.0,2.6
2021-07-01,181960,LOSS,-1.0,3.4
2021-07-01,181970,WIN,3.775,4.0
2021-07-02,183374,LOSS,-1.0,2.6
2021-07-02,183388,LOSS,-1.0,4.1
2021-07-02,183397,LOSS,-1.0,4.8
2021-07-02,183431,LOSS,-1.0,3.2
2021-07-02,183451,LOSS,-1.0,1.5
