entry,stop_mode,stop_pips,target_frac,be_at_r,min_rr,n_trades,win_rate,expectancy_r,total_r,profit_factor,max_dd_r,avg_risk_pips,avg_rr
immediate,beyond_extreme,8,1.0,,,763,35.9,0.031,23.4,1.05,24.7,10.3,2.09
reclaim,beyond_extreme,8,1.0,,,668,44.6,0.014,9.2,1.03,15.7,14.5,1.41
reclaim,beyond_level,12,1.0,,,668,45.2,0.012,7.9,1.02,25.7,14.0,1.33
immediate,beyond_extreme,30,0.75,,,763,65.5,0.008,5.7,1.03,20.2,32.3,0.49
immediate,beyond_extreme,20,0.75,,,763,59.5,0.008,6.3,1.02,21.5,22.3,0.72
immediate,beyond_extreme,25,0.75,,,763,62.8,0.006,4.2,1.02,18.4,27.3,0.58
immediate,beyond_extreme,12,1.0,,,763,43.1,0.006,4.7,1.01,18.9,14.3,1.5
reclaim,beyond_level,15,1.0,,,668,49.6,0.003,2.0,1.01,17.0,17.0,1.09
immediate,beyond_extreme,15,1.0,,,763,47.3,0.003,2.1,1.01,19.5,17.3,1.23
immediate,beyond_level,25,0.75,,,763,60.6,0.001,1.0,1.0,16.4,24.2,0.72
immediate,beyond_extreme,20,1.0,,,763,52.4,0.001,0.9,1.0,17.5,22.3,0.96
immediate,beyond_extreme,30,0.75,1.0,,763,64.9,0.001,0.9,1.0,20.6,32.3,0.49
reclaim,beyond_extreme,12,1.0,,,668,50.4,-0.002,-1.3,1.0,17.7,18.5,1.07
immediate,beyond_extreme,25,0.75,1.0,,763,61.9,-0.003,-2.2,0.99,18.4,27.3,0.58
immediate,beyond_extreme,30,1.0,,,763,58.2,-0.004,-2.9,0.99,18.7,32.3,0.66
immediate,beyond_extreme,25,1.0,,,763,55.7,-0.004,-2.8,0.99,19.4,27.3,0.78
immediate,beyond_level,25,1.0,,,763,53.3,-0.005,-4.1,0.99,14.9,24.2,0.96
immediate,beyond_level,25,0.75,1.0,,763,59.2,-0.005,-3.5,0.99,16.4,24.2,0.72
immediate,beyond_extreme,20,0.75,1.0,,763,58.2,-0.006,-4.3,0.99,22.0,22.3,0.72
immediate,beyond_level,30,0.75,,,763,62.8,-0.006,-4.8,0.98,25.8,29.2,0.58
reclaim,beyond_extreme,15,0.75,,,668,60.8,-0.007,-4.5,0.98,14.9,21.5,0.68
reclaim,beyond_extreme,15,1.0,,,668,53.7,-0.008,-5.6,0.98,19.2,21.5,0.9
reclaim,beyond_level,25,0.75,,,668,65.1,-0.008,-5.4,0.97,14.0,27.0,0.51
reclaim,beyond_extreme,5,1.0,,,668,37.6,-0.008,-5.7,0.99,33.0,11.5,1.88
reclaim,beyond_extreme,20,0.75,,,668,64.4,-0.009,-5.9,0.97,16.4,26.5,0.54
immediate,beyond_extreme,15,0.75,,,763,53.3,-0.009,-6.9,0.98,27.4,17.3,0.93
reclaim,beyond_extreme,30,0.75,,,668,68.7,-0.009,-6.0,0.97,16.7,36.5,0.39
reclaim,beyond_extreme,25,0.75,,,668,67.4,-0.01,-6.6,0.97,16.6,31.5,0.45
reclaim,beyond_extreme,20,1.0,,,668,57.5,-0.01,-6.9,0.97,14.6,26.5,0.72
reclaim,beyond_extreme,30,0.75,1.0,,668,68.4,-0.011,-7.2,0.96,16.7,36.5,0.39
reclaim,beyond_extreme,15,0.75,1.0,,668,59.6,-0.011,-7.6,0.97,15.4,21.5,0.68
immediate,beyond_level,30,1.0,,,763,56.0,-0.012,-9.0,0.97,23.6,29.2,0.77
reclaim,beyond_extreme,12,0.75,,,668,56.7,-0.012,-7.7,0.97,17.6,18.5,0.8
reclaim,beyond_extreme,20,0.75,1.0,,668,63.9,-0.012,-7.9,0.96,16.4,26.5,0.54
immediate,beyond_extreme,30,1.0,1.0,,763,57.3,-0.012,-9.3,0.97,18.8,32.3,0.66
immediate,beyond_extreme,20,0.5,,,763,67.5,-0.013,-9.6,0.96,25.4,22.3,0.48
reclaim,beyond_extreme,25,0.75,1.0,,668,66.9,-0.013,-8.4,0.96,16.6,31.5,0.45
immediate,beyond_extreme,30,0.5,,,763,72.9,-0.014,-10.8,0.94,23.8,32.3,0.33
reclaim,beyond_extreme,8,0.75,,,668,50.1,-0.015,-9.7,0.97,21.4,14.5,1.06
immediate,beyond_level,30,0.75,1.0,,763,61.6,-0.015,-11.5,0.95,25.8,29.2,0.58
reclaim,beyond_extreme,30,1.0,,,668,61.7,-0.015,-10.3,0.95,15.6,36.5,0.52
reclaim,beyond_extreme,15,1.0,1.0,,668,51.2,-0.015,-10.3,0.96,22.2,21.5,0.9
reclaim,beyond_level,25,1.0,,,668,57.9,-0.016,-10.8,0.96,18.2,27.0,0.69
reclaim,beyond_level,25,0.75,1.0,,668,64.4,-0.016,-10.4,0.95,14.4,27.0,0.51
immediate,beyond_level,12,1.0,,,750,38.0,-0.016,-12.2,0.97,28.9,11.4,2.37
reclaim,beyond_level,25,0.5,,,668,73.2,-0.017,-11.5,0.93,17.2,27.0,0.34
reclaim,beyond_extreme,30,1.0,1.0,,668,61.4,-0.017,-11.2,0.95,15.6,36.5,0.52
immediate,beyond_extreme,8,0.75,,,763,40.6,-0.018,-14.1,0.97,41.4,10.3,1.57
immediate,beyond_extreme,20,0.5,1.0,,763,67.1,-0.018,-13.8,0.94,25.4,22.3,0.48
immediate,beyond_extreme,15,0.75,1.0,,763,51.5,-0.018,-13.8,0.96,28.7,17.3,0.93
reclaim,beyond_extreme,25,1.0,,,668,60.2,-0.019,-12.5,0.95,16.8,31.5,0.6
reclaim,beyond_extreme,20,1.0,1.0,,668,56.1,-0.019,-12.4,0.95,18.0,26.5,0.72
reclaim,beyond_level,30,0.75,,,668,66.6,-0.019,-12.9,0.93,19.0,32.0,0.43
reclaim,beyond_extreme,15,0.5,,,668,68.9,-0.019,-12.8,0.94,18.7,21.5,0.45
immediate,beyond_extreme,25,0.5,,,763,70.2,-0.019,-14.9,0.93,23.2,27.3,0.39
immediate,beyond_extreme,30,0.5,1.0,,763,72.3,-0.019,-14.4,0.92,24.1,32.3,0.33
immediate,beyond_level,25,1.0,1.0,,763,51.0,-0.019,-14.1,0.96,19.5,24.2,0.96
immediate,beyond_extreme,12,0.75,,,763,48.6,-0.019,-14.6,0.96,33.2,14.3,1.12
immediate,beyond_extreme,20,1.0,1.0,,763,49.8,-0.019,-14.6,0.96,23.5,22.3,0.96
reclaim,beyond_level,12,0.75,,,668,50.7,-0.019,-13.0,0.96,23.0,14.0,1.0
immediate,beyond_extreme,25,1.0,1.0,,763,53.9,-0.02,-15.4,0.95,21.2,27.3,0.78
reclaim,beyond_level,20,1.0,,,668,54.3,-0.02,-13.1,0.96,18.9,22.0,0.84
reclaim,beyond_extreme,25,1.0,1.0,,668,59.7,-0.02,-13.2,0.94,17.5,31.5,0.6
reclaim,beyond_extreme,20,0.5,,,668,72.3,-0.021,-14.1,0.92,18.7,26.5,0.36
reclaim,beyond_extreme,8,1.0,1.0,,668,40.3,-0.021,-13.9,0.96,29.0,14.5,1.41
reclaim,beyond_extreme,30,0.5,,,668,75.9,-0.022,-14.6,0.89,18.7,36.5,0.26
reclaim,beyond_level,15,0.75,,,668,55.4,-0.022,-14.6,0.95,21.4,17.0,0.82
