date,side,outcome,r_multiple,risk_pips,reward_pips
2021-01-04,high,LOSS,-1.0,26.1,17.6
2021-01-05,high,WIN,0.797,26.1,20.8
2021-01-06,high,LOSS,-1.0,28.6,36.1
2021-01-07,low,LOSS,-1.0,25.8,17.5
2021-01-08,high,WIN,1.076,26.4,28.4
2021-01-11,high,WIN,0.911,25.7,23.4
2021-01-12,high,WIN,0.858,26.0,22.3
2021-01-13,high,WIN,0.568,25.7,14.6
2021-01-15,low,LOSS,-1.0,20.1,19.0
2021-01-18,high,WIN,0.774,24.8,19.2
2021-01-19,low,WIN,0.467,25.7,12.0
2021-01-20,high,WIN,0.545,25.3,13.8
2021-01-21,high,WIN,0.578,27.5,15.9
2021-01-22,low,WIN,0.715,23.5,16.8
2021-01-25,high,WIN,0.887,23.9,21.2
2021-01-26,low,WIN,0.813,24.1,19.6
2021-01-27,low,LOSS,-1.0,25.2,13.8
2021-01-28,low,WIN,0.793,25.1,19.9
2021-01-29,high,LOSS,-1.0,25.4,20.6
2021-02-01,low,LOSS,-1.0,26.5,10.2
2021-02-02,low,LOSS,-1.0,26.1,19.5
2021-02-03,low,LOSS,-1.0,22.5,13.3
2021-02-04,low,LOSS,-1.0,17.5,30.6
2021-02-05,high,LOSS,-1.0,25.2,16.8
2021-02-08,high,WIN,0.402,25.1,10.1
2021-02-09,high,LOSS,-1.0,23.3,27.6
2021-02-10,high,LOSS,-0.113,26.6,19.3
2021-02-11,high,WIN,0.053,22.6,13.6
2021-02-12,low,LOSS,-1.0,23.3,13.3
2021-02-15,high,BE,-0.011,26.2,19.0
2021-02-16,low,WIN,0.575,25.9,14.9
2021-02-17,low,LOSS,-1.0,23.6,16.4
2021-02-18,high,LOSS,-1.0,25.2,14.3
2021-02-19,high,LOSS,-1.0,25.3,15.5
2021-02-22,low,WIN,0.864,25.8,22.3
2021-02-23,high,WIN,0.467,26.1,12.2
2021-02-24,high,WIN,0.942,22.6,21.3
2021-02-25,high,LOSS,-1.0,25.0,21.4
2021-02-26,low,LOSS,-1.0,27.1,35.5
2021-03-01,low,LOSS,-1.0,27.4,18.5
2021-03-02,low,WIN,1.41,21.0,29.6
2021-03-03,low,WIN,0.43,25.1,10.8
2021-03-04,low,LOSS,-0.07,27.2,17.3
2021-03-05,low,LOSS,-1.0,26.9,13.1
2021-03-08,low,LOSS,-1.0,20.0,35.0
2021-03-09,high,LOSS,-1.0,24.0,32.5
2021-03-10,low,WIN,0.824,25.0,20.6
2021-03-11,high,LOSS,-1.0,26.0,16.3
2021-03-12,low,LOSS,-1.0,15.3,38.5
2021-03-15,low,LOSS,-1.0,17.7,32.2
2021-03-16,low,WIN,0.653,25.1,16.4
2021-03-17,high,WIN,0.547,23.6,12.9
2021-03-18,high,WIN,1.326,24.2,32.1
2021-03-19,high,WIN,0.893,22.5,20.1
2021-03-22,low,WIN,0.835,26.6,22.2
2021-03-23,low,LOSS,-1.0,24.5,14.5
2021-03-24,low,LOSS,-1.0,26.5,9.7
2021-03-25,low,LOSS,-1.0,25.2,23.4
2021-03-26,high,WIN,0.317,26.5,8.4
2021-03-29,low,WIN,0.651,24.9,16.2
2021-03-30,low,LOSS,-1.0,23.1,11.8
