date,filled,market_outcome,market_r,risk_pips
2021-01-06,True,LOSS,-1.0,7.9
2021-01-08,True,LOSS,-1.0,4.8
2021-02-09,True,LOSS,-1.0,9.2
2021-02-26,True,LOSS,-1.0,6.1
2021-03-02,True,LOSS,-1.0,15.5
2021-03-09,True,LOSS,-1.0,6.9
2021-03-18,False,WIN,4.382,6.8
2021-04-19,True,LOSS,-1.0,10.0
2021-04-20,True,LOSS,-1.0,5.2
2021-04-29,True,LOSS,-1.0,17.4
2021-06-21,True,LOSS,-1.0,4.5
2021-08-23,True,LOSS,-1.0,5.4
2021-09-23,True,LOSS,-1.0,5.5
2021-10-04,True,LOSS,-1.0,4.8
2021-10-13,True,LOSS,-1.0,5.1
2021-10-19,True,LOSS,-1.0,15.5
2022-01-03,True,LOSS,-1.0,4.5
2022-01-21,True,LOSS,-1.0,5.1
2022-02-04,True,LOSS,-1.0,7.3
2022-02-07,True,WIN,2.036,13.7
2022-02-08,False,BE,0.0,31.9
2022-02-11,True,WIN,5.069,5.8
2022-02-17,True,BE,0.0,6.1
2022-02-21,False,WIN,1.439,26.9
2022-02-22,True,LOSS,-1.0,6.0
2022-02-25,True,LOSS,-1.0,5.9
2022-02-28,True,LOSS,-1.0,5.3
2022-03-04,True,LOSS,-1.0,6.0
2022-03-07,True,LOSS,-1.0,6.8
2022-03-08,True,WIN,3.345,8.4
2022-03-11,True,LOSS,-1.0,8.7
2022-03-14,True,LOSS,-1.0,6.0
2022-03-15,False,BE,0.0,39.8
2022-03-18,True,LOSS,-1.0,6.7
2022-03-25,True,LOSS,-1.0,12.5
2022-03-28,True,LOSS,-1.0,6.5
2022-03-29,True,LOSS,-1.0,4.9
2022-03-30,True,LOSS,-1.0,4.6
2022-03-31,True,LOSS,-1.0,9.8
2022-04-13,True,LOSS,-1.0,10.1
2022-04-14,False,WIN,1.196,19.9
2022-04-15,False,BE,0.0,6.3
2022-04-19,True,LOSS,-1.0,4.9
2022-04-20,False,BE,0.0,48.5
2022-04-21,True,LOSS,-1.0,7.2
2022-04-25,True,LOSS,-1.0,7.6
2022-04-26,True,LOSS,-1.0,11.5
2022-04-28,True,WIN,6.667,6.6
2022-04-29,False,BE,0.0,68.8
2022-05-02,True,WIN,3.429,9.8
2022-05-05,True,LOSS,-1.0,5.3
2022-05-06,True,LOSS,-1.0,5.5
2022-05-09,True,WIN,2.6,12.0
2022-05-10,True,LOSS,-1.0,7.3
2022-05-16,True,LOSS,-1.0,13.0
2022-05-18,True,LOSS,-1.0,6.1
