stop_mode,k,buffer,fixed_pips,min_range,n_trades,win_rate,expectancy_r,profit_factor,max_dd_r,avg_risk_pips,avg_rr
retrace,0.5,3.0,10,25,156,12.2,0.154,1.18,37.3,4.9,14.36
retrace,0.786,3.0,10,25,178,16.3,0.108,1.13,27.7,7.1,10.5
extreme,0.5,3.0,10,25,179,27.4,0.102,1.14,13.6,12.2,3.76
extreme,0.5,1.0,10,25,179,22.9,0.098,1.13,16.4,10.2,5.48
fixed,0.5,3.0,14,25,179,33.5,0.088,1.13,13.1,14.0,2.23
fixed,0.5,3.0,10,15,488,35.0,0.078,1.12,24.0,10.0,2.24
fixed,0.5,3.0,14,15,488,42.6,0.071,1.12,14.0,14.0,1.6
fixed,0.5,3.0,10,25,179,25.7,0.071,1.1,23.1,10.0,3.13
fixed,0.5,3.0,14,0,718,45.7,0.011,1.02,20.4,14.0,1.32
fixed,0.5,3.0,20,15,488,49.0,0.011,1.02,14.3,20.0,1.12
fixed,0.5,3.0,6,25,179,16.2,0.006,1.01,36.3,6.0,5.21
fixed,0.5,3.0,8,25,179,20.1,0.005,1.01,29.0,8.0,3.91
extreme,0.5,3.0,10,15,488,32.0,-0.009,0.99,30.6,11.6,2.79
fixed,0.5,3.0,8,15,488,27.5,-0.013,0.98,40.8,8.0,2.8
fixed,0.5,3.0,10,0,718,36.8,-0.013,0.98,28.7,10.0,1.85
fixed,0.5,3.0,20,0,718,52.6,-0.019,0.96,19.3,20.0,0.92
fixed,0.5,3.0,20,25,179,36.3,-0.066,0.9,21.3,20.0,1.56
extreme,0.5,1.0,10,15,488,26.4,-0.067,0.91,39.9,9.6,4.09
extreme,0.5,3.0,10,0,718,33.6,-0.071,0.89,59.1,11.2,2.31
fixed,0.5,3.0,8,0,718,29.7,-0.086,0.88,69.3,8.0,2.31
retrace,0.618,3.0,10,25,169,11.8,-0.089,0.9,55.7,5.7,13.03
fixed,0.5,3.0,6,15,488,20.1,-0.101,0.87,60.4,6.0,3.73
extreme,0.5,1.0,10,0,718,27.6,-0.137,0.81,104.6,9.2,3.4
fixed,0.5,3.0,6,0,718,22.6,-0.155,0.8,124.2,6.0,3.08
retrace,0.382,3.0,10,25,144,9.0,-0.159,0.83,59.4,3.9,15.91
retrace,0.786,3.0,10,15,487,18.5,-0.196,0.76,98.0,6.7,7.61
retrace,0.5,3.0,10,15,447,13.6,-0.213,0.75,97.0,4.5,10.6
retrace,0.786,3.0,10,0,717,19.2,-0.27,0.66,200.1,6.4,6.29
retrace,0.5,3.0,10,0,664,14.6,-0.293,0.66,200.0,4.4,8.62
retrace,0.618,3.0,10,15,470,14.9,-0.296,0.65,138.8,5.4,9.35
retrace,0.618,3.0,10,0,692,16.5,-0.319,0.62,223.7,5.2,7.61
retrace,0.382,3.0,10,15,415,10.8,-0.357,0.6,147.1,3.7,11.6
retrace,0.382,3.0,10,0,625,11.7,-0.401,0.55,255.7,3.6,9.55
retrace,0.236,3.0,10,0,551,6.7,-0.632,0.32,347.3,2.6,10.9
retrace,0.236,3.0,10,15,363,5.8,-0.641,0.32,231.6,2.6,13.27
retrace,0.236,3.0,10,25,121,1.7,-0.807,0.18,102.0,2.8,18.11
