date,outcome,r_multiple,risk_pips,reward_pips
2022-07-01,LOSS,-1.0,10.0,27.1
2022-07-04,WIN,1.56,10.0,15.6
2022-07-05,WIN,1.29,10.0,12.9
2022-07-06,WIN,1.51,10.0,15.1
2022-07-07,WIN,3.18,10.0,31.8
2022-07-08,LOSS,-1.0,10.0,33.0
2022-07-11,LOSS,-1.0,10.0,31.6
2022-07-12,WIN,4.64,10.0,46.4
2022-07-13,WIN,2.07,10.0,20.7
2022-07-14,LOSS,-1.0,10.0,27.9
2022-07-15,WIN,2.89,10.0,28.9
2022-07-18,WIN,2.62,10.0,26.2
2022-07-20,WIN,1.53,10.0,15.3
2022-07-21,WIN,3.37,10.0,33.7
2022-07-22,LOSS,-1.0,10.0,34.3
2022-07-25,LOSS,-1.0,10.0,30.0
2022-07-26,LOSS,-1.0,10.0,26.9
2022-07-27,WIN,1.83,10.0,18.3
2022-07-28,WIN,3.22,10.0,32.2
2022-07-29,LOSS,-1.0,10.0,33.7
2022-08-01,LOSS,-1.0,10.0,31.2
2022-08-02,LOSS,-1.0,10.0,36.5
2022-08-04,LOSS,-1.0,10.0,19.9
2022-08-05,LOSS,-1.0,10.0,16.4
2022-08-08,LOSS,-1.0,10.0,25.2
2022-08-10,WIN,1.31,10.0,13.1
2022-08-11,WIN,2.1,10.0,21.0
2022-08-12,LOSS,-1.0,10.0,19.0
2022-08-15,LOSS,-1.0,10.0,22.8
2022-08-16,LOSS,-1.0,10.0,18.9
2022-08-18,LOSS,-1.0,10.0,24.3
2022-08-19,WIN,1.96,10.0,19.6
2022-08-22,LOSS,-1.0,10.0,19.8
2022-08-23,LOSS,-1.0,10.0,16.8
2022-08-24,LOSS,-1.0,10.0,28.1
2022-08-25,LOSS,-1.0,10.0,26.8
2022-08-29,LOSS,-1.0,10.0,24.8
2022-08-30,LOSS,-1.0,10.0,27.9
2022-08-31,WIN,1.62,10.0,16.2
2022-09-01,WIN,2.51,10.0,25.1
2022-09-05,LOSS,-1.0,10.0,26.1
2022-09-06,LOSS,-1.0,10.0,26.1
2022-09-07,LOSS,-1.0,10.0,25.2
2022-09-08,LOSS,-1.0,10.0,19.3
2022-09-09,LOSS,-1.0,10.0,73.5
2022-09-12,LOSS,-1.0,10.0,30.0
2022-09-13,LOSS,-1.0,10.0,20.6
2022-09-14,LOSS,-1.0,10.0,20.4
2022-09-16,LOSS,-1.0,10.0,24.8
2022-09-19,LOSS,-1.0,10.0,32.9
2022-09-20,LOSS,-1.0,10.0,29.4
2022-09-22,LOSS,-1.0,10.0,28.4
2022-09-23,LOSS,-1.0,10.0,29.5
2022-09-26,WIN,6.98,10.0,139.2
2022-09-27,LOSS,-1.0,10.0,25.2
2022-09-28,LOSS,-1.0,10.0,50.7
2022-09-29,LOSS,-1.0,10.0,37.7
2022-09-30,WIN,3.54,10.0,35.4
2022-10-05,WIN,2.95,10.0,29.5
2022-10-06,LOSS,-1.0,10.0,20.4
2022-10-07,LOSS,-1.0,10.0,23.7
2022-10-10,LOSS,-1.0,10.0,27.3
2022-10-11,WIN,4.1,10.0,41.0
2022-10-12,LOSS,-1.0,10.0,18.7
2022-10-13,LOSS,-1.0,10.0,25.1
2022-10-14,LOSS,-1.0,10.0,45.8
2022-10-17,WIN,1.39,10.0,13.9
2022-10-18,LOSS,-1.0,10.0,27.5
2022-10-21,WIN,1.59,10.0,15.9
2022-10-24,LOSS,-1.0,10.0,36.8
2022-10-25,LOSS,-1.0,10.0,19.6
2022-10-26,LOSS,-1.0,10.0,22.7
2022-10-27,LOSS,-1.0,10.0,30.3
2022-10-28,LOSS,-1.0,10.0,37.2
2022-10-31,LOSS,-1.0,10.0,20.7
2022-11-01,WIN,2.14,10.0,21.4
2022-11-02,WIN,1.86,10.0,18.6
2022-11-04,LOSS,-1.0,10.0,38.5
2022-11-07,LOSS,-1.0,10.0,22.9
2022-11-08,LOSS,-1.0,10.0,22.9
2022-11-09,LOSS,-1.0,10.0,23.7
2022-11-10,WIN,1.55,10.0,15.5
2022-11-14,WIN,4.1,10.0,41.0
2022-11-16,LOSS,-1.0,10.0,54.9
2022-11-17,LOSS,-1.0,10.0,28.4
2022-11-18,LOSS,-1.0,10.0,28.3
2022-11-22,WIN,1.44,10.0,14.4
2022-11-23,WIN,2.1,10.0,21.0
2022-11-24,LOSS,-1.0,10.0,35.0
2022-11-25,LOSS,-1.0,10.0,24.1
2022-11-28,LOSS,-1.0,10.0,37.6
2022-11-30,LOSS,-1.0,10.0,21.3
2022-12-01,LOSS,-1.0,10.0,27.6
