date,side,sweep_time,sweep_hour,asian_range_pips,reached_target,excursion_beyond_level_pips,excursion_beyond_entry_pips,excursion_pct_of_asian_range,minutes_sweep_to_turn,minutes_turn_to_target,n_pokes,reclaimed,minutes_sweep_to_reclaim,reclaim_price,excursion_at_reclaim_pips,max_adverse_after_reclaim_pips,retested_level_after_reclaim
2021-01-04,high,02:04,2,18.7,False,51.2,51.3,273.8,442,,2,True,0.0,1.22583,1.0,51.3,True
2021-01-05,high,03:19,3,21.9,True,13.9,14.0,63.5,196,206.0,5,True,0.0,1.22766,2.0,14.0,True
2021-01-06,high,02:00,2,39.7,True,34.2,36.8,86.1,325,209.0,6,True,0.0,1.23126,1.3,36.8,True
2021-01-07,low,02:07,2,18.3,False,73.7,73.5,402.7,224,,3,True,6.0,1.23195,4.5,74.5,True
2021-01-08,high,02:02,2,29.8,True,4.4,4.8,14.8,16,38.0,2,True,0.0,1.22643,0.4,4.8,True
2021-01-11,high,02:07,2,24.1,True,9.1,8.8,37.8,91,75.0,5,True,1.0,1.21899,1.0,9.9,True
2021-01-12,high,02:16,2,23.3,True,17.0,17.0,73.0,132,278.0,6,True,34.0,1.21609,13.3,18.0,True
2021-01-13,high,02:30,2,15.3,True,2.6,2.3,17.0,4,23.0,1,True,1.0,1.22197,1.7,3.0,True
2021-01-15,low,02:00,2,14.1,False,61.6,55.7,436.9,503,,4,True,14.0,1.21435,7.2,61.9,True
2021-01-18,high,02:17,2,19.0,True,2.3,1.1,12.1,0,134.0,1,True,2.0,1.20841,2.3,1.7,True
2021-01-19,low,02:24,2,12.7,True,0.7,0.4,5.5,0,17.0,1,True,1.0,1.20868,0.7,1.3,True
2021-01-20,high,02:00,2,14.1,True,8.9,8.2,63.1,63,29.0,1,True,72.0,1.21479,8.9,3.4,True
2021-01-21,high,02:37,2,18.4,True,1.5,3.0,8.2,12,35.0,2,True,0.0,1.21322,0.2,3.0,True
2021-01-22,low,02:01,2,15.3,True,9.8,7.3,64.1,80,16.0,2,True,1.0,1.21619,2.5,10.4,True
2021-01-25,high,02:42,2,20.1,True,2.5,0.4,12.4,4,89.0,2,True,1.0,1.21799,2.4,2.8,True
2021-01-26,low,02:00,2,18.7,True,19.8,17.9,105.9,58,286.0,10,True,2.0,1.2128,2.4,20.4,True
2021-01-27,low,02:32,2,14.0,False,94.5,93.7,675.0,437,,3,True,4.0,1.21541,1.3,95.6,True
2021-01-28,low,02:23,2,20.0,True,5.2,4.3,26.0,14,32.0,3,True,1.0,1.20866,1.5,5.9,True
2021-01-29,high,03:56,3,21.0,False,40.0,39.4,190.5,307,,5,True,2.0,1.21159,3.5,40.1,True
2021-02-01,low,02:07,2,11.7,False,56.4,56.9,482.1,592,,9,True,0.0,1.21251,0.2,56.9,True
2021-02-02,low,02:02,2,20.6,False,48.5,48.6,235.4,597,,7,True,0.0,1.20672,1.0,48.6,True
2021-02-03,low,02:00,2,10.8,False,35.2,31.7,325.9,527,,2,True,12.0,1.20399,8.8,35.9,True
2021-02-04,low,02:00,2,23.1,False,49.2,40.7,213.0,527,,1,False,,,,,
2021-02-05,high,03:04,3,17.0,False,70.9,70.1,417.1,527,,1,True,178.0,1.19691,18.6,71.0,True
2021-02-08,high,02:38,2,10.2,True,8.8,7.9,86.3,12,39.0,2,True,39.0,1.20373,8.8,5.5,True
2021-02-09,high,02:17,2,25.9,False,34.4,31.7,132.8,159,,9,True,8.0,1.20816,4.8,34.8,True
2021-02-10,high,02:24,2,20.9,False,14.3,14.9,68.4,91,,12,True,0.0,1.21291,0.5,14.9,True
2021-02-11,high,02:00,2,11.2,False,24.4,21.0,217.9,371,,9,True,49.0,1.21245,7.7,24.9,True
2021-02-12,low,02:51,2,11.6,False,37.0,34.3,319.0,387,,1,True,18.0,1.21186,6.2,37.1,True
2021-02-15,high,02:23,2,20.2,False,7.5,7.7,37.1,54,,6,True,0.0,1.21374,0.2,7.7,True
2021-02-16,low,02:22,2,15.8,True,6.0,5.9,38.0,26,46.0,2,True,38.0,1.2135,6.0,5.1,True
2021-02-17,low,02:02,2,15.0,False,60.0,57.6,400.0,531,,1,False,,,,,
2021-02-18,high,02:47,2,14.5,False,39.8,39.0,274.5,355,,5,True,1.0,1.20496,2.4,40.2,True
2021-02-19,high,02:14,2,15.8,False,46.3,45.6,293.0,227,,1,False,,,,,
2021-02-22,low,02:09,2,23.1,True,21.3,21.1,92.2,96,160.0,5,True,1.0,1.21142,0.4,23.1,True
2021-02-23,high,02:47,2,13.3,True,3.0,3.1,22.6,1,18.0,1,True,0.0,1.2177,0.1,3.1,True
2021-02-24,high,03:31,3,18.9,True,8.3,4.9,43.9,1,276.0,9,True,5.0,1.21658,8.3,8.7,True
2021-02-25,high,02:00,2,21.4,False,66.0,65.0,308.4,480,,2,True,4.0,1.21772,3.7,66.1,True
2021-02-26,low,02:01,2,37.6,False,54.8,55.9,145.7,598,,4,True,0.0,1.21461,1.0,55.9,True
2021-03-01,low,02:59,2,20.9,False,47.1,48.5,225.4,434,,2,True,0.0,1.20761,0.1,48.5,True
2021-03-02,low,02:16,2,25.6,True,23.5,18.5,91.8,113,306.0,3,True,11.0,1.20157,10.9,24.1,True
2021-03-03,low,02:00,2,10.9,True,1.9,1.0,17.4,1,25.0,2,True,4.0,1.20828,1.9,1.1,True
2021-03-04,low,03:25,3,19.5,False,21.3,22.5,109.2,414,,9,True,0.0,1.20447,2.8,22.5,True
2021-03-05,low,02:00,2,15.0,False,58.3,59.2,388.7,393,,3,True,0.0,1.19524,2.9,59.2,True
2021-03-08,low,02:00,2,30.0,False,53.0,47.0,176.7,592,,1,False,,,,,
2021-03-09,high,02:22,2,31.5,False,48.6,46.6,154.3,249,,1,True,5.0,1.18666,2.5,49.0,True
2021-03-10,low,02:00,2,20.6,True,5.2,4.2,25.2,81,41.0,4,True,2.0,1.18781,2.5,6.3,True
2021-03-11,high,02:22,2,17.3,False,44.3,44.3,256.1,569,,3,True,441.0,1.19343,39.3,44.5,True
2021-03-12,low,02:00,2,28.8,False,49.7,39.0,172.6,185,,1,False,,,,,
2021-03-15,low,02:00,2,24.9,False,31.5,23.2,126.5,517,,1,False,,,,,
2021-03-16,low,02:09,2,16.5,True,8.4,7.5,50.9,51,148.0,4,True,28.0,1.19225,4.7,8.9,True
