date,side,outcome,r_multiple,risk_pips,reward_pips
2022-07-01,low,LOSS,-1.0,13.3,27.1
2022-07-04,low,WIN,0.963,16.2,15.6
2022-07-05,high,WIN,0.908,14.2,12.9
2022-07-06,low,WIN,1.049,14.4,15.1
2022-07-07,high,WIN,2.288,13.9,31.8
2022-07-08,low,LOSS,-1.0,16.8,33.0
2022-07-11,low,LOSS,-1.0,13.1,31.6
2022-07-12,low,WIN,3.114,14.9,46.4
2022-07-13,high,WIN,1.327,15.6,20.7
2022-07-14,low,WIN,2.007,13.9,27.9
2022-07-15,low,WIN,2.189,13.2,28.9
2022-07-18,low,WIN,1.941,13.5,26.2
2022-07-20,low,WIN,1.062,14.4,15.3
2022-07-21,high,WIN,2.496,13.5,33.7
2022-07-22,low,LOSS,-1.0,14.7,34.3
2022-07-25,high,WIN,2.143,14.0,30.0
2022-07-26,low,LOSS,-1.0,13.3,26.9
2022-07-27,high,WIN,1.397,13.1,18.3
2022-07-28,high,WIN,2.132,15.1,32.2
2022-07-29,high,LOSS,-1.0,13.8,33.7
2022-08-01,high,LOSS,-1.0,14.4,31.2
2022-08-02,low,LOSS,-1.0,13.4,36.5
2022-08-04,high,LOSS,-1.0,13.9,19.9
2022-08-05,low,LOSS,-1.0,14.4,16.4
2022-08-08,high,LOSS,-1.0,13.4,25.2
2022-08-10,low,WIN,0.862,15.2,13.1
2022-08-11,low,WIN,1.544,13.6,21.0
2022-08-12,low,LOSS,-1.0,13.3,19.0
2022-08-15,low,LOSS,-1.0,17.7,22.8
2022-08-16,low,LOSS,-1.0,15.6,18.9
2022-08-19,high,WIN,1.42,13.8,19.6
2022-08-22,low,LOSS,-1.0,15.5,19.8
2022-08-23,low,LOSS,-1.0,15.2,16.8
2022-08-24,low,LOSS,-1.0,13.1,28.1
2022-08-29,high,LOSS,-1.0,14.4,24.8
2022-08-31,high,WIN,1.174,13.8,16.2
2022-09-01,low,WIN,1.731,14.5,25.1
2022-09-05,low,WIN,1.851,14.1,26.1
2022-09-06,high,LOSS,-1.0,13.9,26.1
2022-09-07,high,LOSS,-1.0,13.8,25.2
2022-09-08,high,LOSS,-1.0,14.4,19.3
2022-09-12,high,LOSS,-1.0,14.2,30.0
2022-09-13,high,LOSS,-1.0,13.9,20.6
2022-09-14,low,WIN,1.557,13.1,20.4
2022-09-16,low,LOSS,-1.0,13.2,24.8
2022-09-20,low,LOSS,-1.0,13.1,29.4
2022-09-22,high,LOSS,-1.0,13.4,28.4
2022-09-23,low,LOSS,-1.0,13.6,29.5
2022-09-26,high,WIN,4.95,14.1,139.2
2022-09-27,high,LOSS,-1.0,13.3,25.2
2022-09-28,low,WIN,2.627,19.3,50.7
2022-09-29,low,LOSS,-1.0,13.7,37.7
2022-09-30,high,WIN,2.284,15.5,35.4
2022-10-05,high,WIN,2.153,13.7,29.5
2022-10-06,low,LOSS,-1.0,15.1,20.4
2022-10-07,low,LOSS,-1.0,13.9,23.7
2022-10-10,low,LOSS,-1.0,13.2,27.3
2022-10-11,low,WIN,3.13,13.1,41.0
2022-10-12,high,LOSS,-1.0,22.7,18.7
2022-10-13,low,WIN,1.793,14.0,25.1
2022-10-14,low,LOSS,-1.0,13.2,45.8
2022-10-17,high,WIN,1.037,13.4,13.9
2022-10-18,high,LOSS,-1.0,14.0,27.5
2022-10-21,low,WIN,1.104,14.4,15.9
2022-10-24,low,LOSS,-1.0,17.3,36.8
2022-10-25,low,LOSS,-1.0,13.5,19.6
2022-10-26,high,LOSS,-1.0,13.2,22.7
2022-10-27,low,LOSS,-1.0,13.4,30.3
2022-10-28,low,LOSS,-1.0,15.0,37.2
2022-10-31,low,LOSS,-1.0,13.8,20.7
2022-11-02,low,WIN,1.301,14.3,18.6
2022-11-04,high,LOSS,-1.0,13.7,38.5
2022-11-07,high,LOSS,-1.0,16.4,22.9
2022-11-08,low,LOSS,-1.0,13.3,22.9
2022-11-09,low,LOSS,-1.0,17.3,23.7
2022-11-10,high,WIN,1.006,15.4,15.5
2022-11-14,high,WIN,2.562,16.0,41.0
2022-11-16,high,LOSS,-1.0,13.2,54.9
