date,entry_bar,outcome,r_multiple,risk_pips,retrace_pct
2021-01-05,2057,LOSS,-1.0,3.8,121.1
2021-01-05,2105,LOSS,-1.0,4.6,117.4
2021-01-05,2123,LOSS,-1.0,3.7,118.9
2021-01-05,2178,LOSS,-1.0,3.1,116.1
2021-01-05,2186,LOSS,-1.0,3.2,137.5
2021-01-05,2198,LOSS,-1.0,5.2,115.4
2021-01-05,2225,LOSS,-1.0,4.0,120.0
2021-01-05,2250,WIN,6.571,4.2,73.8
2021-01-06,3424,LOSS,-1.0,6.9,176.8
2021-01-06,3460,LOSS,-1.0,6.1,101.6
2021-01-06,3595,LOSS,-1.0,5.6,108.9
2021-01-06,3682,LOSS,-1.0,6.9,105.8
2021-01-06,3735,WIN,17.05,4.0,70.0
2021-01-11,7732,LOSS,-1.0,3.3,124.2
2021-01-11,7789,LOSS,-1.0,4.2,109.5
2021-01-11,7802,LOSS,-1.0,6.1,124.6
2021-01-11,7816,WIN,5.51,5.1,64.7
2021-01-12,9181,LOSS,-1.0,4.3,114.0
2021-01-12,9300,WIN,2.1,13.0,51.5
2021-01-18,14904,WIN,2.043,7.0,30.0
2021-01-21,19201,LOSS,-1.0,5.2,125.0
2021-01-21,19211,WIN,2.951,4.1,31.7
2021-01-25,22075,WIN,4.256,4.3,81.4
2021-02-24,53595,LOSS,-1.0,11.7,100.0
2021-02-24,53646,LOSS,-1.0,3.5,111.4
2021-02-24,53826,WIN,3.808,5.2,23.1
2021-03-26,85107,LOSS,-1.0,2.3,100.0
2021-03-26,85129,LOSS,-1.0,2.7,155.6
2021-03-26,85143,LOSS,-1.0,6.7,117.9
2021-03-26,85205,LOSS,-1.0,2.5,100.0
2021-03-26,85234,LOSS,-1.0,6.5,101.5
2021-03-26,85248,LOSS,-1.0,3.4,108.8
2021-03-26,85272,WIN,7.545,2.2,54.5
2021-04-02,92263,WIN,2.723,4.7,68.1
2021-04-14,103499,LOSS,-1.0,3.9,117.9
2021-04-14,103506,LOSS,-1.0,3.7,105.4
2021-04-14,103520,LOSS,-1.0,2.6,100.0
2021-04-14,103528,LOSS,-1.0,5.9,101.7
2021-04-14,103540,LOSS,-1.0,6.2,112.9
2021-04-14,103558,WIN,1.578,8.3,73.5
2021-04-15,104974,LOSS,-1.0,3.8,113.2
2021-04-15,105086,WIN,5.613,3.1,61.3
2021-04-20,109215,LOSS,-1.0,7.0,107.1
2021-04-20,109262,WIN,9.1,4.0,32.5
2021-05-13,133301,LOSS,-1.0,3.5,157.1
2021-05-13,133320,LOSS,-1.0,3.2,100.0
2021-05-13,133342,LOSS,-1.0,8.4,104.8
2021-05-13,133351,WIN,5.0,5.9,55.9
2021-05-19,138978,LOSS,-1.0,0.7,414.3
2021-05-19,138988,LOSS,-1.0,7.2,101.4
2021-05-19,139023,WIN,2.135,8.9,47.2
2021-05-24,143237,LOSS,-1.0,3.5,137.1
2021-05-24,143257,LOSS,-1.0,3.2,100.0
2021-05-24,143282,LOSS,-1.0,4.4,109.1
2021-05-24,143290,LOSS,-1.0,3.5,131.4
2021-05-24,143303,LOSS,-1.0,2.8,128.6
2021-05-24,143314,LOSS,-1.0,3.3,115.2
2021-05-24,143330,LOSS,-1.0,3.9,105.1
2021-05-24,143342,LOSS,-1.0,3.1,119.4
2021-05-24,143349,LOSS,-1.0,2.7,118.5
2021-05-24,143369,LOSS,-1.0,2.1,114.3
2021-05-24,143382,WIN,6.122,4.1,36.6
2021-06-11,161973,LOSS,-1.0,1.3,123.1
2021-06-11,162002,LOSS,-1.0,2.0,165.0
2021-06-11,162010,LOSS,-1.0,4.9,120.4
2021-06-11,162026,WIN,2.407,5.9,45.8
2021-06-15,164781,LOSS,-1.0,4.5,108.9
2021-06-15,164794,LOSS,-1.0,2.7,137.0
2021-06-15,164808,LOSS,-1.0,4.2,109.5
2021-06-15,164829,LOSS,-1.0,3.9,107.7
2021-06-15,164851,LOSS,-1.0,4.3,100.0
2021-06-15,164869,LOSS,-1.0,6.3,127.0
2021-06-15,164885,LOSS,-1.0,4.2,100.0
2021-06-15,164905,WIN,12.208,2.4,58.3
2021-06-16,166208,LOSS,-1.0,2.8,100.0
2021-06-16,166240,WIN,3.667,3.9,74.4
2021-06-28,177744,LOSS,-1.0,3.9,117.9
2021-06-28,177758,WIN,3.566,5.3,90.6
2021-07-06,186228,WIN,6.36,5.0,92.0
2021-07-07,187667,LOSS,-1.0,3.9,102.6
2021-07-07,187677,LOSS,-1.0,3.4,150.0
2021-07-07,187689,WIN,1.868,5.3,84.9
2021-07-15,196239,LOSS,-1.0,6.1,101.6
2021-07-15,196386,WIN,4.9,5.0,92.0
2021-07-22,203381,LOSS,-1.0,3.5,114.3
2021-07-22,203421,WIN,3.0,3.8,78.9
2021-08-03,214763,LOSS,-1.0,5.3,103.8
2021-08-03,214835,LOSS,-1.0,2.5,116.0
2021-08-03,214847,LOSS,-1.0,3.8,100.0
2021-08-03,214860,LOSS,-1.0,4.7,136.2
2021-08-03,214908,LOSS,-1.0,3.7,132.4
2021-08-03,214984,LOSS,-1.0,1.6,137.5
2021-08-03,215011,LOSS,-1.0,3.0,100.0
2021-08-03,215020,LOSS,-1.0,2.4,108.3
2021-08-03,215036,LOSS,-1.0,3.3,112.1
2021-08-03,215078,LOSS,-1.0,2.5,104.0
2021-08-03,215117,WIN,1.571,9.8,39.8
2021-08-04,216232,WIN,2.436,5.5,80.0
2021-08-09,220432,LOSS,-1.0,2.0,120.0
2021-08-09,220436,LOSS,-1.0,2.8,121.4
2021-08-09,220448,LOSS,-1.0,1.2,183.3
2021-08-09,220452,LOSS,-1.0,1.9,115.8
2021-08-09,220808,LOSS,-1.0,1.6,143.7
2021-08-09,220822,WIN,2.704,7.1,74.6
2021-08-10,221841,LOSS,-1.0,2.4,100.0
2021-08-10,221851,LOSS,-1.0,2.8,121.4
2021-08-10,221865,LOSS,-1.0,4.1,104.9
2021-08-10,221880,LOSS,-1.0,3.3,112.1
2021-08-10,221896,WIN,0.304,4.6,28.3
2021-08-18,230337,LOSS,-1.0,2.6,157.7
2021-08-18,230379,WIN,5.257,3.5,74.3
2021-08-27,240183,LOSS,-1.0,3.2,118.8
2021-08-27,240216,LOSS,-1.0,4.1,100.0
2021-08-27,240231,LOSS,-1.0,3.2,134.4
2021-08-27,240239,LOSS,-1.0,2.9,113.8
2021-08-27,240246,WIN,7.588,3.4,41.2
2021-09-02,245843,LOSS,-1.0,4.7,174.5
2021-09-02,245932,LOSS,-1.0,2.0,110.0
2021-09-02,246064,LOSS,-1.0,3.8,100.0
2021-09-02,246085,LOSS,-1.0,2.9,113.8
2021-09-02,246089,LOSS,-1.0,3.1,109.7
2021-09-02,246144,WIN,1.914,5.8,96.6
2021-09-14,257275,LOSS,-1.0,2.5,104.0
2021-09-14,257281,WIN,14.067,1.5,93.3
2021-09-17,261456,LOSS,-1.0,1.8,127.8
2021-09-17,261491,LOSS,-1.0,3.3,181.8
2021-09-17,261519,LOSS,-1.0,2.3,152.2
2021-09-17,261529,LOSS,-1.0,1.9,336.8
2021-09-17,261688,LOSS,-1.0,3.3,112.1
2021-09-17,261714,LOSS,-1.0,4.5,153.3
2021-09-17,261803,WIN,3.576,6.6,28.8
2021-10-11,284269,LOSS,-1.0,5.7,100.0
2021-10-11,284301,LOSS,-1.0,4.1,100.0
2021-10-11,284317,LOSS,-1.0,2.4,104.2
2021-10-11,284323,WIN,5.152,3.3,54.5
2021-10-12,285694,LOSS,-1.0,3.8,105.3
2021-10-12,285709,LOSS,-1.0,2.1,147.6
2021-10-12,285734,LOSS,-1.0,2.2,100.0
2021-10-12,285741,WIN,9.455,2.2,81.8
2021-10-14,288596,LOSS,-1.0,2.0,170.0
2021-10-14,288606,LOSS,-1.0,5.8,100.0
2021-10-14,288677,LOSS,-1.0,3.4,105.9
2021-10-14,288687,LOSS,-1.0,3.5,100.0
2021-10-14,288709,LOSS,-1.0,1.6,125.0
2021-10-14,288725,WIN,5.357,5.6,19.6
2021-11-02,307102,LOSS,-1.0,7.3,123.3
2021-11-02,307130,WIN,14.636,1.1,81.8
2021-11-03,308516,LOSS,-1.0,1.0,120.0
2021-11-03,308523,LOSS,-1.0,1.4,264.3
2021-11-03,308588,LOSS,-1.0,1.9,152.6
2021-11-03,308651,LOSS,-1.0,2.0,150.0
2021-11-03,308658,WIN,2.475,5.9,20.3
2021-11-05,311396,LOSS,-1.0,2.4,116.7
2021-11-05,311412,LOSS,-1.0,2.3,165.2
2021-11-05,311424,WIN,2.242,6.6,71.2
2021-11-09,314181,WIN,4.675,4.0,70.0
2021-11-12,318487,LOSS,-1.0,2.7,140.7
2021-11-12,318496,LOSS,-1.0,1.1,118.2
2021-11-12,318498,LOSS,-1.0,1.0,340.0
2021-11-12,318515,LOSS,-1.0,4.3,109.3
2021-11-12,318579,LOSS,-1.0,4.7,102.1
2021-11-12,318792,WIN,4.636,3.3,69.7
2021-11-24,329955,LOSS,-1.0,2.6,107.7
2021-11-24,329963,LOSS,-1.0,2.0,170.0
2021-11-24,330023,WIN,1.6,5.5,18.2
2021-11-30,335687,LOSS,-1.0,5.2,113.5
2021-11-30,335745,LOSS,-1.0,5.3,111.3
2021-11-30,335827,LOSS,-1.0,5.5,103.6
2021-11-30,335846,LOSS,-1.0,4.0,117.5
2021-11-30,335910,LOSS,-1.0,8.5,118.8
2021-11-30,336151,WIN,14.19,6.3,98.4
2021-12-01,337125,LOSS,-1.0,4.0,150.0
2021-12-01,337183,WIN,3.464,9.7,14.4
2021-12-07,342873,LOSS,-1.0,3.9,120.5
2021-12-07,342903,LOSS,-1.0,2.0,115.0
2021-12-07,342956,WIN,2.167,6.0,43.3
2021-12-08,344347,LOSS,-1.0,7.3,108.2
2021-12-08,344380,WIN,3.688,3.2,90.6
2021-12-15,351443,LOSS,-1.0,5.2,100.0
2021-12-15,351510,LOSS,-1.0,2.2,118.2
2021-12-15,351570,LOSS,-1.0,1.6,187.5
2021-12-15,351579,LOSS,-1.0,4.3,120.9
2021-12-15,351626,LOSS,-1.0,2.7,103.7
2021-12-15,351756,WIN,2.64,5.0,52.0
2021-12-21,357197,LOSS,-1.0,2.4,162.5
2021-12-21,357223,LOSS,-1.0,9.6,104.2
2021-12-21,357261,LOSS,-1.0,4.0,107.5
2021-12-21,357282,LOSS,-1.0,1.0,320.0
2021-12-21,357286,LOSS,-1.0,4.6,115.2
2021-12-21,357537,LOSS,-1.0,2.8,128.6
2021-12-21,357550,LOSS,-1.0,2.7,100.0
2021-12-21,357578,WIN,3.36,5.0,48.0
2021-12-24,361554,LOSS,-1.0,1.4,257.1
2021-12-24,361558,LOSS,-1.0,2.3,121.7
2021-12-24,361622,LOSS,-1.0,1.6,131.3
2021-12-24,361652,WIN,4.743,3.5,42.9
2021-12-27,362919,LOSS,-1.0,2.4,133.3
