date,side,got_second_confirmation,second_leg_measurable,outcome2,max_retrace_pct2
2021-01-05,high,True,True,LOSS,110.5
2021-01-06,high,True,True,LOSS,140.3
2021-01-11,high,True,True,WIN,69.5
2021-01-12,high,True,True,WIN,42.6
2021-02-24,high,True,True,WIN,2.0
2021-03-26,high,True,True,WIN,-0.7
2021-04-14,high,True,True,LOSS,111.1
2021-04-15,high,True,True,WIN,34.4
2021-05-19,high,True,True,WIN,21.6
2021-05-24,high,True,True,LOSS,100.4
2021-06-11,high,True,True,WIN,71.5
2021-06-15,high,True,True,WIN,52.7
2021-06-16,high,True,True,WIN,93.9
2021-07-07,high,True,True,LOSS,116.9
2021-07-15,high,True,True,LOSS,101.9
2021-07-22,high,True,True,WIN,61.9
2021-08-03,high,True,True,LOSS,109.1
2021-08-09,high,True,True,LOSS,101.3
2021-08-10,high,True,True,WIN,70.0
2021-08-27,high,True,True,WIN,69.4
2021-09-02,high,True,True,LOSS,100.0
2021-09-17,high,True,True,LOSS,116.4
2021-10-12,high,True,True,WIN,91.5
2021-10-14,high,True,True,WIN,64.6
2021-11-02,high,True,True,WIN,59.1
2021-11-03,high,True,True,LOSS,102.9
2021-11-12,high,True,True,LOSS,103.5
2021-11-24,high,True,True,WIN,47.3
2021-11-30,high,True,True,LOSS,105.6
2021-12-01,high,True,True,WIN,74.4
2021-12-07,high,True,True,LOSS,102.2
2021-12-08,high,True,True,LOSS,108.9
2021-12-15,high,True,True,LOSS,100.0
2021-12-21,high,True,True,LOSS,107.8
2022-01-07,high,True,True,WIN,1.4
2022-01-11,high,True,True,WIN,44.1
2022-01-17,high,True,True,WIN,39.6
2022-02-10,high,True,True,WIN,75.0
2022-02-18,high,True,True,LOSS,101.3
2022-02-21,high,True,True,WIN,41.9
2022-03-01,high,True,True,LOSS,103.3
2022-04-13,high,True,True,WIN,27.5
2022-05-11,high,True,True,LOSS,114.7
2022-05-13,high,True,True,LOSS,130.3
2022-06-06,high,True,True,WIN,94.3
2022-06-15,high,True,True,WIN,57.3
2022-06-28,high,True,True,WIN,53.0
2022-07-13,high,True,True,WIN,67.1
2022-07-25,high,True,True,LOSS,100.0
2022-07-28,high,True,True,WIN,66.8
2022-09-07,high,True,True,WIN,26.9
2022-09-13,high,True,True,LOSS,100.0
2022-09-27,high,True,True,WIN,87.5
2022-10-12,high,True,True,WIN,54.8
2022-11-01,high,True,True,LOSS,144.2
2022-11-23,high,True,True,LOSS,101.9
2022-11-30,high,True,True,LOSS,101.0
2022-12-01,high,True,True,WIN,40.5
2022-12-02,high,True,True,LOSS,116.2
2022-12-09,high,True,True,WIN,31.0
2022-12-19,high,True,True,LOSS,161.7
2022-12-21,high,True,True,LOSS,108.3
2022-12-22,high,True,True,LOSS,100.5
2022-12-27,high,True,True,WIN,30.3
2022-12-28,high,True,True,LOSS,100.0
2023-01-10,high,True,True,WIN,59.8
2023-01-17,high,True,True,LOSS,116.7
2023-01-23,high,True,True,WIN,9.5
2023-01-24,high,True,True,WIN,79.0
2023-02-03,high,True,True,LOSS,100.8
2023-02-08,high,True,True,WIN,45.4
2023-02-10,high,True,True,LOSS,101.7
2023-02-14,high,True,True,LOSS,104.9
2023-02-16,high,True,True,LOSS,103.5
2023-02-20,high,True,True,WIN,84.8
2023-03-03,high,True,True,WIN,52.5
2023-03-06,high,True,True,WIN,98.9
2023-03-16,high,True,True,WIN,75.3
2023-03-17,high,True,True,WIN,63.6
2023-03-30,high,True,True,LOSS,102.4
2023-04-20,high,True,True,LOSS,104.4
2023-05-02,high,True,True,WIN,25.2
2023-05-05,high,True,True,WIN,44.3
2023-05-08,high,True,True,WIN,91.9
2023-05-09,high,True,True,WIN,21.8
2023-05-24,high,True,True,LOSS,100.0
2023-05-26,high,True,True,WIN,-88.8
2023-06-16,high,True,True,WIN,96.4
2023-06-20,high,True,True,WIN,88.3
2023-07-17,high,True,True,LOSS,112.7
2023-07-21,high,True,True,WIN,35.2
2023-08-11,high,True,True,LOSS,100.7
2023-08-15,high,True,True,LOSS,116.2
2023-08-16,high,True,True,LOSS,102.9
2023-08-22,high,True,True,WIN,21.8
2023-08-23,high,True,True,WIN,21.8
2023-09-06,high,True,True,LOSS,100.0
2023-10-12,high,True,True,WIN,32.0
2023-10-13,high,True,True,WIN,10.5
2023-10-27,high,True,True,LOSS,101.3
2023-10-30,high,True,True,LOSS,100.0
2023-10-31,high,True,True,WIN,45.5
2023-11-02,high,True,True,LOSS,110.3
2023-11-13,high,True,True,LOSS,164.1
2023-11-23,high,True,True,WIN,73.2
2024-01-25,high,True,True,LOSS,124.1
2024-02-02,high,True,True,LOSS,115.0
2024-02-07,high,True,True,LOSS,101.8
2024-02-09,high,True,True,WIN,37.6
2024-02-16,high,True,True,LOSS,103.3
2024-02-27,high,True,True,WIN,63.6
2024-03-04,high,True,True,LOSS,100.0
2024-03-11,high,True,True,WIN,35.1
2024-03-13,high,True,True,LOSS,162.1
2024-03-18,high,True,True,LOSS,113.8
2024-03-21,high,True,True,WIN,34.1
2024-03-26,high,True,True,LOSS,101.7
2024-03-27,high,True,True,LOSS,100.0
2024-04-15,high,True,True,LOSS,112.5
2024-04-25,high,True,True,LOSS,105.9
2024-04-26,high,True,True,WIN,29.0
2024-04-29,high,True,True,LOSS,102.1
2024-05-02,high,True,True,WIN,14.3
2024-05-10,high,True,True,LOSS,123.2
2024-05-20,high,True,True,LOSS,102.1
2024-05-21,high,True,True,WIN,48.1
2024-05-28,high,True,True,WIN,17.9
2024-06-11,high,True,True,WIN,74.8
2024-07-01,high,True,True,WIN,85.6
2024-07-05,high,True,True,LOSS,116.3
2024-07-24,high,True,True,WIN,12.6
2024-07-30,high,True,True,LOSS,117.7
2024-08-15,high,True,True,WIN,85.9
2024-08-27,high,True,True,LOSS,100.0
2024-08-30,high,True,True,LOSS,117.5
2024-09-04,high,True,True,WIN,73.0
2024-09-06,high,True,True,LOSS,120.8
2024-09-11,high,True,True,LOSS,107.1
2024-09-17,high,True,True,LOSS,107.0
2024-09-20,high,True,True,WIN,25.0
2024-09-26,high,True,True,WIN,47.7
2024-10-08,high,True,True,LOSS,115.1
2024-10-11,high,True,True,WIN,29.7
2024-10-14,high,True,True,LOSS,120.8
2024-10-22,high,True,True,WIN,40.8
2024-10-24,high,True,True,LOSS,102.3
2024-11-15,high,True,True,LOSS,114.7
2024-12-06,high,True,True,LOSS,118.8
2024-12-19,high,True,True,WIN,95.2
2024-12-31,high,True,True,WIN,42.7
2025-01-07,high,True,True,LOSS,116.3
2025-02-12,high,True,True,WIN,40.7
2025-02-13,high,True,True,WIN,74.6
2025-02-19,high,True,True,LOSS,127.5
2025-02-27,high,True,True,LOSS,107.9
2025-03-06,high,True,True,WIN,27.5
2025-03-24,high,True,True,WIN,82.9
2025-03-26,high,True,True,WIN,99.1
2025-04-07,high,True,True,LOSS,108.5
2025-04-15,high,True,True,WIN,35.3
2025-05-15,high,True,True,WIN,54.7
2025-06-09,high,True,True,WIN,32.0
2025-06-17,high,True,True,LOSS,104.3
2025-07-15,high,True,True,LOSS,136.7
2025-07-16,high,True,True,LOSS,204.9
2025-08-07,high,True,True,LOSS,119.5
2025-10-02,high,True,True,LOSS,101.4
2025-10-10,high,True,True,LOSS,102.8
2025-10-20,high,True,True,LOSS,117.9
2025-11-10,high,True,True,WIN,72.9
2025-11-17,high,True,True,LOSS,100.0
2025-11-21,high,True,True,WIN,34.7
2025-11-26,high,True,True,LOSS,146.6
2025-12-04,high,True,True,LOSS,105.5
2025-12-23,high,True,True,LOSS,106.3
2025-12-29,high,True,True,WIN,43.4
