date,side,got_second_confirmation,second_leg_measurable,outcome2,max_retrace_pct2
2021-01-22,low,True,True,WIN,20.1
2021-01-26,low,True,True,WIN,53.3
2021-02-22,low,True,True,WIN,19.9
2021-03-02,low,True,True,LOSS,101.8
2021-03-03,low,True,True,WIN,39.4
2021-03-10,low,True,True,WIN,15.1
2021-03-16,low,True,True,WIN,51.5
2021-03-22,low,True,True,WIN,7.6
2021-04-05,low,True,True,LOSS,100.9
2021-04-06,low,True,True,WIN,72.7
2021-04-13,low,True,True,LOSS,115.6
2021-04-27,low,True,True,WIN,81.3
2021-04-28,low,True,True,LOSS,125.0
2021-05-28,low,True,True,WIN,53.7
2021-06-04,low,True,True,LOSS,100.0
2021-06-07,low,True,True,WIN,63.2
2021-06-10,low,True,True,WIN,32.9
2021-07-02,low,True,True,LOSS,105.9
2021-07-09,low,True,True,WIN,90.3
2021-07-19,low,True,True,LOSS,109.2
2021-07-20,low,True,True,LOSS,103.8
2021-07-23,low,True,True,LOSS,114.7
2021-07-28,low,True,True,LOSS,100.7
2021-08-05,low,True,True,WIN,18.2
2021-08-11,low,True,True,WIN,95.4
2021-08-17,low,True,True,WIN,85.7
2021-08-20,low,True,True,LOSS,101.0
2021-08-24,low,True,True,WIN,97.4
2021-08-26,low,True,True,WIN,40.4
2021-09-03,low,True,True,LOSS,113.2
2021-09-09,low,True,True,WIN,80.9
2021-09-13,low,True,True,LOSS,173.7
2021-09-20,low,True,True,WIN,80.1
2021-09-30,low,True,True,WIN,62.8
2021-11-18,low,True,True,WIN,66.2
2021-11-22,low,True,True,WIN,85.1
2021-11-29,low,True,True,WIN,45.5
2021-12-06,low,True,True,WIN,72.5
2021-12-10,low,True,True,WIN,83.7
2021-12-22,low,True,True,WIN,68.5
2021-12-28,low,True,True,WIN,14.6
2021-12-29,low,True,True,WIN,54.5
2022-01-04,low,True,True,LOSS,100.0
2022-01-06,low,True,True,WIN,75.8
2022-01-12,low,True,True,WIN,77.7
2022-01-28,low,True,True,LOSS,103.1
2022-02-03,low,True,True,LOSS,100.0
2022-02-25,low,True,True,LOSS,127.0
2022-03-02,low,True,True,LOSS,101.1
2022-03-11,low,True,True,WIN,54.5
2022-03-24,low,True,True,LOSS,197.9
2022-03-28,low,True,True,LOSS,107.2
2022-04-01,low,True,True,LOSS,103.4
2022-04-12,low,True,True,WIN,31.7
2022-05-03,low,True,True,WIN,23.6
2022-05-04,low,True,True,LOSS,108.9
2022-05-06,low,True,True,WIN,34.5
2022-05-26,low,True,True,WIN,93.0
2022-06-09,low,True,True,WIN,28.1
2022-06-22,low,True,True,WIN,37.1
2022-07-04,low,True,True,WIN,58.5
2022-07-12,low,True,True,LOSS,101.4
2022-07-14,low,True,True,LOSS,103.7
2022-07-15,low,True,True,WIN,68.5
2022-07-22,low,True,True,WIN,52.2
