rb_id,attempt,parent_weekly_id,side,h4_ob_bottom,h4_ob_top,h4_impact_riyadh,h4_impact_utc,stage,resting_riyadh,resting_utc,candidate_since_riyadh,candidate_since_utc,entry_riyadh,entry_utc,entry_price,entry_weekday_riyadh,entry_hour_riyadh,sl_price,risk_price,tp_price,candidate_replacements,result,exit_riyadh,exit_utc,exit_price,duration_minutes,mfe_pips,mae_pips,mfe_price,mae_price,mfe_r,mae_r,r_multiple_result,invalidated_riyadh,invalidated_utc,invalidation_reason
77,1,,SELL,1.18587,1.18841,2026-02-16 08:00:00,2026-02-16 05:00:00,ENTERED,2026-02-16 08:22:00,2026-02-16 05:22:00,2026-02-16 08:30:00,2026-02-16 05:30:00,2026-02-16 08:49:00,2026-02-16 05:49:00,1.18649,Monday,08:49,1.18687,0.00038,1.18535,1,SL,2026-02-16 11:44:00,2026-02-16 08:44:00,1.18687,175,4.4,4.8,1.18605,1.18697,1.16,1.26,-1.00,,,
80,1,,SELL,1.18433,1.18495,2026-02-17 23:21:00,2026-02-17 20:21:00,H4_OB_BREACHED,2026-02-17 23:57:00,2026-02-17 20:57:00,,,,,,,,,,,,,,,,,,,,,,,,2026-02-17 23:43:00,2026-02-17 20:43:00,swing_break
89,1,,SELL,1.18272,1.18343,2026-02-26 06:41:00,2026-02-26 03:41:00,H4_OB_BREACHED,2026-02-26 06:56:00,2026-02-26 03:56:00,,,,,,,,,,,,,,,,,,,,,,,,2026-02-26 06:42:00,2026-02-26 03:42:00,swing_break
92,1,,SELL,1.17852,1.17927,2026-02-24 21:15:00,2026-02-24 18:15:00,ENTERED,2026-02-24 21:31:00,2026-02-24 18:31:00,2026-02-24 22:10:00,2026-02-24 19:10:00,2026-02-24 22:17:00,2026-02-24 19:17:00,1.17852,Tuesday,22:17,1.17899,0.00047,1.17711,3,TP,2026-02-25 03:00:00,2026-02-25 00:00:00,1.17711,283,14.1,2.1,1.17711,1.17873,3.00,0.45,3.00,,,
94,1,,SELL,1.18047,1.18075,2026-02-25 21:02:00,2026-02-25 18:02:00,ENTERED,2026-02-25 21:05:00,2026-02-25 18:05:00,2026-02-25 21:25:00,2026-02-25 18:25:00,2026-02-25 21:36:00,2026-02-25 18:36:00,1.18005,Wednesday,21:36,1.18069,0.00064,1.17813,2,SL,2026-02-25 22:02:00,2026-02-25 19:02:00,1.18069,26,2.2,6.5,1.17983,1.18070,0.34,1.02,-1.00,,,
96,1,,SELL,1.18171,1.18285,2026-02-27 12:45:00,2026-02-27 09:45:00,ENTERED,2026-02-27 13:13:00,2026-02-27 10:13:00,2026-02-27 13:10:00,2026-02-27 10:10:00,2026-02-27 13:30:00,2026-02-27 10:30:00,1.18137,Friday,13:30,1.18213,0.00076,1.17909,1,TP,2026-02-27 18:42:00,2026-02-27 15:42:00,1.17909,312,22.8,1.0,1.17909,1.18147,3.00,0.13,3.00,,,
97,1,,SELL,1.18039,1.18213,2026-02-27 20:02:00,2026-02-27 17:02:00,H4_OB_BREACHED,2026-02-27 20:16:00,2026-02-27 17:16:00,,,,,,,,,,,5,,,,,,,,,,,,,2026-02-27 21:32:00,2026-02-27 18:32:00,swing_break
103,1,,SELL,1.16338,1.16542,2026-03-05 04:00:00,2026-03-05 01:00:00,ENTERED,2026-03-05 04:10:00,2026-03-05 01:10:00,2026-03-05 04:10:00,2026-03-05 01:10:00,2026-03-05 04:36:00,2026-03-05 01:36:00,1.16340,Thursday,04:36,1.16385,0.00045,1.16205,1,SL,2026-03-05 05:16:00,2026-03-05 02:16:00,1.16385,40,2.4,4.8,1.16316,1.16388,0.53,1.07,-1.00,,,
103,2,,SELL,1.16338,1.16542,2026-03-05 04:00:00,2026-03-05 01:00:00,ENTERED,2026-03-05 05:30:00,2026-03-05 02:30:00,2026-03-05 05:45:00,2026-03-05 02:45:00,2026-03-05 06:01:00,2026-03-05 03:01:00,1.16413,Thursday,06:01,1.16450,0.00037,1.16302,2,SL,2026-03-05 06:15:00,2026-03-05 03:15:00,1.16450,14,4.5,3.7,1.16368,1.16450,1.22,1.00,-1.00,,,
103,3,,SELL,1.16338,1.16542,2026-03-05 04:00:00,2026-03-05 01:00:00,ENTERED,2026-03-05 06:32:00,2026-03-05 03:32:00,2026-03-05 06:05:00,2026-03-05 03:05:00,2026-03-05 06:37:00,2026-03-05 03:37:00,1.16368,Thursday,06:37,1.16469,0.00101,1.16065,0,TP,2026-03-05 09:30:00,2026-03-05 06:30:00,1.16065,173,30.9,0.4,1.16059,1.16372,3.06,0.04,3.00,,,
