gate_index,gate_start_riyadh,gate_start_utc,in_reason_event,in_reason_zone_id,in_reason_detail,control,h4_rb_authorized_count,h4_rb_authorized_ids,five_entries_count,five_entries_sl,five_entries_tp,five_entries_other,gate_end_riyadh,next_control,next_reason_event,next_reason_zone_id,next_reason_detail
0,2025-12-29 01:00:00,2025-12-28 22:00:00,START,,Dataset start (week 0),NONE,0,,0,0,0,0,2026-02-09 14:01:00,SELL_ONLY,CAMPAIGN_START_COUNTERTREND,2,"RB zone 2 impacted (direction=SELL, trend=BULLISH)"
1,2026-02-09 14:01:00,2026-02-09 11:01:00,CAMPAIGN_START_COUNTERTREND,2,"RB zone 2 impacted (direction=SELL, trend=BULLISH)",SELL_ONLY,0,,0,0,0,0,2026-02-16 01:00:00,NONE,TREND_FLIP,,Weekly trend -> BEARISH
2,2026-02-16 01:00:00,2026-02-15 22:00:00,TREND_FLIP,,Weekly trend -> BEARISH,NONE,1,77,1,1,0,0,2026-02-17 20:28:00,SELL_ONLY,SWING_RESUME,,Swing high confirms -> SELL_ONLY
3,2026-02-17 20:28:00,2026-02-17 17:28:00,SWING_RESUME,,Swing high confirms -> SELL_ONLY,SELL_ONLY,6,80;89;92;94;96;97,3,1,2,0,2026-03-02 01:00:00,BOTH,OPPOSING_ENCOUNTER,1,"Opposing RB zone 1 impacted, old side still active -> BOTH"
4,2026-03-02 01:00:00,2026-03-01 22:00:00,OPPOSING_ENCOUNTER,1,"Opposing RB zone 1 impacted, old side still active -> BOTH",BOTH,0,,0,0,0,0,2026-03-02 01:00:00,SELL_ONLY,OPPOSING_GAINS_CONTROL,2,"RB zone 2 confirmed swing at week 6, other side exhausted"
5,2026-03-02 01:00:00,2026-03-01 22:00:00,OPPOSING_GAINS_CONTROL,2,"RB zone 2 confirmed swing at week 6, other side exhausted",SELL_ONLY,14,103;104;106;108;110;122;123;125;127;147;156;185;187;192,9,7,2,0,2026-05-11 00:00:00,NONE,TREND_FLIP,,Weekly trend -> BEARISH
6,2026-05-11 00:00:00,2026-05-10 21:00:00,TREND_FLIP,,Weekly trend -> BEARISH,NONE,3,200;205;206,0,0,0,0,2026-05-14 20:00:00,SELL_ONLY,SWING_RESUME,,Swing high confirms -> SELL_ONLY
7,2026-05-14 20:00:00,2026-05-14 17:00:00,SWING_RESUME,,Swing high confirms -> SELL_ONLY,SELL_ONLY,5,215;218;220;221;224,2,0,2,0,2026-06-03 17:33:00,BUY_ONLY,CAMPAIGN_START_COUNTERTREND,8,"RB zone 8 impacted (direction=BUY, trend=BEARISH)"
8,2026-06-03 17:33:00,2026-06-03 14:33:00,CAMPAIGN_START_COUNTERTREND,8,"RB zone 8 impacted (direction=BUY, trend=BEARISH)",BUY_ONLY,17,120;249;252;255;257;269;270;273;274;276;277;284;286;289;301;303;311,14,12,2,0,2026-07-27 00:00:00,NONE,TREND_FLIP,,Weekly trend -> BULLISH
9,2026-07-27 00:00:00,2026-07-26 21:00:00,TREND_FLIP,,Weekly trend -> BULLISH,NONE,1,326,1,1,0,0,2026-07-29 23:53:00,BUY_ONLY,SWING_RESUME,,Swing low confirms -> BUY_ONLY
10,2026-07-29 23:53:00,2026-07-29 20:53:00,SWING_RESUME,,Swing low confirms -> BUY_ONLY,BUY_ONLY,0,,0,0,0,0,2026-08-03 00:00:00,BOTH,OPPOSING_ENCOUNTER,10,"Opposing RB zone 10 impacted, old side still active -> BOTH"
11,2026-08-03 00:00:00,2026-08-02 21:00:00,OPPOSING_ENCOUNTER,10,"Opposing RB zone 10 impacted, old side still active -> BOTH",BOTH,27,240;336;338;340;341;342;343;345;347;348;349;351;353;356;357;358;359;361;362;364;366;367;369;371;372;373;374,26,21,5,0,2026-08-31 02:04:00,SELL_ONLY,SWING_PAUSE_BOTH,2,Swing high confirms while BOTH -> opposing side keeps control (SELL_ONLY)
12,2026-08-31 02:04:00,2026-08-30 23:04:00,SWING_PAUSE_BOTH,2,Swing high confirms while BOTH -> opposing side keeps control (SELL_ONLY),SELL_ONLY,2,378;380,5,5,0,0,OPEN (dataset end),,,,
