week_index,week_start_utc,week_start_riyadh,event,detail,zone_id,trend_after,control_after
3,2026-01-18 22:00:00,2026-01-19 01:00:00,TREND_FLIP,Weekly trend -> BULLISH,,BULLISH,NONE
6,2026-02-09 12:07:00,2026-02-09 15:07:00,CAMPAIGN_START_COUNTERTREND,"RB zone 2 impacted (direction=SELL, trend=BULLISH)",2,BULLISH,SELL_ONLY
6,2026-02-09 12:07:00,2026-02-09 15:07:00,SWING_PAUSE,"Swing low confirms, no opposing control -> NONE",,BULLISH,SELL_ONLY
6,2026-02-15 22:00:00,2026-02-16 01:00:00,BODY_CLOSE_VIOLATION,"Week 6 close 1.18722 falls inside controlling RB zone 2's range [1.18609,1.20825] -> NONE",2,BULLISH,NONE
7,2026-02-15 22:00:00,2026-02-16 01:00:00,TREND_FLIP,Weekly trend -> BEARISH,,BEARISH,NONE
9,2026-03-03 14:24:00,2026-03-03 17:24:00,CAMPAIGN_START_COUNTERTREND,"RB zone 1 impacted (direction=BUY, trend=BEARISH)",1,BEARISH,BUY_ONLY
13,2026-03-30 09:17:00,2026-03-30 12:17:00,SWING_PAUSE,"Swing high confirms, no opposing control -> NONE",,BEARISH,BUY_ONLY
14,2026-04-05 21:00:00,2026-04-06 00:00:00,TREND_FLIP,Weekly trend -> BULLISH,,BULLISH,NONE
14,2026-04-07 22:32:00,2026-04-08 01:32:00,SWING_RESUME,Swing low confirms -> BUY_ONLY,,BULLISH,BUY_ONLY
17,2026-04-29 18:37:00,2026-04-29 21:37:00,SWING_PAUSE,"Swing high confirms, no opposing control -> NONE",,BULLISH,BUY_ONLY
18,2026-05-06 10:45:00,2026-05-06 13:45:00,CAMPAIGN_START_COUNTERTREND,"RB zone 6 impacted (direction=SELL, trend=BULLISH)",6,BULLISH,SELL_ONLY
18,2026-05-06 10:45:00,2026-05-06 13:45:00,SWING_PAUSE,"Swing low confirms, no opposing control -> NONE",,BULLISH,SELL_ONLY
18,2026-05-10 21:00:00,2026-05-11 00:00:00,BODY_CLOSE_VIOLATION,"Week 18 close 1.17446 falls inside controlling RB zone 6's range [1.17354,1.18488] -> NONE",6,BULLISH,NONE
19,2026-05-10 21:00:00,2026-05-11 00:00:00,TREND_FLIP,Weekly trend -> BEARISH,,BEARISH,NONE
22,2026-06-05 13:00:00,2026-06-05 16:00:00,CAMPAIGN_START_COUNTERTREND,"RB zone 8 impacted (direction=BUY, trend=BEARISH)",8,BEARISH,BUY_ONLY
22,2026-06-05 13:00:00,2026-06-05 16:00:00,SWING_PAUSE,"Swing high confirms, no opposing control -> NONE",,BEARISH,BUY_ONLY
23,2026-06-08 09:31:00,2026-06-08 12:31:00,CAMPAIGN_START_COUNTERTREND,"RB zone 5 impacted (direction=BUY, trend=BEARISH)",5,BEARISH,BUY_ONLY
24,2026-06-17 19:24:00,2026-06-17 22:24:00,SWING_PAUSE,"Swing high confirms, no opposing control -> NONE",,BEARISH,BUY_ONLY
24,2026-06-19 04:57:00,2026-06-19 07:57:00,CAMPAIGN_START_COUNTERTREND,"RB zone 4 impacted (direction=BUY, trend=BEARISH)",4,BEARISH,BUY_ONLY
29,2026-07-23 12:43:00,2026-07-23 15:43:00,SWING_PAUSE,"Swing high confirms, no opposing control -> NONE",,BEARISH,BUY_ONLY
30,2026-07-26 21:00:00,2026-07-27 00:00:00,TREND_FLIP,Weekly trend -> BULLISH,,BULLISH,NONE
30,2026-07-29 18:53:00,2026-07-29 21:53:00,SWING_RESUME,Swing low confirms -> BUY_ONLY,,BULLISH,BUY_ONLY
31,2026-08-02 21:00:00,2026-08-03 00:00:00,OPPOSING_ENCOUNTER,"Opposing RB zone 10 impacted, old side still active -> BOTH",10,BULLISH,BOTH
31,2026-08-02 21:00:00,2026-08-03 00:00:00,OPPOSING_GAINS_CONTROL,"RB zone 1 confirmed swing at week 13, other side exhausted",1,BULLISH,BUY_ONLY
33,2026-08-16 21:00:00,2026-08-17 00:00:00,OPPOSING_ENCOUNTER,"Opposing RB zone 9 impacted, old side still active -> BOTH",9,BULLISH,BOTH
35,2026-08-30 21:04:00,2026-08-31 00:04:00,SWING_PAUSE_BOTH,Swing high confirms while BOTH -> opposing side keeps control (SELL_ONLY),2,BULLISH,SELL_ONLY
36,2026-09-09 06:15:00,2026-09-09 09:15:00,SWING_PAUSE,"Swing low confirms, no opposing control -> NONE",,BULLISH,SELL_ONLY
