record,kind,origin,confirm,price
SWING,HIGH,2025-12-28 22:00:00,2026-01-04 22:00:00,1.17542
SWING,LOW,2026-01-11 22:00:00,2026-01-18 22:00:00,1.15692
SWING,HIGH,2026-01-25 22:00:00,2026-02-01 22:00:00,1.20825
SWING,LOW,2026-02-01 22:00:00,2026-02-08 22:00:00,1.17652
SWING,HIGH,2026-02-08 22:00:00,2026-02-15 22:00:00,1.19283
SWING,LOW,2026-03-08 21:00:00,2026-03-22 21:00:00,1.14089
SWING,HIGH,2026-03-22 21:00:00,2026-03-29 21:00:00,1.16394
SWING,LOW,2026-03-29 21:00:00,2026-04-05 21:00:00,1.14427
SWING,HIGH,2026-04-12 21:00:00,2026-04-26 21:00:00,1.18488
SWING,LOW,2026-04-26 21:00:00,2026-05-03 21:00:00,1.16547
SWING,HIGH,2026-05-03 21:00:00,2026-05-10 21:00:00,1.17963
SWING,LOW,2026-05-17 21:00:00,2026-05-24 21:00:00,1.15759
SWING,HIGH,2026-05-24 21:00:00,2026-05-31 21:00:00,1.16854
SWING,LOW,2026-06-07 21:00:00,2026-06-14 21:00:00,1.14994
SWING,HIGH,2026-06-14 21:00:00,2026-06-14 21:00:00,1.16217
SWING,LOW,2026-06-21 21:00:00,2026-07-12 21:00:00,1.13242
SWING,HIGH,2026-07-12 21:00:00,2026-07-19 21:00:00,1.14822
SWING,LOW,2026-07-26 21:00:00,2026-07-26 21:00:00,1.13529
SWING,HIGH,2026-08-16 21:00:00,2026-08-30 21:00:00,1.17112
SWING,LOW,2026-08-30 21:00:00,2026-09-06 21:00:00,1.15659
MSS_DOWN,,2026-02-01 22:00:00,2026-02-15 22:00:00,1.17652
MSS_UP,,2026-03-22 21:00:00,2026-04-05 21:00:00,1.16394
MSS_DOWN,,2026-04-26 21:00:00,2026-05-10 21:00:00,1.16547
MSS_UP,,2026-07-12 21:00:00,2026-07-26 21:00:00,1.14822
