week_index,week_start_utc,week_start_riyadh,event,detail,zone_id,trend_after,control_after
3,2026-01-18 22:00:00,2026-01-19 01:00:00,TREND_FLIP,Weekly trend -> BULLISH,,BULLISH,NONE
7,2026-02-15 22:00:00,2026-02-16 01:00:00,TREND_FLIP,Weekly trend -> BEARISH,,BEARISH,NONE
9,2026-03-03 08:12:00,2026-03-03 11:12:00,CAMPAIGN_START_COUNTERTREND,"Zone 1 impacted (direction=BUY, trend=BEARISH)",1,BEARISH,BUY_ONLY
9,2026-03-08 21:00:00,2026-03-09 00:00:00,ZONE_DEATH,Zone 1 (providing BUY_ONLY) closes body inside/through its own box -> NONE,1,BEARISH,BUY_ONLY
14,2026-04-05 21:00:00,2026-04-06 00:00:00,TREND_FLIP,Weekly trend -> BULLISH,,BULLISH,NONE
15,2026-04-14 14:55:00,2026-04-14 17:55:00,CAMPAIGN_START_COUNTERTREND,"Zone 3 impacted (direction=SELL, trend=BULLISH)",3,BULLISH,SELL_ONLY
18,2026-05-06 10:45:00,2026-05-06 13:45:00,SWING_PAUSE,"Swing low confirms, no opposing control -> NONE",,BULLISH,SELL_ONLY
19,2026-05-10 21:00:00,2026-05-11 00:00:00,TREND_FLIP,Weekly trend -> BEARISH,,BEARISH,NONE
19,2026-05-14 15:00:00,2026-05-14 18:00:00,SWING_RESUME,Swing high confirms -> SELL_ONLY,,BEARISH,SELL_ONLY
21,2026-05-29 14:51:00,2026-05-29 17:51:00,SWING_PAUSE,"Swing low confirms, no opposing control -> NONE",,BEARISH,SELL_ONLY
22,2026-06-05 13:00:00,2026-06-05 16:00:00,SWING_RESUME,Swing high confirms -> SELL_ONLY,,BEARISH,SELL_ONLY
22,2026-05-31 21:00:00,2026-06-01 00:00:00,OPPOSING_ENCOUNTER,"Opposing zone 5 impacted, old side still active -> BOTH",5,BEARISH,BOTH
22,2026-05-31 21:00:00,2026-06-01 00:00:00,OPPOSING_GAINS_CONTROL,"Zone 3 confirmed swing at week 18, other side exhausted",3,BEARISH,SELL_ONLY
24,2026-06-14 21:29:00,2026-06-15 00:29:00,SWING_PAUSE,"Swing low confirms, no opposing control -> NONE",,BEARISH,SELL_ONLY
24,2026-06-17 19:24:00,2026-06-17 22:24:00,SWING_RESUME,Swing high confirms -> SELL_ONLY,,BEARISH,SELL_ONLY
28,2026-07-14 12:30:00,2026-07-14 15:30:00,SWING_PAUSE,"Swing low confirms, no opposing control -> NONE",,BEARISH,SELL_ONLY
29,2026-07-23 12:43:00,2026-07-23 15:43:00,SWING_RESUME,Swing high confirms -> SELL_ONLY,,BEARISH,SELL_ONLY
30,2026-07-26 21:00:00,2026-07-27 00:00:00,TREND_FLIP,Weekly trend -> BULLISH,,BULLISH,SELL_ONLY
30,2026-07-29 18:53:00,2026-07-29 21:53:00,SWING_PAUSE,"Swing low confirms, no opposing control -> NONE",,BULLISH,SELL_ONLY
30,2026-07-30 13:48:00,2026-07-30 16:48:00,CAMPAIGN_START_COUNTERTREND,"Zone 9 impacted (direction=SELL, trend=BULLISH)",9,BULLISH,SELL_ONLY
30,2026-08-02 21:00:00,2026-08-03 00:00:00,ZONE_DEATH,Zone 9 (providing SELL_ONLY) closes body inside/through its own box -> NONE,9,BULLISH,SELL_ONLY
33,2026-08-19 12:49:00,2026-08-19 15:49:00,CAMPAIGN_START_COUNTERTREND,"Zone 8 impacted (direction=SELL, trend=BULLISH)",8,BULLISH,SELL_ONLY
33,2026-08-23 21:00:00,2026-08-24 00:00:00,ZONE_DEATH,Zone 8 (providing SELL_ONLY) closes body inside/through its own box -> NONE,8,BULLISH,SELL_ONLY
