id,type,side,engine_bottom,engine_top,display_bottom,display_top,origin_window_start_utc,origin_window_end_utc,origin_body_source_offset_minutes,origin_body_source_window_start_utc,origin_body_source_window_end_utc,scheduled_first_m1_time_utc,scheduled_first_m1_open,scheduled_first_m1_close,scheduled_last_m1_time_utc,scheduled_last_m1_close,origin_utc,origin_riyadh,first_h1_bucket_utc,first_h1_open_time_utc,first_h1_open,first_h1_close,origin_first_price_source,origin_first_selected_price,first_h1_minutes,last_h1_bucket_utc,last_h1_close_time_utc,last_h1_close,last_h1_minutes,trigger_fact_source,trigger_path,trigger_swing_week_utc,trigger_swing_week_riyadh,trigger_confirm_week_utc,trigger_confirm_week_riyadh,trigger_swing_confirm_m1_utc,trigger_swing_confirm_m1_riyadh,trigger_first_cross_stored_swing_utc,trigger_first_cross_stored_swing_riyadh,trigger_first_cross_m1_open,trigger_first_cross_m1_high,trigger_first_cross_m1_low,trigger_first_cross_m1_close,trigger_time_utc,trigger_time_riyadh,trigger_price,trigger_price_role,trigger_break_level_price,trigger_break_level_role,trigger_m1_open,trigger_m1_high,trigger_m1_low,trigger_m1_close,eligible_fact_source,eligible_time_utc,eligible_time_riyadh,eligible_price,eligible_swing_price,impact_time_utc,impact_time_riyadh,impact_draw_time_utc,impact_draw_time_riyadh,impact_draw_bucket_minutes,status,created_type,promotion_from_type,promotion_time_utc,promotion_time_riyadh,original_type,rejected
1,OOB,BUY,1.15797,1.16336,1.15947,1.16294,2026-01-11 22:00:00,2026-01-18 22:00:00,0,2026-01-11 22:00:00,2026-01-16 22:00:00,2026-01-11 22:08:00,1.16336,1.16294,2026-01-16 21:59:00,1.15947,2026-01-11 22:00:00,2026-01-12 01:00:00,2026-01-11 22:00:00,2026-01-11 22:08:00,1.16336,1.16294,close,1.16294,43,2026-01-16 21:00:00,2026-01-16 21:59:00,1.15947,60,stored,direct IFOB armed event,2025-12-28 22:00:00,2025-12-29 01:00:00,2026-01-04 22:00:00,2026-01-05 01:00:00,2026-01-04 22:56:00,2026-01-05 01:56:00,2026-01-20 13:34:00,2026-01-20 16:34:00,1.17364,1.17688,1.17351,1.17450,2026-01-20 13:34:00,2026-01-20 16:34:00,1.17542,stored swing price,1.16981,prior-week high break level,1.17364,1.17688,1.17351,1.17450,stored,2026-02-02 13:03:00,2026-02-02 16:03:00,1.18346,1.20825,2026-03-03 08:12:00,2026-03-03 11:12:00,2026-03-03 08:00:00,2026-03-03 11:00:00,60,OOB,IFOB,,,,IFOB,FALSE
2,AIFOB,BUY,1.18095,1.18510,1.18138,1.18480,2026-02-01 22:00:00,2026-02-08 22:00:00,0,2026-02-01 22:00:00,2026-02-06 22:00:00,2026-02-01 22:00:00,1.18510,1.18480,2026-02-06 21:58:00,1.18138,2026-02-01 22:00:00,2026-02-02 01:00:00,2026-02-01 22:00:00,2026-02-01 22:00:00,1.18510,1.18480,close,1.18480,55,2026-02-06 21:00:00,2026-02-06 21:58:00,1.18138,59,stored,created event,2026-02-01 22:00:00,2026-02-02 01:00:00,2026-02-08 22:00:00,2026-02-09 01:00:00,,,,,,,,,2026-02-09 12:07:00,2026-02-09 15:07:00,1.17652,stored swing price,1.17652,event swing level,1.18738,1.18746,1.18738,1.18743,fallback,,,,,,,,,60,REJECTED,AIFOB,,,,AIFOB,TRUE
3,OOB,SELL,1.18095,1.18722,1.18090,1.18664,2026-02-08 22:00:00,2026-02-15 22:00:00,0,2026-02-08 22:00:00,2026-02-13 22:00:00,2026-02-08 22:01:00,1.18095,1.18090,2026-02-13 21:58:00,1.18664,2026-02-08 22:00:00,2026-02-09 01:00:00,2026-02-08 22:00:00,2026-02-08 22:01:00,1.18095,1.18090,close,1.18090,58,2026-02-13 21:00:00,2026-02-13 21:58:00,1.18664,59,stored,direct IFOB armed event,2026-02-01 22:00:00,2026-02-02 01:00:00,2026-02-08 22:00:00,2026-02-09 01:00:00,2026-02-09 12:07:00,2026-02-09 15:07:00,2026-02-19 13:01:00,2026-02-19 16:01:00,1.17675,1.17678,1.17645,1.17648,2026-02-19 13:01:00,2026-02-19 16:01:00,1.17652,stored swing price,1.18086,prior-week low break level,1.17675,1.17678,1.17645,1.17648,stored,2026-03-23 11:06:00,2026-03-23 14:06:00,1.16159,1.14089,2026-04-14 14:55:00,2026-04-14 17:55:00,2026-04-14 14:00:00,2026-04-14 17:00:00,60,OOB,IFOB,,,,IFOB,FALSE
4,AIFOB,SELL,1.14272,1.15348,1.14188,1.15701,2026-03-15 21:00:00,2026-03-22 21:00:00,0,2026-03-15 21:00:00,2026-03-20 21:00:00,2026-03-15 21:03:00,1.14272,1.14188,2026-03-20 20:58:00,1.15701,2026-03-15 21:00:00,2026-03-16 00:00:00,2026-03-15 21:00:00,2026-03-15 21:03:00,1.14272,1.14188,close,1.14188,54,2026-03-20 20:00:00,2026-03-20 20:58:00,1.15701,59,stored,created event,2026-03-22 21:00:00,2026-03-23 00:00:00,2026-03-29 21:00:00,2026-03-30 00:00:00,,,,,,,,,2026-03-30 09:17:00,2026-03-30 12:17:00,1.16394,stored swing price,1.16394,event swing level,1.14859,1.14878,1.14834,1.14872,fallback,,,,,,,,,60,REJECTED,AIFOB,,,,AIFOB,TRUE
5,OOB,BUY,1.15005,1.15348,1.15075,1.15350,2026-03-22 21:00:00,2026-03-29 21:00:00,0,2026-03-22 21:00:00,2026-03-27 21:00:00,2026-03-22 21:03:00,1.15348,1.15350,2026-03-27 20:58:00,1.15075,2026-03-22 21:00:00,2026-03-23 00:00:00,2026-03-22 21:00:00,2026-03-22 21:03:00,1.15348,1.15350,close,1.15350,52,2026-03-27 20:00:00,2026-03-27 20:58:00,1.15075,59,stored,direct IFOB armed event,2026-03-22 21:00:00,2026-03-23 00:00:00,2026-03-29 21:00:00,2026-03-30 00:00:00,2026-03-30 09:17:00,2026-03-30 12:17:00,2026-04-07 22:36:00,2026-04-08 01:36:00,1.16345,1.16402,1.16345,1.16392,2026-04-07 22:36:00,2026-04-08 01:36:00,1.16394,stored swing price,1.16268,prior-week high break level,1.16345,1.16402,1.16345,1.16392,stored,2026-04-29 18:37:00,2026-04-29 21:37:00,1.16688,1.18488,2026-06-05 15:37:00,2026-06-05 18:37:00,2026-06-05 15:00:00,2026-06-05 18:00:00,60,OOB,IFOB,,,,IFOB,FALSE
6,AIFOB,BUY,1.16894,1.17354,1.17168,1.17371,2026-04-19 21:00:00,2026-04-26 21:00:00,0,2026-04-19 21:00:00,2026-04-24 21:00:00,2026-04-19 21:03:00,1.17354,1.17371,2026-04-24 20:58:00,1.17168,2026-04-19 21:00:00,2026-04-20 00:00:00,2026-04-19 21:00:00,2026-04-19 21:03:00,1.17354,1.17371,close,1.17371,57,2026-04-24 20:00:00,2026-04-24 20:58:00,1.17168,59,stored,created event,2026-04-26 21:00:00,2026-04-27 00:00:00,2026-05-03 21:00:00,2026-05-04 00:00:00,,,,,,,,,2026-05-06 10:45:00,2026-05-06 13:45:00,1.16547,stored swing price,1.16547,event swing level,1.17828,1.17869,1.17825,1.17869,fallback,,,,,,,,,60,REJECTED,AIFOB,,,,AIFOB,TRUE
7,OOB,SELL,1.17449,1.17841,1.17427,1.17841,2026-05-03 21:00:00,2026-05-10 21:00:00,0,2026-05-03 21:00:00,2026-05-08 21:00:00,2026-05-03 21:02:00,1.17449,1.17427,2026-05-08 20:59:00,1.17841,2026-05-03 21:00:00,2026-05-04 00:00:00,2026-05-03 21:00:00,2026-05-03 21:02:00,1.17449,1.17427,close,1.17427,57,2026-05-08 20:00:00,2026-05-08 20:59:00,1.17841,60,stored,direct IFOB armed event,2026-04-26 21:00:00,2026-04-27 00:00:00,2026-05-03 21:00:00,2026-05-04 00:00:00,2026-05-06 10:45:00,2026-05-06 13:45:00,2026-05-15 00:38:00,2026-05-15 03:38:00,1.16557,1.16557,1.16544,1.16549,2026-05-15 00:38:00,2026-05-15 03:38:00,1.16547,stored swing price,1.16761,prior-week low break level,1.16557,1.16557,1.16544,1.16549,stored,2026-05-29 14:51:00,2026-05-29 17:51:00,1.16614,1.15759,,,,,60,OOB,IFOB,,,,IFOB,FALSE
8,OOB,SELL,1.16354,1.16522,1.16364,1.16576,2026-05-24 21:00:00,2026-05-31 21:00:00,0,2026-05-24 21:00:00,2026-05-29 21:00:00,2026-05-24 21:04:00,1.16354,1.16364,2026-05-29 20:59:00,1.16576,2026-05-24 21:00:00,2026-05-25 00:00:00,2026-05-24 21:00:00,2026-05-24 21:04:00,1.16354,1.16364,close,1.16364,36,2026-05-29 20:00:00,2026-05-29 20:59:00,1.16576,60,stored,promoted IFOB armed event,2026-05-17 21:00:00,2026-05-18 00:00:00,2026-05-31 21:00:00,2026-06-01 00:00:00,,,,,,,,,2026-06-05 13:51:00,2026-06-05 16:51:00,1.15759,stored swing price,1.15759,armed swing-low break level,1.15801,1.15805,1.15726,1.15752,stored,2026-06-14 21:29:00,2026-06-15 00:29:00,1.15893,1.14994,2026-08-19 12:49:00,2026-08-19 15:49:00,2026-08-19 12:00:00,2026-08-19 15:00:00,60,OOB,AIFOB,AIFOB,2026-05-31 21:00:00,2026-06-01 00:00:00,IFOB,FALSE
9,OOB,SELL,1.15072,1.15693,1.15082,1.15662,2026-06-07 21:00:00,2026-06-14 21:00:00,0,2026-06-07 21:00:00,2026-06-12 21:00:00,2026-06-07 21:03:00,1.15072,1.15082,2026-06-12 20:58:00,1.15662,2026-06-07 21:00:00,2026-06-08 00:00:00,2026-06-07 21:00:00,2026-06-07 21:03:00,1.15072,1.15082,close,1.15082,29,2026-06-12 20:00:00,2026-06-12 20:58:00,1.15662,59,stored,direct IFOB armed event,2026-06-07 21:00:00,2026-06-08 00:00:00,2026-06-14 21:00:00,2026-06-15 00:00:00,2026-06-14 21:29:00,2026-06-15 00:29:00,2026-06-17 19:24:00,2026-06-17 22:24:00,1.15017,1.15019,1.14984,1.14986,2026-06-17 19:24:00,2026-06-17 22:24:00,1.14994,stored swing price,1.14994,prior-week low break level,1.15017,1.15019,1.14984,1.14986,stored,2026-07-14 12:30:00,2026-07-14 15:30:00,1.14605,1.13242,2026-07-30 13:48:00,2026-07-30 16:48:00,2026-07-30 13:00:00,2026-07-30 16:00:00,60,OOB,IFOB,,,,IFOB,FALSE
10,AOB,BUY,1.13890,1.14535,1.13820,1.14603,2026-06-21 21:00:00,2026-06-28 21:00:00,0,2026-06-21 21:00:00,2026-06-26 21:00:00,2026-06-21 21:03:00,1.14535,1.14603,2026-06-26 20:58:00,1.13820,2026-06-21 21:00:00,2026-06-22 00:00:00,2026-06-21 21:00:00,2026-06-21 21:03:00,1.14535,1.14603,close,1.14603,31,2026-06-26 20:00:00,2026-06-26 20:58:00,1.13820,59,stored,created event,2026-07-12 21:00:00,2026-07-13 00:00:00,2026-07-19 21:00:00,2026-07-20 00:00:00,,,,,,,,,2026-07-23 12:43:00,2026-07-23 15:43:00,1.14822,stored swing price,1.14822,event swing level,1.13773,1.13781,1.13764,1.13779,fallback,,,,,,,,,60,REJECTED,AOB,,,,AOB,TRUE
